Date,AC ASIA PACIFIC EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,999.5742058557331
1999-01-05,1009.0025164954653
1999-01-06,1031.1570303698709
1999-01-07,1053.0643457042825
1999-01-08,1051.5083366485499
1999-01-11,1065.9028583762365
1999-01-12,1051.003985971209
1999-01-13,1026.6652721355379
1999-01-14,1013.4463986449084
1999-01-15,1020.1047704483254
1999-01-18,1025.5172698422853
1999-01-19,1022.1739676537659
1999-01-20,1027.287225762168
1999-01-21,1025.5180183360794
1999-01-22,1005.2648603593025
1999-01-25,989.6184523107579
1999-01-26,995.7313607198325
1999-01-27,1003.8594743474025
1999-01-28,994.3887909663636
1999-01-29,998.2194872369203
1999-02-01,999.3700640355604
1999-02-02,997.4148496815814
1999-02-03,989.047213599812
1999-02-04,982.3427932939769
1999-02-05,971.2865957875446
1999-02-08,963.9082479742777
1999-02-09,957.4093581069753
1999-02-10,957.7495823116504
1999-02-11,962.6628324698453
1999-02-12,974.0676242637728
1999-02-15,973.1138948646396
1999-02-16,969.5750369489233
1999-02-17,963.5470029736521
1999-02-18,956.4546917643925
1999-02-19,948.5527222815774
1999-02-22,951.6883804883871
1999-02-23,949.3520539278335
1999-02-24,943.4068550212758
1999-02-25,948.6479071563415
1999-02-26,970.3674862388832
1999-03-01,970.2111877705115
1999-03-02,960.3858019738092
1999-03-03,962.8819825219739
1999-03-04,954.6914206277739
1999-03-05,970.8288377560677
1999-03-08,978.1932179260702
1999-03-09,986.6004611532431
1999-03-10,998.3700566685696
1999-03-11,999.7617390676704
1999-03-12,1009.6018319691651
1999-03-15,1025.118784536237
1999-03-16,1036.5862413586726
1999-03-17,1039.138438879089
1999-03-18,1030.5237094620338
1999-03-19,1055.2653557192116
1999-03-22,1057.8317009090943
1999-03-23,1059.8192355774358
1999-03-24,1047.1084876806221
1999-03-25,1056.89076460225
1999-03-26,1052.3051452615196
1999-03-29,1051.6862937932376
1999-03-30,1050.3261004531657
1999-03-31,1062.8092628134582
1999-04-01,1077.8059165758923
1999-04-02,1083.2943664034915
1999-04-05,1074.7799223241416
1999-04-06,1093.1465929957305
1999-04-07,1096.9775822078657
1999-04-08,1108.4533628169859
1999-04-09,1116.2736422747696
1999-04-12,1112.1750607729664
1999-04-13,1124.5299176993055
1999-04-14,1138.6419840627157
1999-04-15,1150.0118500706185
1999-04-16,1180.261527608809
1999-04-19,1200.2636582264304
1999-04-20,1199.72629195477
1999-04-21,1182.2801528039777
1999-04-22,1190.6258663641809
1999-04-23,1202.0911562510878
1999-04-26,1215.9556180401944
1999-04-27,1222.4202436355838
1999-04-28,1230.2364082397407
1999-04-29,1235.2030078355972
1999-04-30,1246.790475636394
1999-05-03,1258.7983282545717
1999-05-04,1283.3683196336183
1999-05-05,1294.6306409624801
1999-05-06,1330.892904395832
1999-05-07,1323.1480297023138
1999-05-10,1332.0876369888992
1999-05-11,1330.3463735329212
1999-05-12,1331.3254134915373
1999-05-13,1319.4111837384721
1999-05-14,1325.5951828345846
1999-05-17,1296.4501440716635
1999-05-18,1306.5548865475798
1999-05-19,1300.7018937593473
1999-05-20,1298.973889184868
1999-05-21,1298.4090696696753
1999-05-24,1306.5904515691461
1999-05-25,1312.247035654534
1999-05-26,1310.8565091995988
1999-05-27,1312.3076100933174
1999-05-28,1298.50300466363
1999-05-31,1299.7344392274904
1999-06-01,1316.3615708206062
1999-06-02,1317.982604245333
1999-06-03,1317.7197532656546
1999-06-04,1323.8829787936636
1999-06-07,1344.967208588245
1999-06-08,1376.3679886747618
1999-06-09,1375.817837474012
1999-06-10,1403.2981726956773
1999-06-11,1419.77260651715
1999-06-14,1420.8658143789403
1999-06-15,1411.0087589033515
1999-06-16,1421.535371636287
1999-06-17,1443.2750243755631
1999-06-18,1440.9209207266551
1999-06-21,1462.8186640947486
1999-06-22,1485.016365021386
1999-06-23,1487.705552206504
1999-06-24,1488.413672456531
1999-06-25,1483.870735026072
1999-06-28,1502.2535765954867
1999-06-29,1512.9830599738966
1999-06-30,1495.0400422443715
1999-07-01,1510.9500059295694
1999-07-02,1527.5174420023534
1999-07-05,1541.8155642076376
1999-07-06,1550.1308271346081
1999-07-07,1541.320940861538
1999-07-08,1546.6198810732487
1999-07-09,1560.5626838767093
1999-07-12,1571.4979450474991
1999-07-13,1556.5379497534009
1999-07-14,1549.7947213283394
1999-07-15,1556.0198215513155
1999-07-16,1541.3496934751386
1999-07-19,1547.9203814237449
1999-07-20,1549.3283578343514
1999-07-21,1547.7503593761205
1999-07-22,1530.3393274574312
1999-07-23,1502.2661823623719
1999-07-26,1465.5795995729122
1999-07-27,1472.85814352762
1999-07-28,1489.9969403383654
1999-07-29,1505.6044617241964
1999-07-30,1501.569012024742
1999-08-02,1484.5281686155827
1999-08-03,1497.4524724590774
1999-08-04,1492.100171210705
