Date,AC FAR EAST EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,998.9548013690002
1999-01-05,1008.5869037944084
1999-01-06,1032.0710673393442
1999-01-07,1059.1402394232382
1999-01-08,1050.6246002174953
1999-01-11,1063.730279001652
1999-01-12,1048.039701655479
1999-01-13,1020.6505211511108
1999-01-14,1005.4509275559485
1999-01-15,1016.3330750620947
1999-01-18,1021.6399584275041
1999-01-19,1017.9866901136467
1999-01-20,1023.5809872508114
1999-01-21,1014.6492629698973
1999-01-22,986.818467358549
1999-01-25,967.4113722960872
1999-01-26,976.1483730200388
1999-01-27,986.5439021743824
1999-01-28,979.5423307417719
1999-01-29,984.8736006119557
1999-02-01,988.2585264276753
1999-02-02,991.7662518151457
1999-02-03,980.218697137416
1999-02-04,969.9126800272112
1999-02-05,958.6745651966561
1999-02-08,956.1703557344013
1999-02-09,940.9558840122859
1999-02-10,944.0828205261206
1999-02-11,945.8223976442036
1999-02-12,957.2643234664253
1999-02-15,956.3293780025103
1999-02-16,950.6393416299347
1999-02-17,942.0781355907246
1999-02-18,933.7146137132305
1999-02-19,921.8926907162487
1999-02-22,927.1349419393777
1999-02-23,924.6656992266576
1999-02-24,921.1442550811441
1999-02-25,929.4033792408559
1999-02-26,942.835675857674
1999-03-01,940.1709593299648
1999-03-02,927.9545682640813
1999-03-03,930.6403518299708
1999-03-04,921.4357773744224
1999-03-05,940.7294077505633
1999-03-08,946.1053192765347
1999-03-09,949.7475927785049
1999-03-10,963.3410337382696
1999-03-11,970.561835949905
1999-03-12,980.6374011572644
1999-03-15,1000.3823164353636
1999-03-16,1019.1967331439389
1999-03-17,1023.1673903720285
1999-03-18,1011.3207457183198
1999-03-19,1041.2769517091212
1999-03-22,1041.6950889770087
1999-03-23,1042.9922734352285
1999-03-24,1031.3369516710509
1999-03-25,1043.9142493938389
1999-03-26,1038.4774052922658
1999-03-29,1037.887655280923
1999-03-30,1035.309805096208
1999-03-31,1047.7492689387918
1999-04-01,1062.841944722384
1999-04-02,1067.9902708444586
1999-04-05,1065.0477770790071
1999-04-06,1085.8075816179496
1999-04-07,1092.9271301493284
1999-04-08,1110.4593357163592
1999-04-09,1120.9422155309874
1999-04-12,1117.0920595488585
1999-04-13,1130.6451789190437
1999-04-14,1149.1639430352736
1999-04-15,1164.78236253452
1999-04-16,1192.7480784336349
1999-04-19,1217.4888397016655
1999-04-20,1217.2224404884491
1999-04-21,1197.8128142532023
1999-04-22,1202.9749560980063
1999-04-23,1215.361010991295
1999-04-26,1233.3286071181774
1999-04-27,1243.1228808402957
1999-04-28,1251.3738159251282
1999-04-29,1251.0801854807148
1999-04-30,1265.9999624268862
1999-05-03,1281.9785935275358
1999-05-04,1310.155417242547
1999-05-05,1320.8697986622951
1999-05-06,1362.5521073022044
1999-05-07,1351.0312549171956
1999-05-10,1355.269404719052
1999-05-11,1346.1123847832812
1999-05-12,1351.868207137557
1999-05-13,1329.5801987559473
1999-05-14,1328.7328644534743
1999-05-17,1289.4168808554036
1999-05-18,1290.2438230864109
1999-05-19,1279.5892959691553
1999-05-20,1275.7570960366377
1999-05-21,1280.135284270466
1999-05-24,1292.459796924256
1999-05-25,1299.1840505141665
1999-05-26,1306.9583129671284
1999-05-27,1316.3126898165192
1999-05-28,1305.7516595369075
1999-05-31,1304.749346271791
1999-06-01,1326.3982184604572
1999-06-02,1330.6471042562607
1999-06-03,1327.3465277091034
1999-06-04,1332.6668029099005
1999-06-07,1362.2750804386342
1999-06-08,1394.340603990899
1999-06-09,1395.8928176925253
1999-06-10,1426.7105853414344
1999-06-11,1449.048903979954
1999-06-14,1449.647714896095
1999-06-15,1442.9477180766448
1999-06-16,1447.811928203216
1999-06-17,1474.1411804087652
1999-06-18,1475.3460889123216
1999-06-21,1500.1344553784133
1999-06-22,1524.9165796681616
1999-06-23,1530.8568247243436
1999-06-24,1531.6116582940663
1999-06-25,1523.3885900233033
1999-06-28,1540.9848624764059
1999-06-29,1553.8173045680269
1999-06-30,1533.6610892085312
1999-07-01,1547.6211298658993
1999-07-02,1559.826085984237
1999-07-05,1569.4679339740424
1999-07-06,1575.6254285499313
1999-07-07,1565.8162903594193
1999-07-08,1565.4361228701127
1999-07-09,1575.12618937943
1999-07-12,1574.0608658431834
1999-07-13,1558.9045733500504
1999-07-14,1541.1616576422912
1999-07-15,1548.1512380928823
1999-07-16,1535.9049670017969
1999-07-19,1544.440098524022
1999-07-20,1549.2425743010651
1999-07-21,1540.353608793029
1999-07-22,1521.1711249846178
1999-07-23,1489.5259126693143
1999-07-26,1456.2467264840618
1999-07-27,1455.742607505822
1999-07-28,1485.5341014763712
1999-07-29,1510.4364586134793
1999-07-30,1509.7037269524728
1999-08-02,1503.1146671569734
1999-08-03,1512.5334478020936
1999-08-04,1507.785103769392
