Date,AC PACIFIC EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1000.2391731986371
1999-01-05,1009.5741065971246
1999-01-06,1033.0965640768584
1999-01-07,1059.5072763540454
1999-01-08,1051.3613325057916
1999-01-11,1064.8181809333144
1999-01-12,1050.2521942326682
1999-01-13,1023.134146038446
1999-01-14,1008.967592741538
1999-01-15,1019.4100639833084
1999-01-18,1024.8308025931676
1999-01-19,1022.4228353726119
1999-01-20,1028.4826604497891
1999-01-21,1019.5758112938203
1999-01-22,992.4908299868747
1999-01-25,973.6995069035197
1999-01-26,981.7924851139898
1999-01-27,991.4329812012209
1999-01-28,984.6013753980876
1999-01-29,990.191653199076
1999-02-01,994.6988496190253
1999-02-02,998.1372392270737
1999-02-03,988.3628510264491
1999-02-04,979.5631689691397
1999-02-05,969.7027612543509
1999-02-08,967.6079954740915
1999-02-09,952.8654715375386
1999-02-10,953.7794847769742
1999-02-11,956.3086329700368
1999-02-12,966.8944875371005
1999-02-15,965.3166839425326
1999-02-16,958.7351771965897
1999-02-17,950.5488151895994
1999-02-18,942.8706404143659
1999-02-19,934.0384121831535
1999-02-22,939.3924791699908
1999-02-23,936.7707540378875
1999-02-24,932.2467494721482
1999-02-25,938.6096637724156
1999-02-26,949.6709598240564
1999-03-01,947.5221852998318
1999-03-02,936.09753149281
1999-03-03,938.8530563708082
1999-03-04,930.1111495090901
1999-03-05,948.9843874784455
1999-03-08,954.6375728144541
1999-03-09,958.712850121435
1999-03-10,971.1260210796087
1999-03-11,977.9703154318206
1999-03-12,987.8879837691134
1999-03-15,1006.3575709887874
1999-03-16,1023.0806483910784
1999-03-17,1026.1506349175822
1999-03-18,1015.439892767096
1999-03-19,1043.4411994195393
1999-03-22,1044.2184101208047
1999-03-23,1046.086506025869
1999-03-24,1034.7024019119708
1999-03-25,1046.2698240650843
1999-03-26,1041.1677674338605
1999-03-29,1040.385546593363
1999-03-30,1037.3433323557288
1999-03-31,1048.5808378868182
1999-04-01,1063.3725609292735
1999-04-02,1067.7054948103314
1999-04-05,1064.7918663026933
1999-04-06,1084.0608241558382
1999-04-07,1090.1790536868427
1999-04-08,1106.1213495828426
1999-04-09,1116.6011598876812
1999-04-12,1113.260503710165
1999-04-13,1126.941281498676
1999-04-14,1144.5043434656266
1999-04-15,1158.9088611584646
1999-04-16,1187.8197515319218
1999-04-19,1212.1660285362
1999-04-20,1210.932566801784
1999-04-21,1192.0601751462848
1999-04-22,1198.2712104821117
1999-04-23,1210.288071467465
1999-04-26,1226.2662652288448
1999-04-27,1235.9731867730338
1999-04-28,1243.7210417472033
1999-04-29,1244.8583024139718
1999-04-30,1259.5986641369045
1999-05-03,1274.110744381252
1999-05-04,1300.4526297040604
1999-05-05,1309.388066047182
1999-05-06,1350.1086179327453
1999-05-07,1339.4399427924589
1999-05-10,1342.1517638528096
1999-05-11,1332.9645241475719
1999-05-12,1338.1077389779248
1999-05-13,1317.5390475404902
1999-05-14,1317.5489170513686
1999-05-17,1279.9357133509832
1999-05-18,1281.5538199965179
1999-05-19,1269.9267631943385
1999-05-20,1265.3149451017525
1999-05-21,1269.0887320049596
1999-05-24,1280.3864561908674
1999-05-25,1285.1490579932415
1999-05-26,1291.330384035996
1999-05-27,1299.85641949569
1999-05-28,1290.0803286747446
1999-05-31,1288.2962227394505
1999-06-01,1307.2215703491306
1999-06-02,1311.3642207232301
1999-06-03,1309.4534563795523
1999-06-04,1315.4887780594552
1999-06-07,1343.0364365681473
1999-06-08,1372.5371237101017
1999-06-09,1374.5651092022376
1999-06-10,1402.734881029192
1999-06-11,1423.0666582400158
1999-06-14,1423.3578314853112
1999-06-15,1416.4717969188985
1999-06-16,1420.7783954601832
1999-06-17,1444.7642148006512
1999-06-18,1445.1362401173917
1999-06-21,1467.0348198292609
1999-06-22,1489.9642148001951
1999-06-23,1495.6559993608732
1999-06-24,1496.2467675588205
1999-06-25,1489.708229449857
1999-06-28,1505.585723923901
1999-06-29,1516.4779903147403
1999-06-30,1498.1684418645325
1999-07-01,1513.2430494462478
1999-07-02,1526.2242016342234
1999-07-05,1535.7849581574696
1999-07-06,1541.9927974761245
1999-07-07,1531.8617162460255
1999-07-08,1532.5686166643632
1999-07-09,1540.5886715964728
1999-07-12,1539.2093761611393
1999-07-13,1524.8347315019662
1999-07-14,1508.9156246653752
1999-07-15,1516.509436963261
1999-07-16,1503.985083412487
1999-07-19,1511.1754459036738
1999-07-20,1516.2404038548561
1999-07-21,1507.128694366186
1999-07-22,1489.584435535572
1999-07-23,1461.2349457625376
1999-07-26,1430.300792980734
1999-07-27,1428.9994181273387
1999-07-28,1456.529291073679
1999-07-29,1479.5204218793604
1999-07-30,1478.618070436793
1999-08-02,1471.0179442876902
1999-08-03,1481.4679257922621
1999-08-04,1477.7014364837862
