Date,AC ASIA PACIFIC ex JAPAN EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1014.566064653915
1999-01-05,1030.1991459342894
1999-01-06,1059.8023367779515
1999-01-07,1086.9748004345277
1999-01-08,1086.8764700851848
1999-01-11,1097.1676347949242
1999-01-12,1088.027789530413
1999-01-13,1059.0853185411117
1999-01-14,1028.1093213676545
1999-01-15,1040.6671644158916
1999-01-18,1052.0850645326307
1999-01-19,1043.7505965773835
1999-01-20,1044.133737534372
1999-01-21,1029.6962340204443
1999-01-22,1002.904427977198
1999-01-25,972.2786221535822
1999-01-26,976.397330036327
1999-01-27,995.018080386493
1999-01-28,989.0113236217214
1999-01-29,990.202343815162
1999-02-01,989.1355291789083
1999-02-02,980.0826824440699
1999-02-03,975.7996351156784
1999-02-04,963.9213104013315
1999-02-05,956.9406381836152
1999-02-08,956.400989842636
1999-02-09,944.6270082014358
1999-02-10,945.9573958729619
1999-02-11,949.2660351051103
1999-02-12,963.9415889886972
1999-02-15,964.4680833964181
1999-02-16,965.0935535509591
1999-02-17,962.9517079956341
1999-02-18,958.6040834255242
1999-02-19,950.723880155708
1999-02-22,951.2086024352016
1999-02-23,948.6584128514044
1999-02-24,944.4697968267965
1999-02-25,941.8831105440271
1999-02-26,950.953311412124
1999-03-01,959.7984745049591
1999-03-02,957.9419041453409
1999-03-03,963.9057337184585
1999-03-04,958.775180460377
1999-03-05,962.8662797027803
1999-03-08,976.5599475082955
1999-03-09,978.9442851270042
1999-03-10,982.0513941366996
1999-03-11,981.4998066820853
1999-03-12,989.7834130291601
1999-03-15,1000.1184384595406
1999-03-16,1001.651666588993
1999-03-17,1006.448908557011
1999-03-18,1006.4529211993314
1999-03-19,1026.0479812067927
1999-03-22,1037.492166564208
1999-03-23,1045.0542638745908
1999-03-24,1035.8573335736974
1999-03-25,1037.562252235953
1999-03-26,1035.9032674922635
1999-03-29,1032.6938355418176
1999-03-30,1038.5612559758358
1999-03-31,1041.3279503718445
1999-04-01,1053.762824556031
1999-04-02,1062.7126531465005
1999-04-05,1056.2403579885597
1999-04-06,1067.8669034075065
1999-04-07,1072.9835240266664
1999-04-08,1081.0677412615087
1999-04-09,1091.6707232547947
1999-04-12,1088.4693137595696
1999-04-13,1097.5476019641897
1999-04-14,1108.8350337950558
1999-04-15,1129.8627891207177
1999-04-16,1163.8008986968923
1999-04-19,1192.4996893766374
1999-04-20,1197.3861262115918
1999-04-21,1187.9898702034523
1999-04-22,1195.6083227475353
1999-04-23,1203.1067313726096
1999-04-26,1214.8183056316016
1999-04-27,1231.114671491498
1999-04-28,1238.8264576004558
1999-04-29,1243.0481209792833
1999-04-30,1267.8655636838807
1999-05-03,1293.7767392087214
1999-05-04,1337.9950969706438
1999-05-05,1352.8740270772496
1999-05-06,1386.8696765663083
1999-05-07,1377.488500658412
1999-05-10,1383.9553472062446
1999-05-11,1382.934187154598
1999-05-12,1383.1508626043922
1999-05-13,1366.6640859906288
1999-05-14,1376.959369794168
1999-05-17,1347.1369209148118
1999-05-18,1353.1214732104993
1999-05-19,1360.077723734631
1999-05-20,1353.1538108301206
1999-05-21,1347.8402558290472
1999-05-24,1369.2479173562226
1999-05-25,1374.3534182442368
1999-05-26,1370.0867237020784
1999-05-27,1372.1844214921339
1999-05-28,1355.0531515353355
1999-05-31,1361.0206707448883
1999-06-01,1367.4750189497936
1999-06-02,1373.2537794996222
1999-06-03,1385.327782944379
1999-06-04,1399.3186715706863
1999-06-07,1427.0636902855904
1999-06-08,1459.8062395386198
1999-06-09,1450.650418217529
1999-06-10,1475.6863210668582
1999-06-11,1489.7061512494784
1999-06-14,1500.3852179087114
1999-06-15,1483.5899219867845
1999-06-16,1496.6171264712757
1999-06-17,1522.1127373695535
1999-06-18,1527.098355914094
1999-06-21,1565.4503979927829
1999-06-22,1596.764461283012
1999-06-23,1609.9439378005495
1999-06-24,1610.5592174674293
1999-06-25,1600.6607228601065
1999-06-28,1623.842530314007
1999-06-29,1635.2969421095647
1999-06-30,1616.1856924605004
1999-07-01,1623.956894163441
1999-07-02,1644.6245712279238
1999-07-05,1670.5712073422123
1999-07-06,1679.9357689730443
1999-07-07,1670.4147179150484
1999-07-08,1676.6874678987026
1999-07-09,1692.1275280597458
1999-07-12,1700.7421500145208
1999-07-13,1674.8977810352114
1999-07-14,1646.6119395529875
1999-07-15,1650.839008809539
1999-07-16,1642.193880561804
1999-07-19,1638.3639456000014
1999-07-20,1643.7380239730192
1999-07-21,1629.847760969561
1999-07-22,1620.79567616502
1999-07-23,1580.3837799404087
1999-07-26,1538.0848971954972
1999-07-27,1538.7464369567886
1999-07-28,1573.5872242361452
1999-07-29,1591.3313900696596
1999-07-30,1578.5340948853714
1999-08-02,1568.5807365523467
1999-08-03,1582.690144643064
1999-08-04,1588.4286095299897
