Date,ACWI EQUAL WEIGHTED
1994-06-30,924.04418198
1994-07-29,953.2645935
1994-08-31,996.48219919
1994-09-30,993.41551096
1994-10-31,1007.01200491
1994-11-30,961.50253022
1994-12-30,954.13631847
1995-01-31,911.27458469
1995-02-28,913.20880634
1995-03-31,941.13050608
1995-04-28,965.91372356
1995-05-31,988.688404
1995-06-30,988.56552785
1995-07-31,1034.84453494
1995-08-31,1008.99925149
1995-09-29,1012.95321117
1995-10-31,983.28398083
1995-11-30,976.44319219
1995-12-29,1001.35799207
1996-01-31,1035.12941747
1996-02-29,1050.9692718
1996-03-29,1061.86272217
1996-04-30,1103.76663193
1996-05-31,1095.59431605
1996-06-28,1085.12023919
1996-07-31,1033.43947257
1996-08-30,1043.97298292
1996-09-30,1057.59480351
1996-10-31,1048.80257246
1996-11-29,1075.97300713
1996-12-31,1066.30460728
1997-01-01,1066.30408307
1997-01-02,1064.53259255
1997-01-03,1068.53741917
1997-01-06,1071.1651085
1997-01-07,1073.90236246
1997-01-08,1075.50109703
1997-01-09,1076.32672123
1997-01-10,1074.49503438
1997-01-13,1084.24186663
1997-01-14,1090.29394176
1997-01-15,1097.16245997
1997-01-16,1101.52781031
1997-01-17,1100.242644
1997-01-20,1098.42298404
1997-01-21,1093.17457284
1997-01-22,1094.68866757
1997-01-23,1092.86559829
1997-01-24,1091.06262293
1997-01-27,1088.38820094
1997-01-28,1086.00454378
1997-01-29,1086.65349679
1997-01-30,1091.26627566
1997-01-31,1096.43383994
1997-02-03,1097.40168675
1997-02-04,1098.81848854
1997-02-05,1098.52371644
1997-02-06,1100.13301391
1997-02-07,1100.09434372
1997-02-10,1107.59689473
1997-02-11,1106.82063234
1997-02-12,1111.83483431
1997-02-13,1115.35980588
1997-02-14,1116.28832991
1997-02-17,1119.31884045
1997-02-18,1120.09215883
1997-02-19,1121.71607762
1997-02-20,1125.045446
1997-02-21,1126.0448365
1997-02-24,1128.13086657
1997-02-25,1132.64862656
1997-02-26,1126.06233883
1997-02-27,1120.1772859
1997-02-28,1117.33924146
1997-03-03,1112.9491251
1997-03-04,1110.26723166
1997-03-05,1111.22826865
1997-03-06,1111.51074782
1997-03-07,1113.89113798
1997-03-10,1117.21300775
1997-03-11,1117.13072752
1997-03-12,1110.53499715
1997-03-13,1103.29506319
1997-03-14,1101.92336939
1997-03-17,1101.71264084
1997-03-18,1101.2206637
1997-03-19,1098.18424914
1997-03-20,1090.9343051
1997-03-21,1092.62978389
1997-03-24,1087.41667471
1997-03-25,1091.98370573
1997-03-26,1098.14589543
1997-03-27,1096.14981903
1997-03-28,1096.07174621
1997-03-31,1091.2086376
1997-04-01,1083.25900108
1997-04-02,1084.54237399
1997-04-03,1081.47171199
1997-04-04,1080.97074042
1997-04-07,1078.28573129
1997-04-08,1079.23635396
1997-04-09,1078.23885004
1997-04-10,1074.3836804
1997-04-11,1069.50992565
1997-04-14,1066.88372719
1997-04-15,1072.07628446
1997-04-16,1077.46781668
1997-04-17,1078.40420739
1997-04-18,1081.48338727
1997-04-21,1086.37360624
1997-04-22,1086.2019364
1997-04-23,1091.25211755
1997-04-24,1088.60062309
1997-04-25,1084.45756484
1997-04-28,1083.53814124
1997-04-29,1087.44842792
1997-04-30,1094.41143906
1997-05-01,1099.16043082
1997-05-02,1103.12192717
1997-05-05,1109.07436049
1997-05-06,1117.7924904
1997-05-07,1114.53083419
1997-05-08,1115.93027664
1997-05-09,1121.01680352
1997-05-12,1126.92639809
1997-05-13,1128.12124148
1997-05-14,1129.83944017
1997-05-15,1133.47275831
1997-05-16,1135.19988936
1997-05-19,1136.5499122
1997-05-20,1143.69205202
1997-05-21,1144.5822374
1997-05-22,1139.58908099
1997-05-23,1144.68180069
1997-05-26,1142.4715189
1997-05-27,1139.32893892
1997-05-28,1143.06514385
1997-05-29,1142.18487878
1997-05-30,1138.85524409
1997-06-02,1145.93833387
1997-06-03,1150.5409973
1997-06-04,1150.15765062
1997-06-05,1153.75636983
1997-06-06,1157.53977834
1997-06-09,1165.2163558
1997-06-10,1166.77647807
1997-06-11,1169.6041895
1997-06-12,1172.80431389
1997-06-13,1174.35729511
1997-06-16,1180.30098866
1997-06-17,1177.17093894
1997-06-18,1174.44367226
1997-06-19,1178.40631233
1997-06-20,1178.35635461
1997-06-23,1175.95930361
1997-06-24,1176.94123264
1997-06-25,1181.16714983
1997-06-26,1180.29117639
1997-06-27,1177.67943786
1997-06-30,1180.0028529
1997-07-01,1185.00386727
1997-07-02,1194.61896846
1997-07-03,1204.06639647
1997-07-04,1204.24382241
1997-07-07,1203.65114441
1997-07-08,1201.45125232
1997-07-09,1200.17663022
1997-07-10,1201.91579406
1997-07-11,1200.0289789
1997-07-14,1197.13303929
1997-07-15,1190.22507108
1997-07-16,1195.38350512
1997-07-17,1196.25843938
1997-07-18,1188.02838119
1997-07-21,1182.92454466
1997-07-22,1187.09668674
1997-07-23,1189.34061702
1997-07-24,1190.36926118
1997-07-25,1189.62827444
1997-07-28,1191.43627397
1997-07-29,1194.91894612
1997-07-30,1197.58112731
1997-07-31,1201.39754149
1997-08-01,1189.94801505
1997-08-04,1188.36645905
1997-08-05,1185.33375102
1997-08-06,1191.71426627
1997-08-07,1190.74037246
1997-08-08,1189.97969593
1997-08-11,1184.10089549
1997-08-12,1180.43006978
1997-08-13,1178.16798442
1997-08-14,1173.11751301
1997-08-15,1169.74493049
1997-08-18,1155.39264135
1997-08-19,1156.22707019
1997-08-20,1163.91880013
1997-08-21,1163.71769321
1997-08-22,1154.4602275
1997-08-25,1149.22820681
1997-08-26,1147.75076271
1997-08-27,1141.47801548
1997-08-28,1129.09831836
1997-08-29,1115.80019582
1997-09-01,1103.55001794
1997-09-02,1109.67834858
1997-09-03,1116.9276399
1997-09-04,1116.58747052
1997-09-05,1132.70881289
1997-09-08,1142.79922309
1997-09-09,1149.20129475
1997-09-10,1141.41682651
1997-09-11,1130.42742432
1997-09-12,1133.273807
1997-09-15,1135.33404692
1997-09-16,1135.22640419
1997-09-17,1134.44561176
1997-09-18,1134.53826968
1997-09-19,1134.42806934
1997-09-22,1130.33447773
1997-09-23,1130.79693725
1997-09-24,1139.10869369
1997-09-25,1138.75825921
1997-09-26,1136.01690702
1997-09-29,1136.83797155
1997-09-30,1139.29350532
1997-10-01,1136.38732566
1997-10-02,1135.52703188
1997-10-03,1135.17677615
1997-10-06,1136.9099825
1997-10-07,1136.15948645
1997-10-08,1136.90800562
1997-10-09,1135.24367431
1997-10-10,1137.30360825
1997-10-13,1138.22768483
1997-10-14,1138.46520178
1997-10-15,1133.69308374
1997-10-16,1132.7614449
1997-10-17,1122.43121486
1997-10-20,1112.87314421
1997-10-21,1117.62006906
1997-10-22,1119.32064693
1997-10-23,1097.40208297
1997-10-24,1088.32489038
1997-10-27,1045.55382559
1997-10-28,1017.56219191
1997-10-29,1040.98956519
1997-10-30,1024.49045433
1997-10-31,1032.82997409
1997-11-03,1054.34559327
1997-11-04,1061.05031894
1997-11-05,1061.99731632
1997-11-06,1057.22362129
1997-11-07,1035.23328671
1997-11-10,1029.4350978
1997-11-11,1025.86504402
1997-11-12,1004.59061664
1997-11-13,1000.15434922
1997-11-14,998.66298368
1997-11-17,1012.72008318
1997-11-18,1009.03086539
1997-11-19,994.5878761
1997-11-20,995.132836
1997-11-21,1007.48601701
1997-11-24,991.24199915
1997-11-25,974.4550514
1997-11-26,975.02496771
1997-11-27,979.3354821
1997-11-28,975.55206866
1997-12-01,972.63100761
1997-12-02,972.92015515
1997-12-03,972.99696889
1997-12-04,978.11120618
1997-12-05,977.76679747
1997-12-08,975.38263609
1997-12-09,965.88741684
1997-12-10,958.45887742
1997-12-11,931.15111474
1997-12-12,921.7907599
1997-12-15,921.33467138
1997-12-16,925.8943363
1997-12-17,940.15315406
1997-12-18,937.89735332
1997-12-19,919.59561146
1997-12-22,908.84170119
1997-12-23,902.51970373
1997-12-24,901.34812457
1997-12-25,901.38590222
1997-12-26,911.00064555
1997-12-29,919.90907116
1997-12-30,926.39830396
1997-12-31,927.93146709
1998-01-01,927.93146709
1998-01-02,925.92474722
1998-01-05,919.97115177
1998-01-06,907.75115946
1998-01-07,900.12106894
1998-01-08,885.62142709
1998-01-09,869.40915895
1998-01-12,851.02428961
1998-01-13,865.38374978
1998-01-14,881.86619353
1998-01-15,879.98740078
1998-01-16,895.05247478
1998-01-19,913.90153062
1998-01-20,913.03951404
1998-01-21,912.89282307
1998-01-22,906.26794816
1998-01-23,908.29824229
1998-01-26,921.00111123
1998-01-27,928.82335726
1998-01-28,934.6642164
1998-01-29,933.07277263
1998-01-30,940.913129
1998-02-02,959.58799874
1998-02-03,973.17012388
1998-02-04,971.76981626
1998-02-05,985.41084729
1998-02-06,994.39438772
1998-02-09,996.24397456
