Date,AC ASIA ex JAPAN EQUAL WEIGHTED
1994-06-30,2514.41514821
1994-07-29,2574.6153412
1994-08-31,2713.80675475
1994-09-30,2764.42927232
1994-10-31,2821.00722414
1994-11-30,2658.37335946
1994-12-30,2593.90368854
1995-01-31,2308.05134962
1995-02-28,2340.03072472
1995-03-31,2307.2021845
1995-04-28,2210.97272409
1995-05-31,2368.05708875
1995-06-30,2364.97320651
1995-07-31,2470.28462437
1995-08-31,2373.94011042
1995-09-29,2348.75560383
1995-10-31,2264.32210104
1995-11-30,2125.51741681
1995-12-29,2169.13931946
1996-01-31,2236.64807231
1996-02-29,2299.45157618
1996-03-29,2292.73342921
1996-04-30,2450.37389556
1996-05-31,2390.03712012
1996-06-28,2286.07019908
1996-07-31,2117.7086594
1996-08-30,2111.58595254
1996-09-30,2077.67596812
1996-10-31,2019.48138528
1996-11-29,2025.92569388
1996-12-31,1982.09423127
1997-01-01,1982.09423127
1997-01-02,1990.60826141
1997-01-03,1994.1491812
1997-01-06,1985.80411028
1997-01-07,1985.31036536
1997-01-08,2000.38501427
1997-01-09,2013.62772456
1997-01-10,2024.66812366
1997-01-13,2040.03059256
1997-01-14,2048.10147175
1997-01-15,2081.04421479
1997-01-16,2084.21756953
1997-01-17,2073.76521074
1997-01-20,2091.43793544
1997-01-21,2067.51894727
1997-01-22,2073.45064382
1997-01-23,2067.29155028
1997-01-24,2060.54692884
1997-01-27,2059.05701772
1997-01-28,2061.79274209
1997-01-29,2045.98535134
1997-01-30,2054.78081454
1997-01-31,2049.3784671
1997-02-03,2049.43209953
1997-02-04,2058.79120936
1997-02-05,2062.13038663
1997-02-06,2064.65204539
1997-02-07,2064.15176269
1997-02-10,2071.78293526
1997-02-11,2076.52414567
1997-02-12,2087.75391773
1997-02-13,2092.57498554
1997-02-14,2085.08739249
1997-02-17,2100.78466761
1997-02-18,2090.385134
1997-02-19,2104.63977745
1997-02-20,2117.23811127
1997-02-21,2108.17088729
1997-02-24,2088.10754667
1997-02-25,2100.74551697
1997-02-26,2091.8524421
1997-02-27,2085.73573522
1997-02-28,2101.87984998
1997-03-03,2106.11604957
1997-03-04,2092.53886659
1997-03-05,2092.89763142
1997-03-06,2085.08405192
1997-03-07,2088.73843518
1997-03-10,2071.63322263
1997-03-11,2068.57117459
1997-03-12,2069.08632377
1997-03-13,2062.35211035
1997-03-14,2041.36795723
1997-03-17,2053.67608903
1997-03-18,2048.25442381
1997-03-19,2032.32132054
1997-03-20,2021.1281253
1997-03-21,1995.35390739
1997-03-24,1977.0369547
1997-03-25,1993.96222009
1997-03-26,2019.78896541
1997-03-27,2015.89131271
1997-03-28,2011.55759562
1997-03-31,1999.83492515
1997-04-01,1993.93442322
1997-04-02,2005.09598307
1997-04-03,2000.27148208
1997-04-04,2003.55780806
1997-04-07,2005.09443304
1997-04-08,2004.49985723
1997-04-09,2019.59948462
1997-04-10,2006.05713766
1997-04-11,2011.55082113
1997-04-14,2006.81462632
1997-04-15,1999.63332115
1997-04-16,2009.7843745
1997-04-17,2005.88285506
1997-04-18,2003.84637169
1997-04-21,2021.69523093
1997-04-22,2011.55709844
1997-04-23,2019.46854545
1997-04-24,2011.78769697
1997-04-25,2014.98922791
1997-04-28,2009.564814
1997-04-29,1989.88654892
1997-04-30,2002.7431659
1997-05-01,2004.47459416
1997-05-02,1997.76850631
1997-05-05,2005.95210475
1997-05-06,2002.85220262
1997-05-07,1996.71081274
1997-05-08,1983.68998304
1997-05-09,1978.57476057
1997-05-12,1948.74970403
1997-05-13,1950.23818918
1997-05-14,1943.94166652
1997-05-15,1939.98228337
1997-05-16,1933.22254019
1997-05-19,1953.70800393
1997-05-20,1965.67777332
1997-05-21,1971.82804622
1997-05-22,1960.33179208
1997-05-23,1963.44119972
1997-05-26,1950.15587214
1997-05-27,1951.45673307
1997-05-28,1957.23982577
1997-05-29,1958.42394057
