Date,AC EUROPE EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0001959288636
1999-01-04,1030.1776159479236
1999-01-05,1034.8998366738322
1999-01-06,1046.5922149151827
1999-01-07,1034.396919695886
1999-01-08,1029.5481826057485
1999-01-11,1023.6709288194147
1999-01-12,1011.6827502794632
1999-01-13,982.2659266001957
1999-01-14,985.8118486203595
1999-01-15,980.1901484766888
1999-01-18,996.942174401756
1999-01-19,994.6403345272031
1999-01-20,995.385337880566
1999-01-21,991.9537504605004
1999-01-22,975.747027625522
1999-01-25,971.7057284311896
1999-01-26,978.9005278832236
1999-01-27,983.7886670982682
1999-01-28,983.2364522744557
1999-01-29,986.2818137590734
1999-02-01,992.8761017670047
1999-02-02,998.3546457187118
1999-02-03,995.629861597864
1999-02-04,996.0737677130729
1999-02-05,996.3159530387129
1999-02-08,995.2988789614778
1999-02-09,990.3978375485249
1999-02-10,985.3659417777412
1999-02-11,993.8669213024687
1999-02-12,999.7840501505138
1999-02-15,1000.147148626463
1999-02-16,1000.5566327187635
1999-02-17,1001.3104080744822
1999-02-18,998.6080231508682
1999-02-19,992.3131210903086
1999-02-22,991.2871662319761
1999-02-23,985.5645891394537
1999-02-24,990.8785035150067
1999-02-25,994.7396567434562
1999-02-26,991.6631895193303
1999-03-01,989.6065894515989
1999-03-02,991.9902986929551
1999-03-03,991.1106121104024
1999-03-04,981.3293753909207
1999-03-05,997.0791242962866
1999-03-08,1002.1017633012551
1999-03-09,1005.8330090309438
1999-03-10,1010.039202165214
1999-03-11,1013.4942052054027
1999-03-12,1026.9069591776572
1999-03-15,1021.8955952711972
1999-03-16,1019.4325626824088
1999-03-17,1028.9402478254265
1999-03-18,1027.2141936385956
1999-03-19,1034.586042059819
1999-03-22,1028.294174038497
1999-03-23,1017.8763586215911
1999-03-24,1005.8362627943463
1999-03-25,1017.6426337528285
1999-03-26,1008.1499384245225
1999-03-29,1011.2314560229883
1999-03-30,1016.120782020863
1999-03-31,1021.2996120764063
1999-04-01,1016.9265103977398
1999-04-02,1018.1995539912516
1999-04-05,1012.6971370153923
1999-04-06,1024.0492144169464
1999-04-07,1035.9438713553395
1999-04-08,1041.4459653422332
1999-04-09,1038.5674098767604
1999-04-12,1036.9676148762646
1999-04-13,1036.338260753409
1999-04-14,1049.1054291469586
1999-04-15,1046.8140576391297
1999-04-16,1051.8222703252063
1999-04-19,1056.9395300932729
1999-04-20,1051.9331707884912
1999-04-21,1050.3737931241521
1999-04-22,1055.6902114865907
1999-04-23,1061.6660935657787
1999-04-26,1063.9862816227824
1999-04-27,1080.227502598088
1999-04-28,1078.5866828244182
1999-04-29,1075.884570853486
1999-04-30,1081.8214353749293
1999-05-03,1087.9171430225563
1999-05-04,1097.2593211813387
1999-05-05,1101.7355829683422
1999-05-06,1115.0514682781165
1999-05-07,1113.0573715056894
1999-05-10,1116.9934493619378
1999-05-11,1118.9290828268302
1999-05-12,1105.4971376332087
1999-05-13,1105.2060985572398
1999-05-14,1108.6996842507535
1999-05-17,1092.356898178578
1999-05-18,1102.0398431168537
1999-05-19,1111.1881862685705
1999-05-20,1115.7697091780635
1999-05-21,1106.8017327612363
1999-05-24,1104.9015867519831
1999-05-25,1095.9673616525843
1999-05-26,1081.348254446708
1999-05-27,1075.0431133156742
1999-05-28,1071.819310309545
1999-05-31,1071.3306027375666
1999-06-01,1079.2584280187116
1999-06-02,1070.5262586678728
1999-06-03,1076.0809902736878
1999-06-04,1078.4250784779247
1999-06-07,1084.0492691965028
1999-06-08,1096.2966458178591
1999-06-09,1098.1850946813224
1999-06-10,1101.4219206342812
1999-06-11,1109.8276866792385
1999-06-14,1102.7424229682706
1999-06-15,1101.3433860647779
1999-06-16,1095.2761457570157
1999-06-17,1099.0015081601036
1999-06-18,1109.6120571440645
1999-06-21,1110.3853374195746
1999-06-22,1103.802482802042
1999-06-23,1092.0110822331044
