Date,AC ASIA EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1000.4894483815297
1999-01-05,1009.5673264166822
1999-01-06,1030.314047298315
1999-01-07,1054.766019561916
1999-01-08,1050.8963725948838
1999-01-11,1064.81326771834
1999-01-12,1049.5069046789586
1999-01-13,1024.621197609254
1999-01-14,1009.3518408154537
1999-01-15,1016.0121392811686
1999-01-18,1021.9562765481589
1999-01-19,1017.1023737291099
1999-01-20,1021.9320776149196
1999-01-21,1017.551632225942
1999-01-22,993.2515227476993
1999-01-25,976.9023189711864
1999-01-26,984.1074185994876
1999-01-27,994.1189917985548
1999-01-28,985.3347016064716
1999-01-29,988.8412188513528
1999-02-01,989.3946525470587
1999-02-02,990.1776566066493
1999-02-03,981.8971177026425
1999-02-04,971.4203874841388
1999-02-05,960.529943827225
1999-02-08,958.3869264846059
1999-02-09,946.2712238761578
1999-02-10,949.8689130940762
1999-02-11,952.0156153744323
1999-02-12,963.4040483469787
1999-02-15,963.3317861535456
1999-02-16,960.0695587425685
1999-02-17,953.4288665322099
1999-02-18,946.8844924442716
1999-02-19,935.6313974315752
1999-02-22,940.3177042000476
1999-02-23,938.8039525556109
1999-02-24,934.696682429399
1999-02-25,941.2671981489344
1999-02-26,951.2545583719107
1999-03-01,953.2083945303665
1999-03-02,943.2997156990446
1999-03-03,947.7342148813967
1999-03-04,938.8680068631818
1999-03-05,956.439016407568
1999-03-08,964.386961784589
1999-03-09,971.32686890038
1999-03-10,985.8524807183157
1999-03-11,988.5510356931751
1999-03-12,998.0618124732375
1999-03-15,1016.9290116308955
1999-03-16,1031.9030601896573
1999-03-17,1035.874836370062
1999-03-18,1025.2159979708447
1999-03-19,1052.745385148024
1999-03-22,1057.6112931587425
1999-03-23,1060.1802363679558
1999-03-24,1047.857110943259
1999-03-25,1057.296775752717
1999-03-26,1051.9653499548938
1999-03-29,1051.47904386121
1999-03-30,1050.4500248129907
1999-03-31,1063.0405790919358
1999-04-01,1075.0431652387101
1999-04-02,1078.3526037211864
1999-04-05,1071.5057910508444
1999-04-06,1089.7212828168606
1999-04-07,1095.645145073608
1999-04-08,1109.570607933995
1999-04-09,1115.348439737871
1999-04-12,1110.9861144337194
1999-04-13,1121.9348395907675
1999-04-14,1138.5240448580914
1999-04-15,1149.9105588052669
1999-04-16,1178.9772691098005
1999-04-19,1197.953925185633
1999-04-20,1198.9938590284623
1999-04-21,1182.1812712521098
1999-04-22,1185.5670107185647
1999-04-23,1196.1338879030911
1999-04-26,1207.706113272092
1999-04-27,1216.4074923309322
1999-04-28,1225.4799851449195
1999-04-29,1227.2257883157572
1999-04-30,1240.31664834458
1999-05-03,1256.0626100776954
1999-05-04,1284.0463781742124
1999-05-05,1295.0110018506377
1999-05-06,1333.022022936812
1999-05-07,1325.6084077526561
1999-05-10,1334.1221367527814
1999-05-11,1327.2869170458896
1999-05-12,1329.954836692716
1999-05-13,1314.053173321354
1999-05-14,1316.8696296704993
1999-05-17,1283.0685721425564
1999-05-18,1286.0937528732045
1999-05-19,1281.1625387492104
1999-05-20,1277.5427430042223
1999-05-21,1277.1433852762989
1999-05-24,1294.2954803556067
1999-05-25,1298.7798295007372
1999-05-26,1298.9416354084203
1999-05-27,1300.4735842697087
1999-05-28,1287.607307521652
1999-05-31,1293.8928864638708
1999-06-01,1308.314481034424
1999-06-02,1312.8914048779925
1999-06-03,1311.8135746488804
1999-06-04,1318.881840899914
1999-06-07,1344.6053596304337
1999-06-08,1374.2553924318197
1999-06-09,1373.4289250131133
1999-06-10,1401.3159700177482
1999-06-11,1417.4629216470894
1999-06-14,1414.1119030507305
1999-06-15,1405.17884758113
1999-06-16,1413.4438380665829
1999-06-17,1438.7927364282452
1999-06-18,1438.09028724907
1999-06-21,1463.8314308347094
1999-06-22,1486.386837396373
1999-06-23,1488.411005446903
1999-06-24,1488.3570530588956
1999-06-25,1480.8340221936462
1999-06-28,1499.434871581833
1999-06-29,1510.4662679475307
1999-06-30,1492.4777088764895
1999-07-01,1502.9464076265563
1999-07-02,1516.8302225218888
1999-07-05,1531.9679013798823
1999-07-06,1538.528354743435
1999-07-07,1531.3214097443536
1999-07-08,1531.1170407288005
1999-07-09,1543.0112780482252
1999-07-12,1553.2707727609015
1999-07-13,1539.7038118310963
1999-07-14,1526.2878173878669
1999-07-15,1530.2760679374783
1999-07-16,1519.2164856939664
1999-07-19,1530.0155212388997
1999-07-20,1532.2275416236434
1999-07-21,1527.45720716514
1999-07-22,1512.4050623559406
1999-07-23,1483.5088084883175
1999-07-26,1455.2810700116831
1999-07-27,1453.7197241573322
1999-07-28,1478.7315062197627
1999-07-29,1499.5600392529957
1999-07-30,1498.0319728887841
1999-08-02,1491.4083783810815
1999-08-03,1500.2111147549501
1999-08-04,1500.986447199245
1999-08-05,1470.6087168199965
