Date,ACWI ex USA EQUAL WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0000691818698
1999-01-04,1012.7751171080876
1999-01-05,1019.7164234923403
1999-01-06,1037.1745697539975
1999-01-07,1041.7715729464685
1999-01-08,1038.9380879541195
1999-01-11,1041.687225027337
1999-01-12,1026.2594017391639
1999-01-13,995.4626851166576
1999-01-14,987.4990887994524
1999-01-15,994.4728617726034
1999-01-18,1003.1496486027849
1999-01-19,1000.1152000145382
1999-01-20,1003.6835286819526
1999-01-21,996.5332168844684
1999-01-22,978.3783416948935
1999-01-25,969.2536775134305
1999-01-26,975.6437530541008
1999-01-27,981.4466703559143
1999-01-28,977.6135964285321
1999-01-29,981.5671754269221
1999-02-01,989.3233164568828
1999-02-02,992.5016249019517
1999-02-03,987.30585162034
1999-02-04,983.6538199385174
1999-02-05,979.1271461962056
1999-02-08,977.342135555699
1999-02-09,967.9830753077512
1999-02-10,967.2343092176992
1999-02-11,973.7799024378058
1999-02-12,980.793510448
1999-02-15,981.2430171361115
1999-02-16,978.7857471869855
1999-02-17,974.6329721891591
1999-02-18,971.2832774643043
1999-02-19,965.4704399926655
1999-02-22,967.7913818019574
1999-02-23,964.4933909652641
1999-02-24,963.0421564239682
1999-02-25,965.5791549233941
1999-02-26,968.978465460405
1999-03-01,967.2928539618613
1999-03-02,962.4299313402266
1999-03-03,965.1240137945134
1999-03-04,961.442747423283
1999-03-05,978.501598904356
1999-03-08,986.8630910232511
1999-03-09,993.1606421510486
1999-03-10,1003.0523713687021
1999-03-11,1006.108098944489
1999-03-12,1015.2967322146299
1999-03-15,1024.6043450276582
1999-03-16,1030.7698079465054
1999-03-17,1036.4055803760284
1999-03-18,1032.6958023171985
1999-03-19,1047.8724449750055
1999-03-22,1047.5439459758743
1999-03-23,1043.5540827132832
1999-03-24,1034.0498070133642
1999-03-25,1045.6111268742304
1999-03-26,1040.0515620147064
1999-03-29,1042.7352089995168
1999-03-30,1044.3062078079554
1999-03-31,1052.9034126094311
1999-04-01,1057.5251904133215
1999-04-02,1059.4294555933764
1999-04-05,1057.0026273157282
1999-04-06,1069.6221248654904
1999-04-07,1077.0164324085035
1999-04-08,1085.7831943206218
1999-04-09,1088.0735882661936
1999-04-12,1087.504557649882
1999-04-13,1094.8573371340751
1999-04-14,1108.179130858749
1999-04-15,1116.2611504185918
1999-04-16,1136.7954811027444
1999-04-19,1151.551344051511
1999-04-20,1147.1118647496735
1999-04-21,1138.559729846587
1999-04-22,1143.221927148078
1999-04-23,1150.0282356646783
1999-04-26,1154.380587143463
1999-04-27,1163.1059332019354
1999-04-28,1169.7246495996526
1999-04-29,1172.1358357853644
1999-04-30,1181.7710918791765
1999-05-03,1193.5601918095758
1999-05-04,1209.469757972641
1999-05-05,1215.1800018613028
1999-05-06,1240.6199073850323
1999-05-07,1238.090007995638
1999-05-10,1244.8360000614632
1999-05-11,1242.0574297915553
1999-05-12,1236.6864968514335
1999-05-13,1233.3308013744092
1999-05-14,1233.7999979184683
1999-05-17,1211.1807701567343
1999-05-18,1216.8645003666977
1999-05-19,1214.0377785466308
1999-05-20,1211.7222351583264
1999-05-21,1205.3892170666136
1999-05-24,1207.5986783405317
1999-05-25,1200.605170586289
1999-05-26,1198.1439848592788
1999-05-27,1194.062174453218
1999-05-28,1187.9052230077941
1999-05-31,1191.335901168646
1999-06-01,1199.8187222490853
1999-06-02,1197.865161000294
1999-06-03,1200.812349001878
1999-06-04,1206.9721869549808
1999-06-07,1222.0377688479061
