Date,WORLD SMALL CAP MINIMUM VOLATILITY (USD)
2001-05-31,1000.0
2001-06-01,1002.7573634711082
2001-06-04,1006.5318050175822
2001-06-05,1011.049991540213
2001-06-06,1007.8259675475458
2001-06-07,1011.209432901599
2001-06-08,1010.2529445037812
2001-06-11,1006.3137309231818
2001-06-12,1005.8862031341926
2001-06-13,1009.5255372510824
2001-06-14,1008.2886430690068
2001-06-15,1003.1994218700434
2001-06-18,998.4044800800858
2001-06-19,995.0577391383495
2001-06-20,991.9136043617125
2001-06-21,995.7758719941845
2001-06-22,993.2318428630076
2001-06-25,995.2216211131421
2001-06-26,1000.9783025385796
2001-06-27,1000.6191935042173
2001-06-28,996.0499891477118
2001-06-29,1004.8399190212562
2001-07-02,999.113412087338
2001-07-03,1000.7035134985304
2001-07-04,999.2258605019514
2001-07-05,993.2866930736886
2001-07-06,988.5947571249335
2001-07-09,987.3721667684957
2001-07-10,990.7245909609227
2001-07-11,989.4696731999098
2001-07-12,993.5813246124906
2001-07-13,993.4079908406999
2001-07-16,992.5734675354367
2001-07-17,991.221494534306
2001-07-18,996.8081703009108
2001-07-19,1000.5040207559273
2001-07-20,1001.1637238401042
2001-07-23,990.0852587749488
2001-07-24,988.3536977589937
2001-07-25,991.533298390484
2001-07-26,994.5848184525005
2001-07-27,993.3969265633015
2001-07-30,991.7111170833568
2001-07-31,994.2059188359879
2001-08-01,1001.6463784047461
2001-08-02,1008.4288903243822
2001-08-03,1008.1918862629705
2001-08-06,1004.1276018753092
2001-08-07,1003.0230813731572
2001-08-08,1001.2430695734059
2001-08-09,1002.4409289648202
2001-08-10,1008.7865375978623
2001-08-13,1008.6688031809899
2001-08-14,1014.417491237747
2001-08-15,1025.2060540580362
2001-08-16,1026.9417331202994
2001-08-17,1027.1291497451864
2001-08-20,1024.1261478825688
2001-08-21,1027.1521874818204
2001-08-22,1034.9164060484525
2001-08-23,1028.642683470047
2001-08-24,1030.7775775286843
2001-08-27,1029.7075840621335
2001-08-28,1025.835330539873
2001-08-29,1026.336701795204
2001-08-30,1020.190793278082
2001-08-31,1015.09789068557
2001-09-03,1007.7414119726952
2001-09-04,1004.308956449051
2001-09-05,997.6572002059775
2001-09-06,991.3542786628839
2001-09-07,988.7479449492628
2001-09-10,971.0739853925689
2001-09-11,966.7558157404907
2001-09-12,945.0170073245508
2001-09-13,949.2947171168022
2001-09-14,953.6358133313885
2001-09-17,926.3011964524021
2001-09-18,927.3143320311101
2001-09-19,924.971143179062
2001-09-20,905.359093867322
2001-09-21,884.4969795192469
2001-09-24,895.3901799423537
2001-09-25,905.5185201238866
2001-09-26,906.355620834746
2001-09-27,904.7181457551352
