Date,RUSSIA IMI MOMENTUM
1998-05-29,1000.0
1998-06-01,894.5183549536087
1998-06-02,1019.1232062988719
1998-06-03,1097.823426222441
1998-06-04,1095.577485910676
1998-06-05,1087.2979032185483
1998-06-08,1074.8851380357848
1998-06-09,1021.2084356331638
1998-06-10,977.2737013704058
1998-06-11,949.1446651603253
1998-06-12,954.9130269994237
1998-06-15,866.8905997043233
1998-06-16,898.6372458702068
1998-06-17,956.5983961599835
1998-06-18,928.0748415487715
1998-06-19,904.1588507204724
1998-06-22,896.8054114396582
1998-06-23,916.8534185496356
1998-06-24,925.3125709447366
1998-06-25,901.8358590996202
1998-06-26,854.9318626408899
1998-06-29,803.0415014338124
1998-06-30,798.1683801687722
1998-07-01,778.9949918385724
1998-07-02,772.2216988669509
1998-07-03,812.2665052375412
1998-07-06,771.994602913718
1998-07-07,738.7946939425941
1998-07-08,722.5381273537914
1998-07-09,727.2122994131025
1998-07-10,786.6015089025391
1998-07-13,855.5462561121396
1998-07-14,978.6868580947622
1998-07-15,997.0464336669604
1998-07-16,947.4788202400337
1998-07-17,1005.2833542986716
1998-07-20,999.5071005199516
1998-07-21,949.575665693336
1998-07-22,899.971508162004
1998-07-23,858.009447785857
1998-07-24,830.7838998001229
1998-07-27,761.5889272591265
1998-07-28,777.7480168672726
1998-07-29,781.0886708590422
1998-07-30,811.1623805332381
1998-07-31,797.368347466376
1998-08-03,767.7751542405516
1998-08-04,763.3788602821751
1998-08-05,736.0347485571353
1998-08-06,710.7420362030905
1998-08-07,703.4321904416523
1998-08-10,637.4048505161091
1998-08-11,595.9570157274262
1998-08-12,575.9945286092682
1998-08-13,533.5874032955402
1998-08-14,588.8604588100003
1998-08-17,553.7467535435122
1998-08-18,505.35658597069005
1998-08-19,456.75740604676173
1998-08-20,441.1691507131981
1998-08-21,410.9908845594754
1998-08-24,441.2012619136159
1998-08-25,445.0638286252937
1998-08-26,372.90270486466153
1998-08-27,296.8005432787314
1998-08-28,312.41448031368867
1998-08-31,299.5394390271064
1998-09-01,301.4029584373301
1998-09-02,302.6106076866262
1998-09-03,279.25520481460495
1998-09-04,292.0046426982478
1998-09-07,290.95045088875924
1998-09-08,291.20298090868243
1998-09-09,281.720853017136
1998-09-10,293.7667922799846
1998-09-11,285.35566881557764
1998-09-14,291.5762490468705
1998-09-15,283.19479712225325
1998-09-16,258.147690208132
1998-09-17,228.15749066447776
1998-09-18,218.8187963378732
1998-09-21,176.37517595339196
1998-09-22,211.20958741941567
1998-09-23,218.45119017888052
1998-09-24,222.86184384613603
1998-09-25,217.0991384546447
1998-09-28,219.37500475858576
1998-09-29,214.9939988249478
1998-09-30,197.512902802998
1998-10-01,151.75148067983238
1998-10-02,145.11181582317155
1998-10-05,145.3327416287872
1998-10-06,162.084794664088
1998-10-07,172.8019850811097
1998-10-08,162.7027145340584
1998-10-09,175.8310565536948
1998-10-12,185.65535290236915
1998-10-13,204.56983100093697
1998-10-14,233.7211621101491
1998-10-15,271.28892498216914
1998-10-16,282.404448208558
1998-10-19,274.9486713704502
1998-10-20,286.75175879346773
1998-10-21,320.5170872245266
1998-10-22,329.7749592437815
1998-10-23,299.43168873834844
1998-10-26,290.5268516430062
1998-10-27,273.96117029690436
1998-10-28,250.395011503803
1998-10-29,261.00409822212123
1998-10-30,268.9590498516362
1998-11-02,276.2356563987368
1998-11-03,284.3410314894437
1998-11-04,299.48109025298646
1998-11-05,295.46913816263265
1998-11-06,317.65930491677295
1998-11-09,316.546470075471
1998-11-10,314.9712776989648
1998-11-11,295.38014558295805
1998-11-12,288.0970912389433
1998-11-13,280.0243974026374
1998-11-16,277.00388875640493
1998-11-17,280.3165140775761
1998-11-18,278.5697926175572
1998-11-19,282.1145427662686
1998-11-20,313.48272984674526
1998-11-23,355.4950552886285
1998-11-24,355.1948303477511
1998-11-25,352.60504486540043
1998-11-26,368.929966157908
1998-11-27,370.4895016824044
1998-11-30,363.6079623912869
1998-12-01,342.8424320952704
1998-12-02,337.1170535558371
1998-12-03,320.2051181978748
1998-12-04,311.74523377544654
1998-12-07,307.4718662128039
1998-12-08,289.3790811369533
1998-12-09,283.75998854040574
1998-12-10,296.3661441916174
1998-12-11,287.86810200478476
1998-12-14,286.8836935937167
1998-12-15,286.5734235301017
1998-12-16,301.77232861052124
1998-12-17,295.5889965431385
1998-12-18,283.14642188978473
1998-12-21,291.59137675566984
1998-12-22,293.0040057475202
1998-12-23,293.4208805189079
1998-12-24,297.02709579789297
1998-12-25,295.02858095467263
1998-12-28,292.1843854475489
1998-12-29,289.12829367272
1998-12-30,286.7187785208901
1998-12-31,282.8096206130149
1999-01-01,282.8096206130149
1999-01-04,285.05909095053175
1999-01-05,293.9994378238996
1999-01-06,308.34160033506504
1999-01-07,305.81000076404507
1999-01-08,306.9105948691359
1999-01-11,303.70606149789154
1999-01-12,299.03360684307097
1999-01-13,269.86141073615744
1999-01-14,276.95427623872826
1999-01-15,274.2729377481698
1999-01-18,279.87119218390063
1999-01-19,282.1991438661642
1999-01-20,288.0294997023155
1999-01-21,294.03464759117446
1999-01-22,280.36869513681035
1999-01-25,269.3136078662307
1999-01-26,279.762874436702
1999-01-27,280.3986487931484
1999-01-28,278.2996113067291
1999-01-29,279.777461405227
1999-02-01,278.4377324661582
1999-02-02,280.23239275895185
1999-02-03,280.9366512479302
1999-02-04,286.209831498685
1999-02-05,282.78663441963715
1999-02-08,288.6260257453847
1999-02-09,298.4780519128099
1999-02-10,325.1762927936714
1999-02-11,345.10504075304357
1999-02-12,331.61036895479697
1999-02-15,325.10745438435345
1999-02-16,335.02899078940425
1999-02-17,333.7083309717761
1999-02-18,337.5594274784479
1999-02-19,354.97022253778607
1999-02-22,385.13637774651284
1999-02-23,377.0713635592195
1999-02-24,386.7416016441493
1999-02-25,357.34057763337444
1999-02-26,358.48355506210214
1999-03-01,376.3761146890623
1999-03-02,390.7637866435677
1999-03-03,373.4517459511086
1999-03-04,360.6146932874699
1999-03-05,369.3286783776856
1999-03-08,370.22176908836184
1999-03-09,377.6308475926387
1999-03-10,393.0151651358772
1999-03-11,417.2792277667942
1999-03-12,429.9918697319793
1999-03-15,434.104700927122
1999-03-16,456.70227894620126
1999-03-17,478.0754391500012
1999-03-18,482.09263213392103
1999-03-19,487.80705179480975
1999-03-22,462.87537562731126
1999-03-23,452.682151978407
1999-03-24,429.6520632010851
1999-03-25,452.91614482725123
1999-03-26,442.33369607586854
1999-03-29,446.33015470143954
1999-03-30,453.7765756714876
1999-03-31,449.0190521919191
1999-04-01,440.1584024647525
1999-04-02,443.62280650392387
1999-04-05,441.8593044717808
1999-04-06,419.2799730594812
1999-04-07,405.9016184592746
1999-04-08,394.52621739808876
1999-04-09,372.21212967856036
1999-04-12,384.99331036529867
1999-04-13,386.4604614342396
1999-04-14,414.4564871925757
1999-04-15,420.7158068075023
1999-04-16,441.4342460730806
1999-04-19,455.24104352354215
1999-04-20,434.14485157442385
1999-04-21,432.717591019298
1999-04-22,453.6091276611062
1999-04-23,471.4215514109825
1999-04-26,475.13094407660753
1999-04-27,470.90430566204816
1999-04-28,460.0376019609068
1999-04-29,482.29138111285977
1999-04-30,513.3799804023466
1999-05-03,517.3141838196761
1999-05-04,527.9881122305202
1999-05-05,587.5340788299985
1999-05-06,597.3720011925491
1999-05-07,573.1577905818822
1999-05-10,569.8359872500457
1999-05-11,551.485418645701
1999-05-12,454.9866831934303
1999-05-13,475.03915367022444
1999-05-14,467.69990740234124
1999-05-17,528.5056822534855
1999-05-18,571.7719755110422
1999-05-19,553.7292908901092
1999-05-20,545.3403378780159
1999-05-21,557.3881845141441
1999-05-24,569.5397061880783
1999-05-25,546.8637779323196
1999-05-26,556.3523883682283
1999-05-27,553.7327293683883
1999-05-28,546.8752514663001
1999-05-31,538.9618646084832
1999-06-01,535.6066654381326
1999-06-02,519.9349048815752
1999-06-03,546.7637345941152
1999-06-04,552.4394547753523
1999-06-07,563.0403482289231
1999-06-08,575.461712320077
1999-06-09,580.7175148482629
1999-06-10,594.8327208708365
1999-06-11,608.4130564698102
1999-06-14,608.8450665903546
1999-06-15,593.3949123691953
1999-06-16,614.658488472644
1999-06-17,612.4027097402574
1999-06-18,625.3803317479529
1999-06-21,654.6973884897282
1999-06-22,642.6521667991962
1999-06-23,627.3932306345681
1999-06-24,629.6679332741796
1999-06-25,617.2174426728891
1999-06-28,614.0774742505233
1999-06-29,618.6941677318374
1999-06-30,628.3992039518433
1999-07-01,661.6881440114095
1999-07-02,667.7874585783202
1999-07-05,700.53676871348
1999-07-06,735.1238020605974
1999-07-07,726.0676576878259
1999-07-08,739.8867766593684
1999-07-09,726.1158693866743
1999-07-12,715.2225736766229
1999-07-13,689.2356647972877
1999-07-14,715.5223460085889
1999-07-15,707.6740801688732
1999-07-16,698.9136730856067
1999-07-19,683.4501503276686
1999-07-20,668.0031550143284
1999-07-21,653.7690660888279
1999-07-22,659.8930139999119
1999-07-23,649.7600297448748
1999-07-26,655.0045752431503
1999-07-27,641.0970037839588
1999-07-28,640.7074844462248
1999-07-29,588.5416927316096
1999-07-30,610.7906500586344
1999-08-02,600.1009754634068
1999-08-03,595.4054859339847
1999-08-04,557.1170764931669
1999-08-05,533.2534948068217
1999-08-06,542.8828066377953
1999-08-09,530.0648242488697
1999-08-10,527.4533307393914
1999-08-11,532.4001016393166
1999-08-12,537.3920581683815
1999-08-13,529.6270254431433
1999-08-16,532.0881911800969
1999-08-17,535.063075717267
1999-08-18,530.5546055809698
1999-08-19,540.6419255412331
1999-08-20,544.440765213008
1999-08-23,601.0729436066503
1999-08-24,590.9097352513334
1999-08-25,588.4229646665693
1999-08-26,570.8637434910122
1999-08-27,551.5443780877839
1999-08-30,528.5470083434049
1999-08-31,519.1095036031107
1999-09-01,523.8234398677138
1999-09-02,520.0660428585172
1999-09-03,534.5039954051821
1999-09-06,540.6074113994392
1999-09-07,537.9192790743972
1999-09-08,525.1027695851465
1999-09-09,525.3188248717712
1999-09-10,538.0255119352591
1999-09-13,505.1672398806578
1999-09-14,500.29513400543584
1999-09-15,482.6308159295253
1999-09-16,454.0522324248677
1999-09-17,444.23099139078005
1999-09-20,418.7943480039261
1999-09-21,391.4708964444539
1999-09-22,419.4680526282224
1999-09-23,444.6048290817101
1999-09-24,438.9575430146357
1999-09-27,459.6273240313477
1999-09-28,455.32324096649245
1999-09-29,449.268205763307
1999-09-30,440.9120111086966
1999-10-01,451.59327469742595
1999-10-04,464.18734511547103
1999-10-05,477.9080305119515
1999-10-06,476.7661405291494
1999-10-07,486.70784046940423
1999-10-08,501.2418831654272
1999-10-11,524.3435203038849
1999-10-12,511.2916067232866
1999-10-13,515.1345999837288
1999-10-14,539.8599196910596
1999-10-15,513.9167965459213
1999-10-18,508.8854997650727
1999-10-19,521.3626571068618
1999-10-20,532.1163557892685
1999-10-21,518.9575709735985
1999-10-22,531.0341727301131
1999-10-25,525.1561838805089
1999-10-26,527.5633220485328
1999-10-27,523.0413416140362
1999-10-28,526.4443376607549
1999-10-29,526.9605543328125
1999-11-01,527.3733975899277
1999-11-02,527.8603756519461
1999-11-03,516.9575076607339
1999-11-04,523.3093996886073
1999-11-05,539.011983296053
1999-11-08,538.860995916481
1999-11-09,572.7708876537569
1999-11-10,602.4273021601481
1999-11-11,606.8752473455712
1999-11-12,601.3763996920545
1999-11-15,605.0497898891521
1999-11-16,617.6603418760102
1999-11-17,619.380954254386
1999-11-18,610.4439798364452
