Date,INDIA IMI VALUE
1994-05-31,329.3956519661457
1994-06-30,352.9822206373554
1994-07-29,357.04841561483795
1994-08-31,383.7336177769276
1994-09-30,362.6910968546657
1994-10-31,351.12235535057715
1994-11-30,348.8254384525747
1994-12-30,329.84331567603726
1995-01-31,305.40258694879685
1995-02-28,282.8038552593959
1995-03-31,275.4756643672182
1995-04-28,259.4020058059673
1995-05-31,269.41389189639216
1995-06-30,258.65285659521754
1995-07-31,268.89831534861986
1995-08-31,255.5967516886779
1995-09-29,248.6944456376906
1995-10-31,239.393829059135
1995-11-30,201.91690884911273
1995-12-29,209.2339348008684
1996-01-31,189.64408180603377
1996-02-29,231.93130415488082
1996-03-29,232.2416918441827
1996-04-30,257.19484728418735
1996-05-31,240.8463934003678
1996-06-28,246.83872142108854
1996-07-31,221.37720386311926
1996-08-30,220.9001126895885
1996-09-30,187.21270294124173
1996-10-31,182.65786705506426
1996-11-29,161.4111325886469
1996-12-31,175.3012143541062
1997-01-01,175.3012143541062
1997-01-02,185.31912044052982
1997-01-03,187.58963112637923
1997-01-06,188.52455892874914
1997-01-07,189.08791798720307
1997-01-08,190.863016225063
1997-01-09,195.4090667024857
1997-01-10,199.39849898510664
1997-01-13,201.05077295026558
1997-01-14,202.63391800649615
1997-01-15,211.74881916303508
1997-01-16,201.22754192276375
1997-01-17,198.08249914403558
1997-01-20,195.79236635606378
1997-01-21,192.24671067885458
1997-01-22,194.84324796265642
1997-01-23,194.98463575073984
1997-01-24,194.87990316884628
1997-01-27,200.42843163223026
1997-01-28,201.77045640892612
1997-01-29,198.65106443242985
1997-01-30,196.91778361375648
1997-01-31,190.5939338414357
1997-02-03,188.1628006551109
1997-02-04,189.761024151703
1997-02-05,189.47346478230617
1997-02-06,191.0360130548901
1997-02-07,191.49765035751636
1997-02-10,193.51323565426898
1997-02-11,195.82436315156505
1997-02-12,195.3765894195437
1997-02-13,195.30865655876653
1997-02-14,196.07032411717915
1997-02-17,199.59656438741365
1997-02-18,197.11745562582414
1997-02-19,197.7937374032963
1997-02-20,195.74429531165714
1997-02-21,193.20566730452614
1997-02-24,189.88986395062113
1997-02-25,189.11588105681005
1997-02-26,189.49834585752146
1997-02-27,192.9900908053797
1997-02-28,206.4603727639658
1997-03-03,221.42954101765866
1997-03-04,222.95160264522946
1997-03-05,222.28894058554118
1997-03-06,217.92353920054222
1997-03-07,217.94177446266428
1997-03-10,216.0119158182757
1997-03-11,213.19539286543989
1997-03-12,214.8770235676766
1997-03-13,213.99412266457668
1997-03-14,212.39322488491257
1997-03-17,214.87296251649323
1997-03-18,215.03683772174142
1997-03-19,210.61222503826312
1997-03-20,211.20585571766432
1997-03-21,210.8656392883052
1997-03-24,210.90973191518643
1997-03-25,211.64929335547168
1997-03-26,209.2804621760198
1997-03-27,209.7349464710391
1997-03-28,206.47888600961917
1997-03-31,190.1963727072323
1997-04-01,193.6787004636026
1997-04-02,200.5640831706915
1997-04-03,201.56899761171698
1997-04-04,200.47140582604752
1997-04-07,198.4524809505658
1997-04-08,198.4524809505658
1997-04-09,204.93783126213924
1997-04-10,201.26535038084478
1997-04-11,202.64688991374692
1997-04-14,200.65810425330133
1997-04-15,201.92213372090873
1997-04-16,201.98981711768667
1997-04-17,204.52930276787689
1997-04-18,204.6436447959791
1997-04-21,210.471480513042
1997-04-22,211.95660388612757
1997-04-23,213.32319931617315
1997-04-24,214.19916811552997
1997-04-25,214.07073635733485
1997-04-28,213.6687392855563
1997-04-29,211.49856599761006
1997-04-30,213.21991575416592
1997-05-01,213.21991575416592
1997-05-02,212.87074767625083
1997-05-05,211.91503480599926
1997-05-06,211.8773521389986
1997-05-07,210.889111434873
1997-05-08,210.9479253656076
1997-05-09,211.90843594410825
1997-05-12,210.4095023587044
1997-05-13,210.21916504302038
1997-05-14,212.47778145200658
1997-05-15,212.62963211639214
1997-05-16,212.2999705424615
1997-05-19,213.34626624608782
1997-05-20,212.17217272819335
1997-05-21,211.54852356847294
1997-05-22,211.1216181050271
1997-05-23,210.6167872100768
1997-05-26,209.52407777257483
1997-05-27,207.6789813747923
1997-05-28,206.26346423637293
1997-05-29,208.32983727041386
1997-05-30,209.68110752113353
1997-06-02,210.79465973778844
1997-06-03,210.95359182977623
1997-06-04,212.8254199195983
1997-06-05,213.8235004898738
1997-06-06,213.10222603050275
1997-06-09,214.25788958196588
1997-06-10,216.58878510857883
1997-06-11,220.41793020533467
1997-06-12,223.62796142508319
1997-06-13,225.7982282335139
1997-06-16,225.53780397075855
1997-06-17,227.83139086054553
1997-06-18,229.2621308116653
1997-06-19,230.29193212161582
1997-06-20,232.19007768036735
1997-06-23,238.3133041022654
1997-06-24,242.44785112981688
1997-06-25,240.3869758937189
1997-06-26,240.69716166472162
1997-06-27,241.04889057454736
1997-06-30,247.15808952966796
1997-07-01,248.67980093028928
1997-07-02,250.2860415149243
1997-07-03,246.42126148839014
1997-07-04,246.2324705784878
1997-07-07,250.54505704743363
1997-07-08,252.87276540381015
1997-07-09,259.86825330929304
1997-07-10,259.33173697038245
1997-07-11,257.24929566651633
1997-07-14,252.73933458190936
1997-07-15,252.69977241220906
1997-07-16,251.17381237626543
1997-07-17,249.1305724731557
1997-07-18,244.96691207299597
1997-07-21,246.99005937670336
1997-07-22,249.9078616243666
1997-07-23,254.09945530461135
1997-07-24,251.69403250382481
1997-07-25,249.9675105247744
1997-07-28,251.43964170292594
1997-07-29,254.2120873832591
