Date,BRAZIL IMI VALUE
1994-05-31,108.33411807790782
1994-06-30,108.06648518265972
1994-07-29,125.5348349307271
1994-08-31,173.17489105633703
1994-09-30,184.1842236432148
1994-10-31,177.56295739709066
1994-11-30,172.85730832176768
1994-12-30,165.8963725016255
1995-01-31,151.35726624436217
1995-02-28,131.45940482788143
1995-03-31,115.54228672362794
1995-04-28,138.74478294440382
1995-05-31,140.87831780273598
1995-06-30,137.79460865983825
1995-07-31,141.12271607596023
1995-08-31,144.04548052176247
1995-09-29,151.22696381779437
1995-10-31,138.71347125315543
1995-11-30,132.5768820387207
1995-12-29,130.89418578878542
1996-01-31,152.75954538019272
1996-02-29,149.0541070477995
1996-03-29,147.73811572168967
1996-04-30,146.69017459175987
1996-05-31,151.78568844257225
1996-06-28,155.69886034795047
1996-07-31,154.3441037404661
1996-08-30,157.13414714891383
1996-09-30,156.59428587364945
1996-10-31,162.0031949501038
1996-11-29,161.3149480874542
1996-12-31,166.26080435817062
1997-01-01,166.23270293241956
1997-01-02,165.33894337035818
1997-01-03,166.0466188705511
1997-01-06,168.1609432179566
1997-01-07,171.2749752631169
1997-01-08,172.91638576364235
1997-01-09,172.65555294341618
1997-01-10,172.44749754314114
1997-01-13,171.30455215626077
1997-01-14,174.50452925595624
1997-01-15,175.82137070939274
1997-01-16,176.48143090469688
1997-01-17,178.52511545857644
1997-01-20,178.96364276711031
1997-01-21,180.6239151385273
1997-01-22,179.70347272726687
1997-01-23,182.443282124994
1997-01-24,179.9708049789077
1997-01-27,179.490318249126
1997-01-28,180.47606585130382
1997-01-29,178.01908869484814
1997-01-30,178.42661784650335
1997-01-31,182.23971671137986
1997-02-03,185.05629851061545
1997-02-04,183.87533386277303
1997-02-05,184.87787479329307
1997-02-06,185.77722950422185
1997-02-07,189.3541516561852
1997-02-10,189.26875806272685
1997-02-11,189.19278395884461
1997-02-12,195.2434735811137
1997-02-13,194.2151854878702
1997-02-14,194.37303137832606
1997-02-17,195.1396943323809
1997-02-18,197.48735654619495
1997-02-19,195.1820719220076
1997-02-20,193.83104772524192
1997-02-21,192.76567952915786
1997-02-24,194.65247709368023
1997-02-25,197.29284317141355
1997-02-26,194.66326919842638
1997-02-27,191.45122339744583
1997-02-28,193.26577300888175
1997-03-03,193.49996867940894
1997-03-04,193.51223655001934
1997-03-05,193.97659249470786
1997-03-06,194.4373004701617
1997-03-07,195.5531327208552
1997-03-10,198.72753742934847
1997-03-11,199.40753153028984
1997-03-12,195.2938934063001
1997-03-13,195.22508649125535
1997-03-14,197.29010874274337
1997-03-17,194.6993734162852
1997-03-18,192.14926546048952
1997-03-19,190.91387892243728
1997-03-20,192.54588301771636
1997-03-21,191.69846630420864
1997-03-24,191.4165620648442
1997-03-25,191.9028020920357
1997-03-26,191.23003183310684
