Date,QATAR IMI VALUE
2014-05-30,1000.0
2014-06-02,993.7737088185719
2014-06-03,967.0469581120076
2014-06-04,955.8500297897542
2014-06-05,968.704346123309
2014-06-06,968.6777373870984
2014-06-09,951.8131177456206
2014-06-10,961.0054444464164
2014-06-11,948.9528348930979
2014-06-12,947.2179343014947
2014-06-13,947.2049255678132
2014-06-16,920.6131794828348
2014-06-17,906.3322879310023
2014-06-18,903.5617379569346
2014-06-19,894.0582536158641
2014-06-20,894.0582536158641
2014-06-23,904.4054380880394
2014-06-24,892.5322324641573
2014-06-25,871.9401774555865
2014-06-26,856.1954838491085
2014-06-27,856.1954838491088
2014-06-30,828.7776590043115
2014-07-01,869.8766295601861
2014-07-02,889.2333592542367
2014-07-03,884.3362626917444
2014-07-04,884.3484079990752
2014-07-07,892.4512185460596
2014-07-08,902.0012088939922
2014-07-09,920.1207734534667
2014-07-10,930.8320513054965
2014-07-11,930.8320513054965
2014-07-14,927.9831164462987
2014-07-15,941.383865798678
2014-07-16,945.8199185689633
2014-07-17,957.5170432834867
2014-07-18,957.5170432834867
2014-07-21,932.2381004490768
2014-07-22,941.6597075472716
2014-07-23,934.8064996311822
2014-07-24,916.7769230723173
2014-07-25,916.7769230723173
2014-07-28,913.6930936318898
2014-07-29,913.7307354786473
2014-07-30,913.7307354786473
2014-07-31,913.7307354786473
2014-08-01,913.7307354786473
2014-08-04,915.129603471847
2014-08-05,932.9131484017065
2014-08-06,932.178183667608
2014-08-07,926.5169052929904
2014-08-08,926.5169052929904
2014-08-11,933.3678342378154
2014-08-12,942.6290877250898
2014-08-13,952.0581831942345
2014-08-14,951.2311312897887
2014-08-15,951.2050078961852
2014-08-18,953.4804816057876
2014-08-19,953.9051000639724
2014-08-20,952.9194660033712
2014-08-21,961.4363146347803
2014-08-22,961.3703073082963
2014-08-25,965.0922142164655
2014-08-26,971.3661368087455
2014-08-27,974.5716304430475
2014-08-28,929.8846357026038
2014-08-29,929.9229424957916
2014-09-01,946.2272221939297
2014-09-02,947.4740069307903
2014-09-03,958.7349354252555
2014-09-04,965.507483251417
2014-09-05,965.507483251417
2014-09-08,966.7569364639572
2014-09-09,965.6468448163189
2014-09-10,967.3298705174567
2014-09-11,970.6099558197965
2014-09-12,970.6099558197965
2014-09-15,977.677474456824
2014-09-16,980.7240028924682
2014-09-17,982.6799721923506
2014-09-18,997.1804568655805
2014-09-19,997.1804568655803
2014-09-22,982.4074103236528
2014-09-23,968.703929087759
2014-09-24,967.2423007838228
2014-09-25,964.4458621959923
2014-09-26,964.4458621959922
2014-09-29,958.5326914272337
2014-09-30,945.9815575281588
2014-10-01,952.1430890019831
2014-10-02,958.2743979515467
2014-10-03,958.2612408057756
2014-10-06,958.2612408057756
2014-10-07,958.2349275980927
2014-10-08,958.2349275980927
2014-10-09,958.2349275980927
2014-10-10,958.2480840212955
2014-10-13,938.0759743433778
2014-10-14,939.0992690174687
2014-10-15,921.6900234936533
2014-10-16,901.4158378940969
2014-10-17,901.4034612486952
2014-10-20,912.3705552685158
2014-10-21,917.9679921965795
2014-10-22,930.4501181807922
2014-10-23,942.3551513825182
2014-10-24,942.4069085205472
2014-10-27,939.6909830366466
2014-10-28,938.2071613004049
2014-10-29,952.4029858070357
2014-10-30,928.7712373187559
2014-10-31,928.7329800696183
2014-11-03,943.3836355328074
2014-11-04,942.8699213420109
2014-11-05,927.3563365227147
