Date,COLOMBIA IMI VALUE
1994-05-31,161.80914363298228
1994-06-30,169.23991210759073
1994-07-29,175.1202734484419
1994-08-31,160.5932932187018
1994-09-30,161.263467742399
1994-10-31,150.56274403498625
1994-11-30,140.74959737249722
1994-12-30,147.39612905243106
1995-01-31,162.62445506909646
1995-02-28,149.9148336243416
1995-03-31,138.2886401775072
1995-04-28,130.68581439620826
1995-05-31,127.41968325593687
1995-06-30,140.57463661623422
1995-07-31,133.6726710294364
1995-08-31,124.66674863995858
1995-09-29,118.01468581713947
1995-10-31,111.20138596780508
1995-11-30,106.42667245314055
1995-12-29,115.12849248237544
1996-01-31,111.94662556364905
1996-02-29,117.01349324373292
1996-03-29,108.40375305966174
1996-04-30,121.8246499028296
1996-05-31,115.76349307183891
1996-06-28,116.07154790243997
1996-07-31,114.59855469161963
1996-08-30,113.87157032137259
1996-09-30,119.94115091651376
1996-10-31,123.60370337629055
1996-11-29,122.43797871547875
1996-12-31,122.52402739894474
1997-01-01,122.52402739894474
1997-01-02,122.09468363097595
1997-01-03,120.86148114818654
1997-01-06,120.86148114818654
1997-01-07,122.27949942227335
1997-01-08,124.7086811043846
1997-01-09,128.40077350015548
1997-01-10,133.6257003427217
1997-01-13,143.2409647531145
1997-01-14,151.68482219776803
1997-01-15,153.6019003554036
1997-01-16,153.91265786666298
1997-01-17,152.9375679112898
1997-01-20,150.71637182131593
1997-01-21,147.26396902685406
1997-01-22,139.42077759866865
1997-01-23,138.46651975273306
1997-01-24,137.76201284737652
1997-01-27,136.11288417916188
1997-01-28,135.6179205854192
1997-01-29,134.89008704477922
1997-01-30,136.39140458760795
1997-01-31,137.76332580192104
1997-02-03,138.35733710105976
1997-02-04,142.81184708577388
1997-02-05,147.27702908882483
1997-02-06,147.79557477578913
1997-02-07,145.34094507507308
1997-02-10,143.93321364698346
1997-02-11,145.1217622101734
1997-02-12,146.34905190198182
1997-02-13,147.42019235274387
1997-02-14,147.14706203794628
1997-02-17,147.58259357889565
1997-02-18,148.49894470727503
1997-02-19,148.59746869997565
