Date,TAIWAN IMI VALUE
1996-09-30,1474.2421349599533
1996-10-31,1466.9795222581345
1996-11-29,1558.7254816245206
1996-12-31,1600.5092504603867
1997-01-01,1600.5092504603867
1997-01-02,1600.5092504603867
1997-01-03,1600.5092504603867
1997-01-06,1579.4578054424414
1997-01-07,1584.150757048705
1997-01-08,1607.363355495171
1997-01-09,1606.7111891378706
1997-01-10,1623.7792372733431
1997-01-13,1653.1524940502004
1997-01-14,1650.7576038074733
1997-01-15,1663.144659353994
1997-01-16,1676.415517225811
1997-01-17,1662.4632665041981
1997-01-20,1689.7370174964465
1997-01-21,1681.6000947057819
1997-01-22,1688.8508178767743
1997-01-23,1672.6008306885506
1997-01-24,1676.893142640588
1997-01-27,1651.6710553481257
1997-01-28,1650.8286677926126
1997-01-29,1650.9641776711812
1997-01-30,1668.5879947675596
1997-01-31,1685.9856489608567
1997-02-03,1697.374764066335
1997-02-04,1697.374764066335
1997-02-05,1693.6714009447358
1997-02-06,1693.6714009447358
1997-02-07,1693.0557443104412
1997-02-10,1693.671400944736
1997-02-11,1705.179630421014
1997-02-12,1708.3488658641352
1997-02-13,1736.1342818060446
1997-02-14,1735.9092831293394
1997-02-17,1777.470253130096
1997-02-18,1765.6672513107587
1997-02-19,1766.0037959661636
1997-02-20,1766.8756054845787
1997-02-21,1797.6883459717444
1997-02-24,1836.7894313464208
1997-02-25,1832.6908191020636
1997-02-26,1793.6178207882083
1997-02-27,1819.360432868296
1997-02-28,1824.0361770305797
1997-03-03,1818.0650332218809
1997-03-04,1839.064578797453
1997-03-05,1855.4036982611972
1997-03-06,1871.5300801376723
1997-03-07,1899.8904459554153
1997-03-10,1894.0468472000466
1997-03-11,1917.460417923213
1997-03-12,1913.717018661871
1997-03-13,1915.9548462823734
1997-03-14,1922.0777106023063
1997-03-17,1959.6553063268498
1997-03-18,1980.6860089711772
1997-03-19,1959.3501605140336
1997-03-20,1970.3725224251534
1997-03-21,1892.4002786639849
1997-03-24,1824.0183686429082
1997-03-25,1804.7639413518302
1997-03-26,1849.86922342442
1997-03-27,1861.0139189100437
1997-03-28,1863.7113292098193
1997-03-31,1837.9699938120152
1997-04-01,1876.1030895676065
1997-04-02,1893.883268877434
1997-04-03,1923.7704597858203
1997-04-04,1923.7704597858203
1997-04-07,1958.972116019943
1997-04-08,1942.2753011178238
1997-04-09,1987.8482153928328
1997-04-10,1966.0397276158662
1997-04-11,1971.1525953753405
1997-04-14,1995.7962637031283
1997-04-15,1988.678827185754
1997-04-16,1983.201403030738
1997-04-17,1946.9808910359764
1997-04-18,1907.723087049484
1997-04-21,1937.4962063284447
1997-04-22,1929.4586604185722
1997-04-23,1955.4421227814928
1997-04-24,1953.2089308108164
1997-04-25,1964.9665833176584
1997-04-28,1953.2972264176767
1997-04-29,1935.9834778769762
1997-04-30,1915.206742633583
1997-05-01,1915.206742633583
1997-05-02,1844.00310343083
1997-05-05,1861.5561460314107
1997-05-06,1861.1450837070577
1997-05-07,1886.9196692764774
1997-05-08,1871.902903104897
1997-05-09,1836.6560848353265
