Date,HUNGARY IMI VALUE
1994-05-31,143.82649374640172
1994-06-30,130.97544935343893
1994-07-29,134.45552484667988
1994-08-31,138.9232372564643
1994-09-30,125.70390212690985
1994-10-31,131.6294063459833
1994-11-30,116.19353299863562
1994-12-30,109.96965569361339
1995-01-31,83.01756331226794
1995-02-28,82.45313621145328
1995-03-31,82.53374660529401
1995-04-28,97.85290378012
1995-05-31,101.39264352507551
1995-06-30,100.72738738464234
1995-07-31,103.27795377899285
1995-08-31,98.67260441739035
1995-09-29,97.35691049337792
1995-10-31,85.41296178080101
1995-11-30,82.21158007231585
1995-12-29,84.8249246332614
1996-01-31,122.29802580929307
1996-02-29,119.27444156750616
1996-03-29,118.22813826354005
1996-04-30,121.40883043398436
1996-05-31,135.37990011950728
1996-06-28,156.71406486967052
1996-07-31,131.45858435202217
1996-08-30,170.8267026784613
1996-09-30,165.70996385020192
1996-10-31,167.42085501001415
1996-11-29,166.7054871568019
1996-12-31,182.78936109810329
1997-01-01,182.78936109810329
1997-01-02,184.01307938040415
1997-01-03,182.63683420285193
1997-01-06,189.36865190282683
1997-01-07,192.46995269984697
1997-01-08,202.45409467473982
1997-01-09,201.2448419475006
1997-01-10,197.5584705860476
1997-01-13,199.86727942185888
1997-01-14,200.08198415938256
1997-01-15,209.04243271138955
1997-01-16,222.8852778480678
1997-01-17,213.12456199432006
1997-01-20,214.8426256246418
1997-01-21,222.32107588613866
1997-01-22,223.34040771075638
1997-01-23,221.79862624560445
1997-01-24,220.34494585845215
1997-01-27,217.91732702204803
1997-01-28,211.59727196647452
1997-01-29,206.35542527912173
1997-01-30,208.54986292499828
1997-01-31,214.80976551519868
1997-02-03,215.69072017816865
1997-02-04,219.9224497045442
1997-02-05,223.83430616902578
1997-02-06,224.0820607313769
1997-02-07,222.8237974312305
1997-02-10,223.64211178436975
1997-02-11,219.51687640286914
1997-02-12,223.58268734927984
1997-02-13,219.8202156563957
1997-02-14,214.73169286621464
1997-02-17,221.33313512755817
1997-02-18,224.27313201891198
1997-02-19,225.3565559124851
1997-02-20,223.71061985089807
1997-02-21,223.9790968534648
1997-02-24,226.7487647166955
1997-02-25,225.13632775237423
1997-02-26,223.52379770052013
1997-02-27,221.4243895059118
1997-02-28,215.47598290370408
1997-03-03,216.2974212744404
