Date,MEXICO IMI VALUE
1996-05-31,167.29885069941145
1996-06-28,164.61193118538554
1996-07-31,154.18718857345524
1996-08-30,166.4184824258614
1996-09-30,166.68971185987922
1996-10-31,156.9634792073853
1996-11-29,162.78265894637337
1996-12-31,168.72439661094947
1997-01-01,168.72439661094947
1997-01-02,168.54878100192337
1997-01-03,170.30364892015217
1997-01-06,175.5562926117794
1997-01-07,176.78948264798208
1997-01-08,178.9700334812815
1997-01-09,179.24101054511806
1997-01-10,179.67295100812242
1997-01-13,179.1021281489617
1997-01-14,182.26856779748556
1997-01-15,185.78861981303345
1997-01-16,184.2216779830619
1997-01-17,186.48862356740116
1997-01-20,186.70916184560443
1997-01-21,185.61994063891288
1997-01-22,185.69011844442045
1997-01-23,185.08793581327836
1997-01-24,183.7626405988558
1997-01-27,183.46286578107774
1997-01-28,184.05082516705403
1997-01-29,181.43400880475548
1997-01-30,183.66520967095244
1997-01-31,183.13531215047936
1997-02-03,182.699299629963
1997-02-04,183.14067110338988
1997-02-05,183.18752213206818
1997-02-06,182.60458116862029
1997-02-07,182.42746113338873
1997-02-10,183.37979353982593
1997-02-11,186.98981761492104
1997-02-12,190.39660901114235
1997-02-13,189.85570118690126
1997-02-14,192.51430290011766
1997-02-17,192.27764001470584
1997-02-18,191.4904507359092
1997-02-19,194.2667934535205
1997-02-20,192.4670981914279
1997-02-21,194.55820937572932
1997-02-24,195.50814437456341
1997-02-25,198.79066679175799
1997-02-26,195.68772141613192
1997-02-27,189.84778976904295
1997-02-28,190.6815813654829
1997-03-03,187.5598015959043
1997-03-04,186.14858164466764
1997-03-05,186.0191018780474
1997-03-06,186.65661791174614
1997-03-07,188.54347785688742
1997-03-10,190.2463603135004
1997-03-11,189.65453867728968
1997-03-12,187.7985594249756
1997-03-13,186.42144819424746
1997-03-14,187.79068797173557
1997-03-17,187.38873744460167
1997-03-18,189.50037062927228
1997-03-19,192.44769864290382
1997-03-20,190.1239451322126
1997-03-21,190.15993982080258
1997-03-24,191.7080388520592
1997-03-25,192.33586353321633
1997-03-26,193.15598112361445
1997-03-27,192.53423440325946
1997-03-28,192.5099337299787
1997-03-31,188.67721378437582
1997-04-01,187.71938558132024
1997-04-02,187.28808463709814
