Date,CHINA IMI VALUE
1994-05-31,663.230036457399
1994-06-30,582.1807720503423
1994-07-29,655.6808696820925
1994-08-31,694.3211125047387
1994-09-30,694.8234883877593
1994-10-31,699.878826153756
1994-11-30,619.0769593300428
1994-12-30,559.9436007728684
1995-01-31,480.63047962002435
1995-02-28,534.2560063196372
1995-03-31,534.6810635160433
1995-04-28,483.57547618493993
1995-05-31,537.7047570068285
1995-06-30,530.7051294682535
1995-07-31,544.7344472869972
1995-08-31,478.38495142732825
1995-09-29,468.00242431287046
1995-10-31,450.76034306142105
1995-11-30,408.2850862245662
1995-12-29,383.5633124495795
1996-01-31,448.09176239225314
1996-02-29,473.10258386791946
1996-03-29,440.0445187866887
1996-04-30,428.73640682462644
1996-05-31,456.31923685839183
1996-06-28,455.609249968118
1996-07-31,439.89215046641294
1996-08-30,453.5763429697489
1996-09-30,452.1717392913025
1996-10-31,438.3324419498419
1996-11-29,475.02805986218596
1996-12-31,548.1651510796747
1997-01-01,548.1651510796747
1997-01-02,565.0661128537982
1997-01-03,562.1419766347155
1997-01-06,561.9445022994568
1997-01-07,553.1163658281087
1997-01-08,541.7189665618924
1997-01-09,543.3582926902337
1997-01-10,541.8862235152286
1997-01-13,538.1980909292834
1997-01-14,537.0326818797573
1997-01-15,541.5623630210123
1997-01-16,552.3944674483104
1997-01-17,553.3008768468109
1997-01-20,548.6330230680686
1997-01-21,540.4259579576915
1997-01-22,535.5057825482189
1997-01-23,529.636554862034
1997-01-24,527.2979597732882
1997-01-27,526.6091940043561
1997-01-28,527.1785706523577
1997-01-29,526.1193874901749
1997-01-30,530.597664392948
1997-01-31,530.6155060864578
1997-02-03,531.1629568876002
1997-02-04,531.727953582438
1997-02-05,532.0016942462081
1997-02-06,532.0262578908261
1997-02-07,532.2866496866495
1997-02-10,531.0906832398371
1997-02-11,531.3830135804373
1997-02-12,530.325569094479
1997-02-13,527.0849751110032
1997-02-14,522.6949254376867
1997-02-17,525.9693598531837
1997-02-18,510.5215642649375
1997-02-19,509.2386542168515
1997-02-20,513.740413666384
1997-02-21,520.5140061745207
1997-02-24,525.1523501016243
1997-02-25,532.6312053237863
1997-02-26,535.6729580269589
1997-02-27,547.1797285095481
1997-02-28,546.0592767454395
1997-03-03,549.6483992080583
1997-03-04,540.8919004912642
1997-03-05,535.3944142594438
1997-03-06,535.8621922134563
1997-03-07,528.477206582135
1997-03-10,531.3716686827897
1997-03-11,530.6558544071165
1997-03-12,532.8540377472078
1997-03-13,537.0876554742492
1997-03-14,535.8235340935942
1997-03-17,543.9131236881093
1997-03-18,544.5329860921237
1997-03-19,535.4831362667338
1997-03-20,530.7068211516935
1997-03-21,529.260317241263
1997-03-24,536.6462517371128
1997-03-25,529.6828345892737
1997-03-26,533.1497849148046
1997-03-27,531.4930446475545
1997-03-28,529.6202457146192
1997-03-31,530.5811139997944
1997-04-01,525.9007313237328
1997-04-02,529.434088854873
1997-04-03,523.0529898923727
1997-04-04,522.4412510004962
1997-04-07,524.62623625204
1997-04-08,528.216445360886
1997-04-09,530.4007594323823
1997-04-10,535.1307754298988
1997-04-11,550.0350037330664
1997-04-14,548.7276617714062
1997-04-15,539.0228038362518
1997-04-16,541.4451792322006
1997-04-17,549.6710322826294
1997-04-18,555.4453088611749
1997-04-21,561.0500094584336
1997-04-22,571.4040023657602
1997-04-23,565.0745044932237
1997-04-24,576.2783644914372
1997-04-25,582.69139621135
1997-04-28,593.6044321100038
1997-04-29,584.1080853080277
1997-04-30,595.2892068323879
1997-05-01,602.5056136533738
1997-05-02,600.8636173692788
1997-05-05,617.889558573619
1997-05-06,630.0310214006809
1997-05-07,646.7655580309323
1997-05-08,640.5297725415268
1997-05-09,636.8486767868205
1997-05-12,627.031022868465
1997-05-13,616.9415916329266
1997-05-14,602.5401652172075
1997-05-15,597.3440247184488
1997-05-16,589.0470974545672
1997-05-19,590.7642538903958
1997-05-20,604.4685882751154
1997-05-21,607.9226711191764
1997-05-22,588.1190032907389
1997-05-23,588.5446267522606
1997-05-26,586.6883968898969
1997-05-27,603.3672661164017
1997-05-28,603.0122578976509
1997-05-29,603.259927947188
1997-05-30,607.4894334941489
1997-06-02,609.5399529531111
1997-06-03,607.3396117746528
1997-06-04,606.7121669962754
1997-06-05,606.2821444407016
1997-06-06,593.6158632519373
1997-06-09,594.3669896953959
1997-06-10,595.1607364812852
1997-06-11,573.6090056011858
1997-06-12,558.4636641765469
1997-06-13,578.4902060458676
1997-06-16,585.2890301913641
1997-06-17,578.1755308886361
1997-06-18,572.1162479934718
1997-06-19,568.6948053256898
1997-06-20,565.4302003349992
1997-06-23,559.5539151796784
1997-06-24,564.2280357374804
1997-06-25,562.3243678448564
1997-06-26,571.51145942797
1997-06-27,573.0527270493353
1997-06-30,573.592695549855
