Date,POLAND IMI VALUE
1995-05-31,171.97705815261855
1995-06-30,195.44279065581026
1995-07-31,188.58457680908964
1995-08-31,180.08035252305498
1995-09-29,193.15181712779102
1995-10-31,169.9028643089128
1995-11-30,167.98715581296528
1995-12-29,165.77037444081586
1996-01-31,225.37738394754263
1996-02-29,228.4738597387549
1996-03-29,234.8528707412581
1996-04-30,256.8789573369862
1996-05-31,249.22166361932022
1996-06-28,290.3850749820457
1996-07-31,283.0903052156521
1996-08-30,296.09185944737413
1996-09-30,312.2131928854229
1996-10-31,286.7048389744592
1996-11-29,284.50156937463464
1996-12-31,292.40809065564446
1997-01-01,292.40809065564446
1997-01-02,292.7532499226152
1997-01-03,293.46066073804855
1997-01-06,291.8766614906421
1997-01-07,301.1817137724001
1997-01-08,307.38340641891597
1997-01-09,311.64626196462933
1997-01-10,312.84727234270935
1997-01-13,309.93600502451557
1997-01-14,309.7488720869332
1997-01-15,308.5181863602679
1997-01-16,309.473655707775
1997-01-17,311.6696782847588
1997-01-20,308.39235244267655
1997-01-21,317.3872426199904
1997-01-22,314.58424666778734
1997-01-23,319.39099128685655
1997-01-24,321.75691885352296
1997-01-27,323.4120516136936
1997-01-28,312.6039740192052
1997-01-29,306.3465390475109
1997-01-30,305.32056431199265
1997-01-31,303.3027867588869
1997-02-03,310.03165797729986
1997-02-04,311.5955309582423
1997-02-05,313.1536364083491
1997-02-06,325.1830249141637
1997-02-07,334.053937728633
1997-02-10,336.31469413317376
1997-02-11,335.42914722599335
1997-02-12,336.2245590949373
1997-02-13,335.30100776066064
1997-02-14,345.46487654077373
1997-02-17,342.5380896049867
1997-02-18,347.4205329624349
1997-02-19,342.12002241905066
1997-02-20,338.5954519401793
1997-02-21,339.24097348317315
1997-02-24,341.4090059207913
1997-02-25,343.25883060595396
1997-02-26,340.7790346795452
1997-02-27,336.20150067541687
1997-02-28,330.55300914484195
1997-03-03,326.3301011818581
1997-03-04,319.15439995023036
1997-03-05,321.58972273253283
1997-03-06,318.8026846749085
1997-03-07,322.74032568673965
1997-03-10,320.13882237674846
