Date,KOREA IMI VALUE
1994-05-31,547.6447539660447
1994-06-30,549.4635557190896
1994-07-29,543.073450452318
1994-08-31,539.6669858226292
1994-09-30,600.3928490985866
1994-10-31,625.7267039409102
1994-11-30,615.5917656088345
1994-12-30,595.0765908720024
1995-01-31,530.672716335802
1995-02-28,504.8537782720536
1995-03-31,531.5094015899342
1995-04-28,512.7466947374932
1995-05-31,516.6389325074773
1995-06-30,513.4646884271818
1995-07-31,542.200115668831
1995-08-31,534.3161861926556
1995-09-29,578.69744495815
1995-10-31,575.2307620597301
1995-11-30,539.8237134984875
1995-12-29,497.7331289581874
1996-01-31,487.10922132654764
1996-02-29,483.18385340644176
1996-03-29,496.8093068685006
1996-04-30,562.5779290009102
1996-05-31,507.91928134631837
1996-06-28,448.03993098379004
1996-07-31,443.72087580670075
1996-08-30,422.91712256241823
1996-09-30,412.3544970157973
1996-10-31,402.4060411007372
1996-11-29,380.9568022044947
1996-12-31,329.6616674882023
1997-01-01,329.67087026096965
1997-01-02,330.3154835641995
1997-01-03,332.31049928409544
1997-01-06,318.77263615118477
1997-01-07,311.79228449499976
1997-01-08,321.1790113407497
1997-01-09,331.5643022777094
1997-01-10,333.9190338271839
1997-01-13,337.7642062449386
1997-01-14,352.53047977623936
1997-01-15,357.4093012634273
1997-01-16,363.29542005197294
1997-01-17,355.34687080304997
1997-01-20,361.9572768542272
1997-01-21,346.3415886004198
1997-01-22,342.75133067096203
1997-01-23,340.0449120940223
1997-01-24,338.6638707398689
1997-01-27,331.04435896215807
1997-01-28,329.1950668655291
1997-01-29,327.1196612352718
1997-01-30,330.6741418048208
1997-01-31,334.8748555815858
1997-02-03,334.3983188659542
1997-02-04,338.2287640499029
1997-02-05,340.4645090638956
1997-02-06,342.21532568030926
1997-02-07,342.80790633083797
1997-02-10,347.2217005444317
1997-02-11,349.8813982503976
1997-02-12,349.40800371510755
1997-02-13,352.3773379816143
1997-02-14,351.7143973261164
1997-02-17,344.1857424453228
1997-02-18,343.73474380110514
1997-02-19,349.7838737107773
1997-02-20,349.32076391984634
1997-02-21,338.0497028919817
1997-02-24,330.05930989711953
1997-02-25,333.60232418826826
1997-02-26,332.2693303405909
1997-02-27,324.8911683218835
1997-02-28,329.3035348445401
1997-03-03,330.49917327874596
1997-03-04,328.52535647082885
1997-03-05,325.3283368417981
1997-03-06,327.37315569097274
1997-03-07,326.82547298164656
1997-03-10,314.99908815867644
1997-03-11,308.3974591911764
1997-03-12,311.59435527310745
1997-03-13,309.0305133914473
1997-03-14,300.28264859751596
1997-03-17,308.8385562922458
1997-03-18,307.57385031026115
1997-03-19,300.5168638877191
1997-03-20,296.9960133480433
1997-03-21,287.79737421425614
1997-03-24,285.04845507052636
1997-03-25,295.9903624933714
1997-03-26,305.2724988295219
1997-03-27,300.56261090126196
1997-03-28,299.537138322271
1997-03-31,314.8429756157354
1997-04-01,312.6560621899977
1997-04-02,315.56067312351973
1997-04-03,317.14861010978666
1997-04-04,325.0044447710392
1997-04-07,328.6077544563436
1997-04-08,327.83105400601704
1997-04-09,328.3964905001096
1997-04-10,323.1180016488944
1997-04-11,325.3039334881159
1997-04-14,331.0637081016315
1997-04-15,328.71938247516755
1997-04-16,329.1689028208117
1997-04-17,325.793847751254
1997-04-18,325.3390597389697
1997-04-21,328.66262551953895
1997-04-22,323.3183356976126
1997-04-23,324.2499187574172
1997-04-24,323.0113054970776
1997-04-25,324.8329252020343
1997-04-28,332.41605971548154
1997-04-29,331.5142210289226
1997-04-30,331.9616544733737
1997-05-01,331.77568155770234
1997-05-02,333.1029456450741
1997-05-05,332.23952132199884
1997-05-06,327.80627604291703
1997-05-07,321.9149683125254
1997-05-08,319.59334756560736
1997-05-09,320.8094341992926
1997-05-12,314.79898976547065
1997-05-13,322.3869567759186
1997-05-14,322.4772612456037
1997-05-15,333.29463836134886
1997-05-16,334.41992246215165
1997-05-19,347.2984781360664
1997-05-20,354.5010784863312
1997-05-21,356.77009484076353
1997-05-22,349.86713508049246
1997-05-23,354.7916052859676
1997-05-26,346.9175007132764
1997-05-27,349.8694041878206
1997-05-28,360.2925445319212
1997-05-29,361.49863273295773
1997-05-30,362.73806731583454
1997-06-02,370.0438652990204
1997-06-03,377.15419090028536
1997-06-04,374.59425395881436
1997-06-05,375.93431054273896
1997-06-06,375.93431054273896
1997-06-09,382.75824000733553
1997-06-10,378.3488276985076
1997-06-11,376.97604111247364
1997-06-12,383.1583403279629
1997-06-13,392.28851128046387
1997-06-16,393.30408367036057
1997-06-17,393.30693852562337
1997-06-18,380.0188808094108
1997-06-19,378.20229836875546
1997-06-20,376.79811612330025
1997-06-23,368.70653686578123
1997-06-24,368.21025132752646
1997-06-25,362.18661792195434
1997-06-26,363.6581175480393
1997-06-27,358.3358860107114
1997-06-30,363.2947462810662
1997-07-01,371.98198973061415
1997-07-02,383.2472837406067
1997-07-03,382.5477042295947
1997-07-04,386.7346671443048
1997-07-07,381.37112580407234
1997-07-08,377.1417640522298
1997-07-09,377.93423248012783
1997-07-10,374.34458867842204
1997-07-11,374.24697407205656
1997-07-14,371.2805317412404
1997-07-15,367.55907951287935
1997-07-16,357.79226523217284
1997-07-17,357.79226523217284
1997-07-18,360.17576181088833
1997-07-21,358.79234660039066
1997-07-22,349.79310308836097
1997-07-23,352.9409425475557
1997-07-24,357.5277659134874
1997-07-25,354.19640817758585
1997-07-28,354.18927558027826
1997-07-29,353.356137351101
1997-07-30,350.3706280155359
1997-07-31,351.70898067898474
1997-08-01,354.5401028835431
1997-08-04,356.5475921404363
