Date,BRAZIL IMI MINIMUM VOLATILITY (BRL)
2002-05-31,1000.0
2002-06-03,996.2947256276848
2002-06-04,992.1589241352941
2002-06-05,970.1518120187088
2002-06-06,935.3517409718426
2002-06-07,919.1796482893193
2002-06-10,954.7441502642145
2002-06-11,936.8715451309146
2002-06-12,901.9296819864701
2002-06-13,904.109962118654
2002-06-14,876.2489400805904
2002-06-17,897.7281748881578
2002-06-18,898.8271634352976
2002-06-19,871.9089446071524
2002-06-20,818.8416058822924
2002-06-21,782.7171267801847
2002-06-24,784.3732070122543
2002-06-25,818.0270946967124
2002-06-26,807.7297780089139
2002-06-27,823.6940907414075
2002-06-28,836.8701170069826
2002-07-01,831.4468389306154
2002-07-02,813.3885322920763
2002-07-03,814.6479114209186
2002-07-04,826.0314545294611
2002-07-05,810.4230883152923
2002-07-08,813.3301086858511
2002-07-09,817.3198148952423
2002-07-10,807.5162686755914
2002-07-11,813.6591203665398
2002-07-12,833.1013019078051
2002-07-15,810.993909672787
2002-07-16,809.9813686211365
2002-07-17,817.1815930246574
2002-07-18,819.2210727370319
2002-07-19,816.0129004620765
2002-07-22,775.6156123909607
2002-07-23,751.4438618238395
2002-07-24,752.3251869240413
2002-07-25,716.1273081122106
2002-07-26,685.8013173385455
2002-07-29,672.6573551497785
2002-07-30,639.2608115961599
2002-07-31,610.836645825501
2002-08-01,644.6345577844957
2002-08-02,732.9356139261533
2002-08-05,705.2889288154539
2002-08-06,681.3511442333805
2002-08-07,720.9075459959889
2002-08-08,791.2532031111095
2002-08-09,756.4829066176563
2002-08-12,720.1360811771898
2002-08-13,681.7948464282603
2002-08-14,675.0337492499827
2002-08-15,663.8696454846258
2002-08-16,684.8895742631755
2002-08-19,692.7182293728077
2002-08-20,691.5158916076435
2002-08-21,698.9673482197651
2002-08-22,699.0887750159284
2002-08-23,702.8754140234768
2002-08-26,733.5378888396768
2002-08-27,750.0518522648762
2002-08-28,729.5746532447477
2002-08-29,723.3734427351751
2002-08-30,743.9384887712217
2002-09-02,743.8601278881631
