Date,ISRAEL SMALL GROWTH
2002-05-31,346.58606503213565
2002-06-03,343.2122050245421
2002-06-04,343.6182740712756
2002-06-05,341.7561334501104
2002-06-06,336.38383891217813
2002-06-07,337.6120936597457
2002-06-10,336.6275876365294
2002-06-11,328.6782646004715
2002-06-12,328.2121396677124
2002-06-13,324.5198095349248
2002-06-14,322.2696738350365
2002-06-17,326.01687978743405
2002-06-18,325.16298857559804
2002-06-19,318.53245245662197
2002-06-20,308.02608327264966
2002-06-21,304.0337760382611
2002-06-24,297.4980368583951
2002-06-25,306.4620251622623
2002-06-26,305.4509901779539
2002-06-27,314.2043000277877
2002-06-28,320.1642037666288
2002-07-01,316.6586641006216
2002-07-02,311.04120228540944
2002-07-03,312.9433150093571
2002-07-04,312.7280431154475
2002-07-05,316.93016692220385
2002-07-08,316.0308025554155
2002-07-09,315.37576854896605
2002-07-10,318.30477139095495
2002-07-11,315.94230959300137
2002-07-12,320.41480343468044
2002-07-15,327.20343871611345
2002-07-16,327.46669560178105
2002-07-17,335.6600325988302
2002-07-18,334.50950366226886
2002-07-19,334.17321148342154
2002-07-22,331.97015559940655
2002-07-23,324.2242155598834
2002-07-24,320.8989320583585
2002-07-25,322.4628279550117
2002-07-26,322.9590361630346
2002-07-29,335.2995340089909
2002-07-30,342.72811755618204
2002-07-31,347.51390043253247
2002-08-01,342.49843478225614
2002-08-02,338.01053385841004
2002-08-05,326.91921922128245
2002-08-06,329.9563299672999
2002-08-07,332.6282240237923
2002-08-08,334.67630655890594
2002-08-09,336.61523899592794
2002-08-12,338.228936846643
2002-08-13,329.7199410493585
2002-08-14,335.17137122411714
2002-08-15,337.2496991363019
2002-08-16,339.4186529563389
2002-08-19,353.95733405836893
2002-08-20,353.11229522807423
2002-08-21,356.5902289316517
2002-08-22,357.3942831434514
2002-08-23,353.4523775116642
2002-08-26,353.2172076493934
2002-08-27,351.40457877129467
2002-08-28,347.2971141427575
2002-08-29,345.3878003194018
2002-08-30,344.9612957036638
2002-09-02,339.2030172393891
2002-09-03,334.5806845980901
2002-09-04,338.71294895404515
2002-09-05,334.90142853489766
2002-09-06,336.96450511683014
2002-09-09,337.7487777688254
2002-09-10,340.5351944884062
2002-09-11,342.04504518301326
2002-09-12,337.12068314342275
2002-09-13,337.0957305075667
2002-09-16,339.79257191104193
2002-09-17,340.8338512490266
2002-09-18,332.730518522375
2002-09-19,328.4863729234768
2002-09-20,325.07506955707163
2002-09-23,315.4470721677629
2002-09-24,311.2795740327496
2002-09-25,314.4721108765498
2002-09-26,313.26544562958645
2002-09-27,312.571319341956
2002-09-30,306.140171859862
2002-10-01,310.80256974661455
2002-10-02,307.5606192603409
2002-10-03,302.5813017964287
2002-10-04,302.0791901830615
2002-10-07,293.2129817236117
2002-10-08,294.1850789370284
2002-10-09,295.35774043313484
2002-10-10,297.70025193487
2002-10-11,303.6954887733044
2002-10-14,301.9119350990182
2002-10-15,312.670236333086
2002-10-16,306.4925798143255
2002-10-17,316.02822567530694
2002-10-18,317.19296790734813
2002-10-21,319.02239079757896
2002-10-22,309.7965176845573
2002-10-23,315.0804362067129
2002-10-24,315.56945061470424
2002-10-25,315.4080670909026
2002-10-28,306.87184981835577
2002-10-29,304.33356399582914
2002-10-30,309.71551576838795
2002-10-31,308.30030033804564
2002-11-01,309.8743503141909
2002-11-04,316.115781545745
2002-11-05,317.7339662124193
2002-11-06,327.2040024967161
2002-11-07,325.9429686343733
2002-11-08,325.1406144807665
2002-11-11,324.1898420538648
2002-11-12,322.5554881153176
2002-11-13,322.6951141814163
2002-11-14,326.52877886963216
2002-11-15,326.3710149039043
2002-11-18,328.1639555783012
2002-11-19,326.81301951639927
2002-11-20,329.00249347166584
2002-11-21,337.40543607481476
2002-11-22,340.747781159644
2002-11-25,348.75577114532894
2002-11-26,353.52239222295606
2002-11-27,361.88439114413586
2002-11-28,361.766550875582
2002-11-29,362.5958260067036
2002-12-02,374.9361896082137
2002-12-03,373.1514974147671
2002-12-04,364.0369992766353
2002-12-05,358.35379627007575
2002-12-06,358.559000379167
2002-12-09,350.32266550137865
2002-12-10,355.3423221977586
