Date,SPAIN SMALL GROWTH
1994-05-31,176.95355731159026
1994-06-30,170.91449667759318
1994-07-29,171.54735969541983
1994-08-31,171.90723791101126
1994-09-30,165.79370049376683
1994-10-31,161.19217866730918
1994-11-30,159.21391946440136
1994-12-30,153.4652823428113
1995-01-31,148.3836821273786
1995-02-28,150.23690155833316
1995-03-31,144.34334349586268
1995-04-28,156.5350208079238
1995-05-31,165.64849913320464
1995-06-30,163.90554752065356
1995-07-31,169.1865120321329
1995-08-31,161.2387745009397
1995-09-29,159.37453331531097
1995-10-31,153.63579422074375
1995-11-30,149.81346714003297
1995-12-29,150.28524607312224
1996-01-31,146.0079389785798
1996-02-29,148.93250666519765
1996-03-29,147.18469203276504
1996-04-30,145.6084568758585
1996-05-31,144.0142523847583
1996-06-28,146.16095281760073
1996-07-31,146.4549127291652
1996-08-30,149.6138492657541
1996-09-30,147.95592477872447
1996-10-31,151.89452210402752
1996-11-29,157.49202975002498
1996-12-31,165.12193227870927
1997-01-01,165.12193227870927
1997-01-02,163.5274294602881
1997-01-03,164.5421949683189
1997-01-06,164.04187662557982
1997-01-07,165.32946113301773
1997-01-08,167.17953388809974
1997-01-09,167.39928981774514
1997-01-10,169.38310718278268
1997-01-13,171.1105023443388
1997-01-14,170.86016459559178
1997-01-15,170.62744142191482
1997-01-16,172.22154706525907
1997-01-17,171.81682298560872
1997-01-20,171.10627920807232
1997-01-21,170.60033407195291
1997-01-22,168.16712086220502
1997-01-23,167.25620519058907
1997-01-24,165.64549263007555
1997-01-27,163.4945994443527
1997-01-28,163.22640431796134
1997-01-29,163.14324885553012
1997-01-30,163.90874721951155
1997-01-31,168.15173047468093
1997-02-03,165.49744803641224
1997-02-04,165.62371478821927
1997-02-05,165.5194458201116
1997-02-06,165.5810311988238
1997-02-07,165.06117889059243
1997-02-10,167.3515784273858
1997-02-11,166.06729303330496
1997-02-12,165.72890168811034
1997-02-13,166.6782529104613
1997-02-14,167.07054000207833
1997-02-17,168.187816157337
1997-02-18,167.98132173400668
1997-02-19,166.84549428384923
1997-02-20,165.9760387386533
1997-02-21,165.21348214517246
1997-02-24,166.53339623188734
1997-02-25,166.8507150448823
1997-02-26,165.54720689415552
1997-02-27,165.81893358186176
1997-02-28,164.7104489484318
1997-03-03,164.67417062806913
1997-03-04,165.4150446026606
1997-03-05,164.68436727070673
1997-03-06,165.26621601386708
1997-03-07,165.83642545757945
1997-03-10,167.39701296843
1997-03-11,166.92031051746346
1997-03-12,167.0817850080272
1997-03-13,166.83735457269435
1997-03-14,166.4992267418693
1997-03-17,166.4855574411933
1997-03-18,166.9883799978067
1997-03-19,166.38102107797852
1997-03-20,164.50649336747352
1997-03-21,164.72704921867413
1997-03-24,163.8721339018058
1997-03-25,165.0577735107243
1997-03-26,165.79632617532417
1997-03-27,167.44145509796462
1997-03-28,167.4768126235009
1997-03-31,167.5175728647633
1997-04-01,166.35097590432804
1997-04-02,167.17687848027134
1997-04-03,167.46426177411703
1997-04-04,169.6179712412268
1997-04-07,167.4774967712871
1997-04-08,167.43132977985107
1997-04-09,167.52931211581114
1997-04-10,166.74377984628202
1997-04-11,166.09241377317832
1997-04-14,165.86209445732894
1997-04-15,168.4724593056839
1997-04-16,169.05717635837377
