Date,JAPAN SMALL GROWTH
1994-05-31,1689.5732521093503
1994-06-30,1862.5630419271781
1994-07-29,1788.7251454683562
1994-08-31,1749.8645108477008
1994-09-30,1666.286994094468
1994-10-31,1697.6875939860147
1994-11-30,1552.9825558592834
1994-12-30,1594.302176476675
1995-01-31,1496.7924362288993
1995-02-28,1386.3791082467606
1995-03-31,1464.537063825419
1995-04-28,1488.0454464114787
1995-05-31,1354.7132866906882
1995-06-30,1282.2788999008417
1995-07-31,1379.142142190021
1995-08-31,1360.2055689876595
1995-09-29,1335.9760209051626
1995-10-31,1284.608159798001
1995-11-30,1352.573230228103
1995-12-29,1433.0482292067188
1996-01-31,1439.6907346397888
1996-02-29,1408.3673048152461
1996-03-29,1448.9979726502597
1996-04-30,1596.2466328142557
1996-05-31,1522.784554128777
1996-06-28,1515.501575367113
1996-07-31,1407.6866887023223
1996-08-30,1361.3471245930245
1996-09-30,1346.76779223815
1996-10-31,1259.2139423439742
1996-11-29,1211.7780734203961
1996-12-31,1077.6121868920518
1997-01-01,1077.6121868920518
1997-01-02,1081.1050307494745
1997-01-03,1076.4065966657524
1997-01-06,1083.307682956784
1997-01-07,1076.3473140932076
1997-01-08,1056.3223269548353
1997-01-09,1026.991355409249
1997-01-10,1003.578665767052
1997-01-13,1019.6225311617221
1997-01-14,1020.9807227379731
1997-01-15,1018.7411905692688
1997-01-16,1035.0274754480843
1997-01-17,1031.9355692904278
1997-01-20,1011.0175685246487
1997-01-21,1002.0158434786903
1997-01-22,1005.3083903050318
1997-01-23,996.8318332217261
1997-01-24,992.3984308039888
1997-01-27,977.6416004827979
1997-01-28,966.0467475211253
1997-01-29,965.4715678567621
1997-01-30,958.7029219919718
1997-01-31,973.9248749892196
1997-02-03,972.9647479315081
1997-02-04,978.0129002749075
1997-02-05,955.0535858079321
1997-02-06,944.5210651762526
1997-02-07,924.849559085963
1997-02-10,940.624178522803
1997-02-11,938.8372335847159
1997-02-12,931.6069328822041
1997-02-13,928.6205440660054
1997-02-14,931.8829324697624
1997-02-17,935.9868008220086
1997-02-18,934.774997562356
1997-02-19,931.12112329811
1997-02-20,951.0946252269414
1997-02-21,953.0192176386017
1997-02-24,962.3398427849459
1997-02-25,962.4668840169388
1997-02-26,961.8140648150448
1997-02-27,968.0981255292428
1997-02-28,960.8002227640139
1997-03-03,951.9653155637061
1997-03-04,943.2660913737341
1997-03-05,937.8398437028587
1997-03-06,928.0799961563513
1997-03-07,923.2745808074302
1997-03-10,920.5240082701746
1997-03-11,918.8384176640787
1997-03-12,908.7857481063999
1997-03-13,901.2460391503827
1997-03-14,892.809529525598
1997-03-17,893.5075576539829
1997-03-18,908.1985968135558
1997-03-19,903.8901738336731
1997-03-20,898.7526403071633
1997-03-21,908.6389609094479
1997-03-24,899.7986164195127
1997-03-25,898.0653449352754
1997-03-26,897.4049321954706
1997-03-27,893.0538060666772
1997-03-28,890.9000128389135
1997-03-31,887.0674396038316
1997-04-01,883.9016011248399
1997-04-02,888.7335863399611
1997-04-03,885.9693632547738
1997-04-04,870.0721204104525
1997-04-07,842.3527744735732
1997-04-08,829.9904056982637
1997-04-09,814.4796309156058
1997-04-10,801.446796070857
1997-04-11,801.1422555646511
1997-04-14,796.827171995513
1997-04-15,801.5204819550684
1997-04-16,815.1064131841366
1997-04-17,827.1100789919884
1997-04-18,852.4596899459782
1997-04-21,873.8924654833182
1997-04-22,876.2651586334515
1997-04-23,880.9224348261156
1997-04-24,878.3532203098464
1997-04-25,875.3321516944311
1997-04-28,868.2846529181564
1997-04-29,867.0516345952085
1997-04-30,879.7970557081696
1997-05-01,891.9484218274981
1997-05-02,896.0198055733362
1997-05-05,895.6892971773465
1997-05-06,924.3708174492955
1997-05-07,929.1632482792932
1997-05-08,934.8713824931565
