Date,FINLAND SMALL GROWTH
1994-05-31,221.9674963591936
1994-06-30,204.2641749364643
1994-07-29,220.7607495629653
1994-08-31,237.327270316097
1994-09-30,238.72233024288806
1994-10-31,257.8896447961981
1994-11-30,231.74700539881246
1994-12-30,230.18041153592168
1995-01-31,225.43690777299722
1995-02-28,223.72226162278767
1995-03-31,218.08316932805772
1995-04-28,244.75918004747496
1995-05-31,235.9022340639749
1995-06-30,237.9170630842617
1995-07-31,256.10294338999904
1995-08-31,244.10026452159158
1995-09-29,261.95238491372635
1995-10-31,247.73354673307156
1995-11-30,243.49433695089996
1995-12-29,233.2408626462175
1996-01-31,234.9442466313266
1996-02-29,242.1812103397202
1996-03-29,234.9674342239335
1996-04-30,234.6801348566791
1996-05-31,270.4047340282214
1996-06-28,273.3127867080969
1996-07-31,284.68202604490114
1996-08-30,305.8192730608482
1996-09-30,306.8226332474259
1996-10-31,312.21222076601236
1996-11-29,321.01346110449896
1996-12-31,330.37262745306623
1997-01-01,330.37262745306623
1997-01-02,331.4295903484032
1997-01-03,331.7305251139898
1997-01-06,329.6072632171069
1997-01-07,332.96017427656307
1997-01-08,337.26065643849336
1997-01-09,338.546591989608
1997-01-10,340.0207023369617
1997-01-13,346.6318627083667
1997-01-14,353.08651766033046
1997-01-15,355.4055574031865
1997-01-16,356.1123100509218
1997-01-17,353.80165800354064
1997-01-20,359.90958096313506
1997-01-21,356.9033047642585
1997-01-22,357.40729317387786
1997-01-23,354.96883040716307
1997-01-24,361.79136118446786
1997-01-27,357.69246371735136
1997-01-28,357.280454820871
1997-01-29,354.7724181565468
1997-01-30,359.4946382026643
1997-01-31,360.89130839949735
1997-02-03,362.99282394084554
1997-02-04,365.17699942615275
1997-02-05,369.7810847197521
1997-02-06,367.9031216974663
1997-02-07,369.0723333562948
1997-02-10,370.6351030081865
1997-02-11,367.97167749594166
1997-02-12,368.95943158048055
1997-02-13,371.36150896860346
1997-02-14,371.12916772738305
1997-02-17,369.1127607642277
1997-02-18,371.082002071147
1997-02-19,372.44810660151234
1997-02-20,378.2676089684554
1997-02-21,378.87362797022155
1997-02-24,379.2684981229483
1997-02-25,381.04366792095374
1997-02-26,382.0797285881165
1997-02-27,381.43385482210243
1997-02-28,377.23205320262707
1997-03-03,373.3421305788498
1997-03-04,371.77386627452375
1997-03-05,371.32443738805097
1997-03-06,373.73647607749564
1997-03-07,375.15423406490163
1997-03-10,377.9933740043607
1997-03-11,379.4767770739602
1997-03-12,378.84903170260367
1997-03-13,375.6844371276339
1997-03-14,377.893325871625
1997-03-17,377.1120376062304
1997-03-18,371.5611972929949
1997-03-19,365.51645540955167
1997-03-20,355.1168233333726
1997-03-21,364.6533702888983
1997-03-24,362.17101811207715
1997-03-25,366.0157515131868
1997-03-26,367.2479708962886
1997-03-27,370.1240092225848
1997-03-28,370.37315582338977
1997-03-31,372.1604292420317
1997-04-01,363.7712343469408
1997-04-02,356.97687996919115
1997-04-03,353.28171584136857
1997-04-04,353.78991924773953
1997-04-07,352.2451497238414
1997-04-08,353.6816087794898
1997-04-09,354.6102981390937
1997-04-10,351.7563037380237
1997-04-11,349.18323086657165
1997-04-14,345.30535797871664
1997-04-15,344.3981254242187
1997-04-16,346.5143405753756
1997-04-17,347.11543119783215
1997-04-18,348.20196612324816
1997-04-21,351.76302675134326
1997-04-22,350.40142270815437
1997-04-23,355.19681849077676
1997-04-24,355.99001149319076
1997-04-25,356.5223672596104
1997-04-28,355.8440272803608
1997-04-29,355.5879810689962
1997-04-30,353.36531758078274
1997-05-01,356.28552234828106
1997-05-02,355.65485680014064
1997-05-05,359.16805084960833
1997-05-06,363.85875141360793
1997-05-07,365.06631661389935
1997-05-08,366.40009574871584
1997-05-09,366.80238580810584
1997-05-12,363.1683721756492
1997-05-13,364.17363694280067
1997-05-14,361.84886931275605
1997-05-15,362.1802135714778
1997-05-16,364.7955063822113
1997-05-19,358.6636938889357
1997-05-20,361.604630762376
1997-05-21,364.9989860891431
