Date,AUSTRALIA SMALL GROWTH
1997-05-30,247.73529814058458
1997-06-02,247.33230610318643
1997-06-03,248.8633048778639
1997-06-04,248.755832596498
1997-06-05,248.2744213347108
1997-06-06,248.11353889835163
1997-06-09,248.6688585167141
1997-06-10,249.35624119576218
1997-06-11,246.2079175220713
1997-06-12,243.83877267702914
1997-06-13,243.79007863211206
1997-06-16,242.7207969549609
1997-06-17,243.178906955083
1997-06-18,242.76745371401478
1997-06-19,241.87089652776177
1997-06-20,244.32634483627712
1997-06-23,243.67557593772824
1997-06-24,242.12245556329802
1997-06-25,242.79164773565017
1997-06-26,242.04368190464
1997-06-27,241.97097688707984
1997-06-30,244.39889087128773
1997-07-01,244.3820453683581
1997-07-02,244.66917988560732
1997-07-03,244.79914802985542
1997-07-04,241.49822418131825
1997-07-07,236.0000342819758
1997-07-08,233.2497158363412
1997-07-09,234.3758391594494
1997-07-10,233.98958940637365
1997-07-11,234.8282145240559
1997-07-14,232.1600844510239
1997-07-15,229.72522845693538
1997-07-16,228.79472559505615
1997-07-17,230.6267993573273
1997-07-18,232.91658491764264
1997-07-21,232.04092293093612
1997-07-22,231.71149197868215
1997-07-23,232.40446412778005
1997-07-24,232.43846820977444
1997-07-25,234.50277151614156
1997-07-28,235.46293039127414
1997-07-29,238.41269368115934
1997-07-30,238.76977065553586
1997-07-31,239.15442624544494
1997-08-01,238.37372839283572
1997-08-04,236.97864948446698
1997-08-05,237.2922106858206
1997-08-06,236.31234654972374
1997-08-07,236.55517195617907
1997-08-08,235.46602315448035
1997-08-11,234.99470430686895
1997-08-12,234.02716245532088
1997-08-13,231.97791397114824
1997-08-14,231.01343123997628
1997-08-15,234.51006805214544
1997-08-18,227.9664143357192
1997-08-19,230.21288256802686
1997-08-20,231.79898021314025
1997-08-21,235.4487274176058
1997-08-22,234.8767244880994
1997-08-25,235.69414060372227
1997-08-26,235.47179136898774
1997-08-27,233.12597417386533
1997-08-28,231.3142341073574
1997-08-29,228.41823981965334
1997-09-01,226.2551685929566
1997-09-02,225.19002936406025
1997-09-03,226.8696707912687
1997-09-04,228.076892167709
1997-09-05,227.78251768819902
1997-09-08,229.67608727862552
1997-09-09,229.49326371177833
1997-09-10,227.60965292836548
1997-09-11,225.03866858661718
1997-09-12,223.99508160382834
1997-09-15,224.70528833244992
1997-09-16,222.7654285239584
1997-09-17,223.89271685480875
1997-09-18,223.78243116184754
1997-09-19,225.56110358055247
1997-09-22,226.25874923640148
1997-09-23,225.8896517099638
1997-09-24,226.21948530583478
1997-09-25,230.27861993637487
1997-09-26,229.92872691296353
1997-09-29,228.12031918468332
1997-09-30,231.05048937942408
1997-10-01,231.9635860634554
1997-10-02,232.94086861386367
1997-10-03,232.03115156174215
1997-10-06,231.26110894161997
1997-10-07,230.26952443844982
1997-10-08,231.44405045981742
1997-10-09,231.92094188842117
1997-10-10,230.5342184154066
1997-10-13,230.58093082112282
1997-10-14,228.5683142084986
1997-10-15,225.5564447899887
1997-10-16,224.91406952094326
1997-10-17,222.6786453293376
1997-10-20,220.24375297610857
1997-10-21,220.0379916345131
1997-10-22,215.38394868612266
1997-10-23,211.50901359213321
1997-10-24,206.5006129326514
1997-10-27,193.01156020061208
1997-10-28,177.00377658086884
1997-10-29,192.7203425213598
1997-10-30,188.94392135028428
1997-10-31,191.93227833348948
1997-11-03,195.95382443479005
1997-11-04,197.37490820897526
1997-11-05,196.02376073025738
1997-11-06,194.84098085434147
1997-11-07,192.05430138218344
1997-11-10,191.63208834465425
1997-11-11,193.00165645884908
1997-11-12,192.41300327520034
1997-11-13,191.61503766708404
1997-11-14,190.58085165503113
1997-11-17,192.29889837810103
1997-11-18,190.98678227635742
1997-11-19,187.72016549476044
1997-11-20,187.68094184202067
1997-11-21,192.40804696788055
1997-11-24,189.86048040924894
1997-11-25,184.3336070711796
1997-11-26,184.00067126065787
1997-11-27,182.12290284868382
1997-11-28,184.37428330966253
1997-12-01,182.53733902797376
1997-12-02,183.8692921482239
1997-12-03,185.73883510962997
1997-12-04,184.059157311614
1997-12-05,184.2681597274656
1997-12-08,185.29936164560291
1997-12-09,184.51705286318062
1997-12-10,183.42546380707304
1997-12-11,180.2774483387065
1997-12-12,179.00021728187915
1997-12-15,177.277744565199
1997-12-16,175.8181387454942
1997-12-17,179.1991094188962
1997-12-18,179.8439891361981
1997-12-19,178.14798709151034
1997-12-22,176.2957615226117
1997-12-23,180.65221988165024
1997-12-24,180.75771076276712
1997-12-25,180.7577107627671
1997-12-26,180.85412956756323
1997-12-29,181.5697243877176
1997-12-30,181.92482922715243
1997-12-31,183.27260008407598
1998-01-01,183.27260008407595
1998-01-02,182.7488599446671
1998-01-05,183.10400281969615
1998-01-06,181.13268990137664
1998-01-07,181.26675066599006
1998-01-08,180.2112333320139
1998-01-09,181.14248149698753
1998-01-12,176.64430768664084
1998-01-13,178.7987106965898
1998-01-14,180.68618244908177
1998-01-15,180.77301781330672
1998-01-16,185.83031942800955
1998-01-19,188.57139172323062
1998-01-20,187.35273768061745
1998-01-21,186.53145845887
1998-01-22,184.73324591244815
1998-01-23,187.06689666293332
1998-01-26,189.42500141404363
1998-01-27,190.83721807272022
1998-01-28,193.29783189048644
1998-01-29,195.49890720770807
1998-01-30,199.04063233202928
1998-02-02,198.49328824078023
1998-02-03,197.765852821093
1998-02-04,197.54706077888562
1998-02-05,198.0534979103421
1998-02-06,195.71638413551085
1998-02-09,197.0483202067554
1998-02-10,199.489443784308
1998-02-11,200.8589748951169
1998-02-12,200.89463097934964
1998-02-13,197.6597503358104
1998-02-16,194.5960747625416
1998-02-17,196.92970943795282
1998-02-18,196.64794872776562
1998-02-19,200.10768902244024
1998-02-20,198.823694736961
1998-02-23,197.98970130353936
1998-02-24,197.084419819321
1998-02-25,196.58127998204003
1998-02-26,199.06802721933343
1998-02-27,203.08041393626445
1998-03-02,203.27594947018156
1998-03-03,202.1537147324374
1998-03-04,200.19583467916223
1998-03-05,195.21163512446452
1998-03-06,195.30034677693166
1998-03-09,194.19867163006342
1998-03-10,195.49066610380365
1998-03-11,195.6774574988198
1998-03-12,196.3047124214521
1998-03-13,198.80246310667317
