Date,USA SMALL GROWTH
1994-05-31,221.06595997210806
1994-06-30,211.77075123114872
1994-07-29,216.47787733199922
1994-08-31,232.9444489621254
1994-09-30,233.46057489410367
1994-10-31,237.31066923245567
1994-11-30,226.31586093548427
1994-12-30,230.76641361726456
1995-01-31,227.01800886178276
1995-02-28,238.2659485188669
1995-03-31,246.72911989445177
1995-04-28,250.62991913571216
1995-05-31,253.7435005509421
1995-06-30,270.9488554840731
1995-07-31,292.0694364717567
1995-08-31,295.25231159818156
1995-09-29,300.59013614616845
1995-10-31,287.2943445459384
1995-11-30,299.39624167640477
1995-12-29,304.8458753834188
1996-01-31,302.40155293943826
1996-02-29,315.42774604093256
1996-03-29,325.1260802583377
1996-04-30,353.30313146437675
1996-05-31,368.6535638466721
1996-06-28,348.69801792087
1996-07-31,307.60306253779703
1996-08-30,329.09971870886704
1996-09-30,347.0107641259393
1996-10-31,332.97218089652927
1996-11-29,340.14573409199335
1996-12-31,344.28632179289895
1997-01-01,344.28632179289895
1997-01-02,340.3440824061224
1997-01-03,343.942954150692
1997-01-06,345.0788943024421
1997-01-07,348.2368570099142
1997-01-08,348.40499695563557
1997-01-09,350.4914402972242
1997-01-10,351.15878962106984
1997-01-13,350.1046729854605
1997-01-14,351.4793237136664
1997-01-15,350.9262109756012
1997-01-16,351.15766624890387
1997-01-17,351.9824848203081
1997-01-20,354.0223662071042
1997-01-21,356.1904648384763
1997-01-22,356.9532254519133
1997-01-23,356.4000025330551
1997-01-24,352.62654034928306
1997-01-27,348.9388243182538
1997-01-28,349.59860222263706
1997-01-29,349.36147239174466
1997-01-30,351.05829872981593
1997-01-31,351.9787959933783
1997-02-03,351.30884251913267
1997-02-04,349.797470864769
1997-02-05,346.26990066538355
1997-02-06,345.9555443688874
1997-02-07,346.59530182296743
1997-02-10,342.0694635046538
1997-02-11,339.74162748790053
1997-02-12,343.6678029994959
1997-02-13,346.60763607808366
1997-02-14,347.07672866188176
1997-02-17,347.07672866188176
1997-02-18,346.9016051387742
1997-02-19,345.9611795904702
1997-02-20,342.2002788887578
1997-02-21,339.6574106852147
1997-02-24,339.7897088675737
1997-02-25,339.921336483832
1997-02-26,336.40359533350585
1997-02-27,332.46855363376136
1997-02-28,330.9651546900084
1997-03-03,330.59643177507985
1997-03-04,332.68474371023996
1997-03-05,335.40835134693833
1997-03-06,334.752660528882
1997-03-07,336.6061448362853
1997-03-10,337.0049245909153
1997-03-11,336.68300110722276
1997-03-12,332.926557218756
1997-03-13,328.09894863901513
1997-03-14,328.6581450878703
1997-03-17,323.3574154638606
1997-03-18,320.0250466717521
1997-03-19,315.62383283563946
1997-03-20,316.93762278618306
1997-03-21,317.3766065693189
1997-03-24,313.7235027993048
1997-03-25,314.5124814125153
1997-03-26,317.3545617615751
1997-03-27,314.1715016509003
1997-03-28,314.1715016509003
1997-03-31,307.3455452670404
1997-04-01,304.99608460688614
1997-04-02,301.44283278039813
1997-04-03,300.54690390642656
1997-04-04,306.67366152209746
1997-04-07,311.0609889940162
1997-04-08,311.787433811037
1997-04-09,312.16188458945226
1997-04-10,309.99178140794265
1997-04-11,304.0021285074568
1997-04-14,303.58746508055276
1997-04-15,304.47865555947345
1997-04-16,302.8441788574856
1997-04-17,302.62635436998016
1997-04-18,302.82906822340425
1997-04-21,298.0950643444279
1997-04-22,297.3875086378953
1997-04-23,298.5369067646415
1997-04-24,298.95201965566935
1997-04-25,295.47762880992923
1997-04-28,294.7543697488432
1997-04-29,298.4419189159415
1997-04-30,301.67581832883366
1997-05-01,304.7813605386652
1997-05-02,314.024776277496
1997-05-05,325.16277012805705
1997-05-06,324.38366357320564
1997-05-07,322.6604569328975
1997-05-08,323.3742546119723
1997-05-09,324.88188404846215
1997-05-12,327.6983762724301
1997-05-13,326.88928401474715
1997-05-14,327.842339800591
1997-05-15,330.1968570408935
1997-05-16,329.4720525452079
1997-05-19,330.2238497209682
1997-05-20,332.4084769878481
1997-05-21,335.23611611129456
1997-05-22,336.26437716492865
1997-05-23,340.5319451872307
1997-05-26,340.5319451872307
1997-05-27,343.14182561463133
1997-05-28,344.79797771426803
1997-05-29,345.73384183462673
1997-05-30,347.85241921910944
1997-06-02,350.74008538151077
1997-06-03,350.5322209311659
1997-06-04,349.8631227169772
1997-06-05,352.0953476432467
1997-06-06,354.5693353116681
1997-06-09,355.08757620787065
1997-06-10,353.36971392768703
1997-06-11,353.3279925494566
1997-06-12,354.19827784155024
1997-06-13,355.7375733067993
1997-06-16,356.5335138622564
1997-06-17,357.97278172575705
1997-06-18,357.5137854633368
1997-06-19,361.10898065041283
1997-06-20,360.5277140149275
1997-06-23,358.4785944467781
1997-06-24,361.46681161073906
1997-06-25,360.0755634642357
1997-06-26,359.15860849143263
1997-06-27,362.10781743290573
1997-06-30,368.6028684640316
1997-07-01,366.4925035162769
1997-07-02,367.53280381514173
1997-07-03,368.71216944840546
1997-07-04,368.71216944840546
1997-07-07,368.7737158859495
1997-07-08,371.2002295364866
1997-07-09,370.29319525524284
1997-07-10,372.373740319164
1997-07-11,375.99289108428303
1997-07-14,378.09588679793137
1997-07-15,381.43300839656956
1997-07-16,385.8097867288744
1997-07-17,383.4403261109367
1997-07-18,380.8455422636144
1997-07-21,378.5678002626002
1997-07-22,381.8953085166725
1997-07-23,383.1155337681483
1997-07-24,383.92661950006084
1997-07-25,383.89361500802244
1997-07-28,383.9150743857996
1997-07-29,384.79896607615825
1997-07-30,388.68781692225264
1997-07-31,390.03032850187174
1997-08-01,389.64166459772434
1997-08-04,390.80365865782886
1997-08-05,393.99562524765275
1997-08-06,396.57117727561956
1997-08-07,395.9043147279868
1997-08-08,390.23869393995056
1997-08-11,388.1438252452314
1997-08-12,387.00474047437297
