Date,UNITED KINGDOM SMALL GROWTH
1994-05-31,244.3085416494755
1994-06-30,238.92484139196375
1994-07-29,247.17493084488888
1994-08-31,255.29105500898683
1994-09-30,251.23785326041673
1994-10-31,258.8360580951133
1994-11-30,246.641802080514
1994-12-30,247.8145526316586
1995-01-31,244.29623229078413
1995-02-28,240.80926188536984
1995-03-31,253.97025376265685
1995-04-28,257.4910095060883
1995-05-31,262.17276153036846
1995-06-30,259.79917887584304
1995-07-31,275.32762400267046
1995-08-31,277.802312132053
1995-09-29,291.8837787352242
1995-10-31,290.4446377496243
1995-11-30,283.68660595015893
1995-12-29,291.52846320737586
1996-01-31,293.29886041620523
1996-02-29,306.9404694868217
1996-03-29,316.0556899450695
1996-04-30,331.11120507724735
1996-05-31,345.2097848034033
1996-06-28,338.75163968964387
1996-07-31,326.36429960981417
1996-08-30,342.80490682345186
1996-09-30,345.7512941392318
1996-10-31,367.88272173424764
1996-11-29,380.2170928374361
1996-12-31,392.4900162089686
1997-01-01,392.46776644771995
1997-01-02,387.1018122261306
1997-01-03,388.8822944174364
1997-01-06,389.8412807211344
1997-01-07,394.2318400890832
1997-01-08,394.9836486299217
1997-01-09,397.32290422205693
1997-01-10,394.30936577164306
1997-01-13,393.9599608051906
1997-01-14,395.823055441271
1997-01-15,398.7791267650843
1997-01-16,400.102033802796
1997-01-17,399.8960272046095
1997-01-20,399.68470842314184
1997-01-21,398.5866986469059
1997-01-22,396.7902139723632
1997-01-23,391.80466811208606
1997-01-24,391.55461773138524
1997-01-27,390.93264031495886
1997-01-28,386.7409087301083
1997-01-29,389.1151395901951
1997-01-30,389.9346125589998
1997-01-31,388.401166125268
1997-02-03,390.12756161556695
1997-02-04,392.4360241707335
1997-02-05,396.2702737102374
1997-02-06,396.1387609987933
1997-02-07,395.0568953938131
1997-02-10,398.1019181328402
1997-02-11,399.7438321559911
1997-02-12,397.1924703927862
1997-02-13,394.3756962114198
1997-02-14,395.09638322349224
1997-02-17,394.38801067852023
1997-02-18,390.4900945400017
1997-02-19,393.35927439305794
1997-02-20,393.93297220525045
1997-02-21,395.7277462743799
1997-02-24,399.4929768851292
1997-02-25,400.5348896428019
1997-02-26,399.51080725980154
1997-02-27,397.99086253245923
1997-02-28,399.3945547548072
1997-03-03,396.6549224898801
1997-03-04,396.44858266881516
1997-03-05,395.51078223662216
1997-03-06,397.5170163046678
1997-03-07,395.97253746304915
1997-03-10,396.6610178844782
1997-03-11,397.9237935710675
1997-03-12,395.29470305658015
1997-03-13,396.28814876275925
1997-03-14,396.2861310766235
1997-03-17,393.5101206257785
1997-03-18,391.7120130102815
1997-03-19,392.7429073535832
1997-03-20,386.4793763785446
1997-03-21,388.8270588008317
1997-03-24,390.39863757523926
1997-03-25,392.58056710023595
1997-03-26,394.71671749568503
1997-03-27,395.9376415691991
1997-03-28,396.9676111707165
1997-03-31,398.84579113839123
1997-04-01,393.678355913093
1997-04-02,393.88171916975875
1997-04-03,392.6410882105998
1997-04-04,391.8611120052283
1997-04-07,389.67082162635165
1997-04-08,388.4852643304879
1997-04-09,389.3011212757859
1997-04-10,390.04033549126444
1997-04-11,390.8075468521738
1997-04-14,389.6019306914037
