Date,SWITZERLAND SMALL GROWTH
1994-05-31,211.71944403633708
1994-06-30,214.48237197436572
1994-07-29,216.67477042444636
1994-08-31,222.11065113278013
1994-09-30,221.70899025617624
1994-10-31,226.62569602497985
1994-11-30,216.7910566743187
1994-12-30,221.2382534678522
1995-01-31,220.32821407501996
1995-02-28,226.43762822564338
1995-03-31,238.29802399618603
1995-04-28,236.97503865553728
1995-05-31,246.81335451646515
1995-06-30,257.12002769582807
1995-07-31,258.35905667938005
1995-08-31,251.4623554340795
1995-09-29,261.71831010348046
1995-10-31,262.99048568869233
1995-11-30,252.1401926911397
1995-12-29,258.69934057108395
1996-01-31,253.7145960464605
1996-02-29,260.12900245677974
1996-03-29,268.9022293393547
1996-04-30,264.28771416193797
1996-05-31,257.72011068715335
1996-06-28,254.71340261442725
1996-07-31,246.92602886126176
1996-08-30,252.9391743125328
1996-09-30,244.18927619136517
1996-10-31,243.843131646003
1996-11-29,247.75383844343483
1996-12-31,241.24193247786434
1997-01-01,241.24193247786434
1997-01-02,240.95542450155423
1997-01-03,239.63162118124552
1997-01-06,240.6382237213292
1997-01-07,242.93450692314238
1997-01-08,243.61687324861742
1997-01-09,243.79374156677275
1997-01-10,238.891676428718
1997-01-13,241.0979686181526
1997-01-14,242.2492136457022
1997-01-15,242.3227137665486
1997-01-16,242.473804885651
1997-01-17,240.09574655132312
1997-01-20,236.5858623204621
1997-01-21,235.3386421518672
1997-01-22,233.74522637362804
1997-01-23,234.1459182865366
1997-01-24,236.8422380014609
1997-01-27,234.89500290830367
1997-01-28,232.77578856355123
1997-01-29,234.0705417617256
1997-01-30,235.1304150441964
1997-01-31,235.986550513738
1997-02-03,237.54736686293185
1997-02-04,236.96258529830405
1997-02-05,236.37313385602008
1997-02-06,237.9631660719978
1997-02-07,235.64074108753601
1997-02-10,237.22162814118983
1997-02-11,235.47590933102333
1997-02-12,233.49752292364255
1997-02-13,233.11367240906023
1997-02-14,233.08431972146633
1997-02-17,231.59822905429803
1997-02-18,231.9105091194079
1997-02-19,231.72787497397175
1997-02-20,231.44313246615903
1997-02-21,233.66811010371345
1997-02-24,235.18991256306842
1997-02-25,234.98858315385198
1997-02-26,233.09094713839093
1997-02-27,232.8082255881343
1997-02-28,233.24825368724493
1997-03-03,232.10933739316556
1997-03-04,231.73327743123176
1997-03-05,233.14924219344564
1997-03-06,232.8941431772637
1997-03-07,232.97152456092718
1997-03-10,236.2645083710394
1997-03-11,236.9228049738803
1997-03-12,237.885958134827
1997-03-13,237.68695923185118
1997-03-14,236.6306746761933
1997-03-17,236.85066589660855
1997-03-18,238.44272707542578
1997-03-19,238.11915286905972
1997-03-20,237.40895388625225
1997-03-21,236.86991879421055
1997-03-24,236.87687112153952
1997-03-25,236.36634828635079
1997-03-26,236.57041772693162
1997-03-27,241.36242058072608
1997-03-28,241.86196336219706
1997-03-31,243.3561820724036
1997-04-01,239.17242478806202
1997-04-02,239.65941333034658
1997-04-03,238.42813754316458
1997-04-04,238.9189205580921
1997-04-07,234.56591978936126
1997-04-08,235.14421363999267
1997-04-09,236.30163708032117
1997-04-10,237.36062908682018
1997-04-11,238.12477207600458
1997-04-14,238.0395006273252
1997-04-15,239.07902517923443
1997-04-16,239.27976763595072
1997-04-17,240.76486356815022
1997-04-18,242.5783528093111
1997-04-21,243.10200787646386
1997-04-22,243.64336685038194
1997-04-23,242.6630473768561
1997-04-24,242.57490608674252
1997-04-25,240.19465388977463
1997-04-28,239.70329426954936
1997-04-29,239.6461200134666
1997-04-30,239.20459741925637
1997-05-01,240.89748281489668
1997-05-02,240.83351994647154
1997-05-05,242.77005916886424
1997-05-06,245.05421467234186
1997-05-07,245.7815961012208
1997-05-08,248.57592412621912
1997-05-09,250.49987486935984
1997-05-12,248.85685246486008
1997-05-13,249.66043889515132
1997-05-14,249.457630463423
1997-05-15,250.92554785715336
1997-05-16,254.29342494391796
1997-05-19,252.6910719196967
1997-05-20,255.33707008675572
1997-05-21,254.80593271518188
1997-05-22,255.4866909602344
1997-05-23,258.3914359827795
1997-05-26,260.73247109399296
1997-05-27,257.1523553884818
1997-05-28,257.35701687186946
1997-05-29,257.4503291827466
1997-05-30,255.55552893010992
1997-06-02,253.03587216653736
1997-06-03,252.46088682517967
1997-06-04,252.30097054284377
1997-06-05,252.34111836746308
1997-06-06,253.72308700351056
1997-06-09,258.0945567485232
1997-06-10,256.56898615685986
1997-06-11,258.9036156287635
1997-06-12,260.1555113849994
1997-06-13,259.8468655755818
1997-06-16,261.5579108574414
1997-06-17,259.5462068672973
1997-06-18,258.8825591924546
1997-06-19,260.1140088182109
1997-06-20,259.9274342623651
1997-06-23,260.5648986265884
1997-06-24,259.4986682570879
1997-06-25,260.8693931791869
1997-06-26,260.5983171779674
1997-06-27,258.8348933743837
1997-06-30,256.874431604235
1997-07-01,257.95496052869896
1997-07-02,256.6150646639779
1997-07-03,257.9077383501183
1997-07-04,258.4289903573539
1997-07-07,258.83570040748134
1997-07-08,256.60465845560896
1997-07-09,255.64871460401199
1997-07-10,256.56536359888753
1997-07-11,255.75118199948014
1997-07-14,253.0843358992835
1997-07-15,251.52680496187364
1997-07-16,251.79481689142392
1997-07-17,253.37637729206241
1997-07-18,255.24868416175784
1997-07-21,252.28754594175132
1997-07-22,252.4964372394127
1997-07-23,253.44053320138738
1997-07-24,251.47399396242585
1997-07-25,247.59486533379211
1997-07-28,247.67474307167276
1997-07-29,248.73650729177518
1997-07-30,249.1294436681405
1997-07-31,249.99369969032043
1997-08-01,248.38534199945857
1997-08-04,247.1299975465696
1997-08-05,246.1431410139943
1997-08-06,248.27373954162985
1997-08-07,249.17101197845915
1997-08-08,252.01555920375586
1997-08-11,250.12712021077894
1997-08-12,250.31016953737205
1997-08-13,252.86248498490758
1997-08-14,249.925674942157
1997-08-15,251.94928183336486
1997-08-18,246.96928829194516
1997-08-19,248.43693354724363
1997-08-20,250.83949591111931
1997-08-21,252.51082655992897
1997-08-22,253.77176340682087
1997-08-25,253.2860308660165
1997-08-26,253.14367588074478
1997-08-27,252.86801898249368
1997-08-28,252.29710079615697
1997-08-29,251.35357122487096
1997-09-01,251.16221665180638
1997-09-02,249.43003685311365
1997-09-03,250.9372456839294
1997-09-04,251.7266388262058
1997-09-05,254.58385272842034
1997-09-08,252.74415385583245
1997-09-09,251.46659937135348
1997-09-10,251.96732277161922
1997-09-11,249.93099039542017
1997-09-12,252.23337890933283
1997-09-15,255.1683482711739
1997-09-16,255.09549441988028
1997-09-17,253.68451482771385
1997-09-18,251.83980503216657
1997-09-19,254.47176626729333
1997-09-22,252.36524610204177
1997-09-23,251.78544218700875
1997-09-24,254.64244498595235
1997-09-25,254.01671353188547
1997-09-26,253.94312530529157
1997-09-29,254.91306047005534
1997-09-30,255.78057848557074
1997-10-01,254.91076767956423
1997-10-02,257.1439509146716
1997-10-03,257.33107457146804
1997-10-06,257.2946124344697
1997-10-07,259.504314036545
1997-10-08,259.7025259110043
1997-10-09,257.83636976150916
1997-10-10,256.1764511940356
1997-10-13,255.87873984950716
1997-10-14,254.64293688509844
1997-10-15,254.12970471045304
1997-10-16,254.90199582964888
1997-10-17,251.4062113143757
1997-10-20,251.9009376853704
1997-10-21,249.51699060939373
1997-10-22,250.63799163585404
1997-10-23,247.9361991712386
1997-10-24,247.56345655707415
1997-10-27,247.60808737733225
1997-10-28,245.63796936047135
1997-10-29,248.9012082865776
1997-10-30,250.13312013970457
1997-10-31,253.13503605175796
1997-11-03,250.527117130209
1997-11-04,252.47213816960945
1997-11-05,253.63593881149137
1997-11-06,254.4132355620643
1997-11-07,253.97306953519413
1997-11-10,254.26821813004324
1997-11-11,254.4960936145483
1997-11-12,251.43381213369713
1997-11-13,247.93191987836354
1997-11-14,247.70521212648293
1997-11-17,248.6976507449153
1997-11-18,249.1931477048473
1997-11-19,248.78873237769128
1997-11-20,249.10567129235983
1997-11-21,247.23573268885644
1997-11-24,248.28977130088768
1997-11-25,247.81808682736326
1997-11-26,245.91956778172232
1997-11-27,246.18489421443232
1997-11-28,245.6746525744985
1997-12-01,245.65686944830156
1997-12-02,245.26208152616445
1997-12-03,246.34524750833077
1997-12-04,245.76187095096057
1997-12-05,244.21874187900136
1997-12-08,242.1006392711486
1997-12-09,239.494873890287
1997-12-10,243.2737133004293
1997-12-11,242.42282976450602
