Date,WORLD ex USA IMI HIGH DIVIDEND YIELD
2011-09-05,1194.2387921269783
2011-09-06,1184.2377212713375
2011-09-07,1210.686940914273
2011-09-08,1217.71384516374
2011-09-09,1176.6263581840328
2011-09-12,1142.4726064892757
2011-09-13,1155.0724556701375
2011-09-14,1165.1144793890317
2011-09-15,1196.8786721437932
2011-09-16,1198.2575950077435
2011-09-19,1168.5136441003542
2011-09-20,1194.8906604676583
2011-09-21,1178.2236881714869
2011-09-22,1120.849339727245
2011-09-23,1129.1571878196564
2011-09-26,1142.2222249235824
2011-09-27,1190.1289044091404
2011-09-28,1181.1545943133106
2011-09-29,1191.0395930553855
2011-09-30,1170.8980694944548
2011-10-03,1149.8388886716086
2011-10-04,1127.2825441504924
2011-10-05,1152.012641046832
2011-10-06,1182.4837125457404
2011-10-07,1200.2865574827247
2011-10-10,1225.3984625008864
2011-10-11,1220.9968908419464
2011-10-12,1243.3911042076156
2011-10-13,1230.4179998482452
2011-10-14,1250.3684933510528
2011-10-17,1239.2436323092268
2011-10-18,1226.2993372231833
2011-10-19,1242.9260073663515
2011-10-20,1224.9739511347545
2011-10-21,1260.6831273050477
2011-10-24,1270.449287211037
2011-10-25,1258.8059075490332
2011-10-26,1256.7740441591507
2011-10-27,1309.9060808243826
2011-10-28,1309.3272832878727
2011-10-31,1274.4388865105047
2011-11-01,1220.9622513143352
2011-11-02,1233.7083585748169
2011-11-03,1247.1877920351037
2011-11-04,1240.5171301697433
2011-11-07,1237.9798895956865
2011-11-08,1248.2888859212558
2011-11-09,1219.2119332931356
2011-11-10,1213.5062087583321
2011-11-11,1247.266744692854
2011-11-14,1233.2940376217275
2011-11-15,1219.7401556604696
2011-11-16,1221.7350758315797
2011-11-17,1211.1977584377908
2011-11-18,1204.4800592581325
2011-11-21,1171.340981291576
2011-11-22,1166.7116653039875
2011-11-23,1143.8371310227692
2011-11-24,1132.799569479209
2011-11-25,1135.3156623232605
2011-11-28,1173.0575018565564
2011-11-29,1184.5824344314196
