Date,EUROPE IMI HIGH DIVIDEND YIELD
2010-05-26,1000.0
2010-05-27,1033.1612208815666
2010-05-28,1037.136052635952
2010-05-31,1034.5363431295875
2010-06-01,1036.641857178868
2010-06-02,1032.8776653218229
2010-06-03,1047.6530794873042
2010-06-04,1018.8506793026398
2010-06-07,1002.3198479485646
2010-06-08,990.5156667299267
2010-06-09,1008.7166660898629
2010-06-10,1023.582882281231
2010-06-11,1032.314408843588
2010-06-14,1054.5469542497053
2010-06-15,1064.2220758483043
2010-06-16,1065.4997848678852
2010-06-17,1068.898689580731
2010-06-18,1068.496335438952
2010-06-21,1073.864050821431
2010-06-22,1060.641959305424
2010-06-23,1048.003978355482
2010-06-24,1039.9758965392346
2010-06-25,1029.135662679709
2010-06-28,1042.6724724598519
2010-06-29,1005.9053474764482
2010-06-30,1014.5906755893458
2010-07-01,1010.9757936228567
2010-07-02,1022.9747089172465
2010-07-05,1016.0707090632513
2010-07-06,1048.1924636514188
2010-07-07,1059.157291620493
2010-07-08,1072.6868748737836
2010-07-09,1073.3056830776106
2010-07-12,1075.9292584687769
2010-07-13,1101.4478394399098
2010-07-14,1107.5253556764965
2010-07-15,1113.4586399081022
2010-07-16,1100.0695443569477
2010-07-19,1093.459453288109
2010-07-20,1085.7507753521572
2010-07-21,1088.4831885372973
2010-07-22,1114.743068539827
2010-07-23,1111.2059926904576
2010-07-26,1125.691625924932
2010-07-27,1130.6007822731422
2010-07-28,1130.0548066822864
2010-07-29,1139.4286986021302
2010-07-30,1130.2680035746996
2010-08-02,1170.4525230538568
2010-08-03,1176.1020020038754
2010-08-04,1174.1586109745067
2010-08-05,1171.69802091988
2010-08-06,1173.872337658896
2010-08-09,1188.5816957080315
2010-08-10,1166.2449565162694
2010-08-11,1131.0728439771808
2010-08-12,1129.845191456948
2010-08-13,1127.5160894841274
2010-08-16,1130.4431268276194
2010-08-17,1139.7757126715114
2010-08-18,1135.126304598339
2010-08-19,1119.8815825768356
2010-08-20,1099.753115563967
2010-08-23,1106.2029391046628
2010-08-24,1090.7588152010146
2010-08-25,1081.4755748328985
2010-08-26,1096.5769205782576
2010-08-27,1105.5533495075874
2010-08-30,1103.7686675521777
2010-08-31,1103.2331246843605
2010-09-01,1138.9055793675655
2010-09-02,1139.2438535924578
2010-09-03,1151.92915173321
2010-09-06,1155.777721651347
2010-09-07,1140.0227677938403
2010-09-08,1155.3362707293538
2010-09-09,1162.3449591303329
2010-09-10,1160.3608549044884
2010-09-13,1177.1730502828761
2010-09-14,1183.949867451687
2010-09-15,1187.1650334643396
2010-09-16,1187.8819217096525
2010-09-17,1176.3739030708903
2010-09-20,1194.2410010055792
2010-09-21,1192.5972844641426
2010-09-22,1199.1308168120058
2010-09-23,1193.4411841364179
2010-09-24,1214.9366185608599
2010-09-27,1209.869711585441
2010-09-28,1211.8391809664197
2010-09-29,1211.2452215865399
2010-09-30,1211.9938454031474
2010-10-01,1220.4439699599195
2010-10-04,1208.6792445673186
2010-10-05,1237.5635542601835
2010-10-06,1245.1406024290466
2010-10-07,1256.0002885257454
2010-10-08,1255.6629211759885
2010-10-11,1258.2026695301297
2010-10-12,1245.9184320102559
2010-10-13,1274.1737869771723
2010-10-14,1285.9394848589566
2010-10-15,1282.0878482815363
2010-10-18,1284.425914094494
2010-10-19,1261.7186056445914
2010-10-20,1278.4124666067023
2010-10-21,1283.2979227051926
2010-10-22,1273.5177633322367
2010-10-25,1278.3529195596932
2010-10-26,1273.951192408024
2010-10-27,1257.4718443907416
2010-10-28,1278.761906012913
2010-10-29,1282.9618040317293
2010-11-01,1282.6576325468307
2010-11-02,1301.099512575113
2010-11-03,1293.5988894461702
2010-11-04,1323.9495091489687
2010-11-05,1313.5445793531458
2010-11-08,1299.7711473516251
2010-11-09,1305.3398602895008
2010-11-10,1281.2462689891556
2010-11-11,1274.3915619376396
2010-11-12,1272.5885747237835
2010-11-15,1270.028192655457
2010-11-16,1240.9720373312086
2010-11-17,1247.0425694495289
2010-11-18,1266.4827592835236
2010-11-19,1266.3303889795327
2010-11-22,1252.1570458382828
2010-11-23,1216.7790798924682
2010-11-24,1217.4425713100868
2010-11-25,1218.1443366596338
2010-11-26,1200.2970864932302
2010-11-29,1167.1855663684448
2010-11-30,1157.9264197734701
2010-12-01,1180.4582695064205
2010-12-02,1201.8579420201518
2010-12-03,1217.5528833920018
2010-12-06,1209.709901885302
2010-12-07,1226.4338877687367
2010-12-08,1224.7193039465674
2010-12-09,1227.499828833348
2010-12-10,1232.73371131926
2010-12-13,1250.146864464446
2010-12-14,1255.0957013692291
2010-12-15,1244.8237630012602
2010-12-16,1237.4671537415645
2010-12-17,1224.4086458862378
2010-12-20,1229.9474781771164
2010-12-21,1243.1127901957555
2010-12-22,1241.907068499058
2010-12-23,1241.956631837975
2010-12-24,1246.09948760006
2010-12-27,1238.7569406360183
2010-12-28,1238.3823003364257
2010-12-29,1242.6928018050535
2010-12-30,1240.3288303669576
2010-12-31,1247.1837354533566
2011-01-03,1249.979820553632
2011-01-04,1261.5434425335386
2011-01-05,1247.9079584696701
2011-01-06,1244.591800673038
2011-01-07,1235.8462786272223
2011-01-10,1222.6756299848591
2011-01-11,1227.8913221466942
2011-01-12,1253.9661540087939
2011-01-13,1278.2818750178476
2011-01-14,1281.9012748206492
2011-01-17,1276.7020292621012
2011-01-18,1297.426705067218
