Date,WORLD IMI HIGH DIVIDEND YIELD
2010-05-26,1000.0
2010-05-27,1025.0971406859649
2010-05-28,1024.1987527982535
2010-05-31,1023.7757604549316
2010-06-01,1018.0029901480474
2010-06-02,1024.4448496659313
2010-06-03,1034.3518623280877
2010-06-04,1008.7422088562306
2010-06-07,997.5579426369106
2010-06-08,998.9894482074592
2010-06-09,1006.7250518783513
2010-06-10,1024.66331825252
2010-06-11,1029.1121982771317
2010-06-14,1040.789546522671
2010-06-15,1052.509313446657
2010-06-16,1055.1182144997497
2010-06-17,1058.1825987327766
2010-06-18,1058.4308954015087
2010-06-21,1061.848409123287
2010-06-22,1049.691881787132
2010-06-23,1041.2457294652008
2010-06-24,1033.4957973742644
2010-06-25,1026.5110433517948
2010-06-28,1034.5545562346865
2010-06-29,1008.5997930955592
2010-06-30,1006.6969037843157
2010-07-01,1002.8802026681442
2010-07-02,1007.7273150161399
2010-07-05,1004.4748686183724
2010-07-06,1022.9920890090432
2010-07-07,1037.694327595377
2010-07-08,1050.9220493706398
2010-07-09,1054.5790031325562
2010-07-12,1055.8259341812504
2010-07-13,1071.6355776201394
2010-07-14,1074.612137022916
2010-07-15,1077.6913511925168
2010-07-16,1062.7505857610925
2010-07-19,1059.8598414069818
2010-07-20,1059.7487505583238
2010-07-21,1057.5919914158412
2010-07-22,1075.4499958741346
2010-07-23,1077.8202458771593
2010-07-26,1089.9597729453812
2010-07-27,1094.3801838627548
2010-07-28,1091.6946068113414
2010-07-29,1093.0059394331045
2010-07-30,1088.5984237282448
2010-08-02,1115.68726823773
2010-08-03,1118.6932497698572
2010-08-04,1119.3902217515
2010-08-05,1118.009560529212
2010-08-06,1119.7692602121092
2010-08-09,1129.4137151892867
2010-08-10,1119.6914057283225
2010-08-11,1092.8129890362327
2010-08-12,1089.8655629344255
2010-08-13,1088.912674215842
2010-08-16,1090.716157715254
2010-08-17,1101.2904735793281
2010-08-18,1099.6177353535272
2010-08-19,1086.9857313714915
2010-08-20,1075.1086477488477
2010-08-23,1079.4378487145912
2010-08-24,1068.2029693555128
2010-08-25,1064.3438183247263
2010-08-26,1069.07582358417
2010-08-27,1080.2924773605503
2010-08-30,1076.3208059667531
2010-08-31,1076.2326588652081
2010-09-01,1103.623913225799
2010-09-02,1106.3158137004516
2010-09-03,1115.6132376314192
2010-09-06,1119.3708892927723
2010-09-07,1109.410507912308
2010-09-08,1117.0568440462948
2010-09-09,1123.976310029614
2010-09-10,1126.0534907904682
2010-09-13,1137.0253805690459
2010-09-14,1140.8835759270958
2010-09-15,1143.8262890548885
2010-09-16,1142.8206101682936
2010-09-17,1139.5274571873308
2010-09-20,1154.1471105829644
2010-09-21,1152.7224088343503
2010-09-22,1155.8783781921404
2010-09-23,1149.7028019005047
2010-09-24,1167.2649403240384
2010-09-27,1164.9626096691372
2010-09-28,1168.734587899248
2010-09-29,1167.5293415502983
2010-09-30,1164.0947108103062
2010-10-01,1170.2100541416173
2010-10-04,1163.5789974869144
2010-10-05,1184.4088064970383
2010-10-06,1190.2612415248946
2010-10-07,1192.237085425214
2010-10-08,1193.4557796863123
2010-10-11,1195.054976877218
2010-10-12,1190.0732869251176
2010-10-13,1205.646722254943
2010-10-14,1211.651998554396
2010-10-15,1209.4457885574284
2010-10-18,1213.51113666065
2010-10-19,1196.5723536101543
2010-10-20,1209.7128085102684
2010-10-21,1211.8626861479972
2010-10-22,1206.3327952358595
2010-10-25,1212.460129874661
2010-10-26,1207.1588490353201
2010-10-27,1194.5618264538768
2010-10-28,1205.081626058173
2010-10-29,1206.5803280867813
2010-11-01,1207.3734649073597
2010-11-02,1218.5112038920788
2010-11-03,1216.9757154940637
2010-11-04,1238.8307135610294
2010-11-05,1234.4899206702405
2010-11-08,1227.1541839537235
2010-11-09,1225.8105040822043
2010-11-10,1213.7561664203915
2010-11-11,1211.4648942679694
2010-11-12,1205.2456910601686
2010-11-15,1205.5110655905166
2010-11-16,1184.0157958279494
2010-11-17,1185.6736071728972
2010-11-18,1203.4525396785245
2010-11-19,1203.5492442469108
2010-11-22,1197.571257340314
2010-11-23,1175.5800890654411
2010-11-24,1182.392475111857
