Date,KOKUSAI IMI HIGH DIVIDEND YIELD
2010-05-26,1000.0
2010-05-27,1026.727010150167
2010-05-28,1025.4309393605429
2010-05-31,1024.7776358187446
2010-06-01,1018.6153344260179
2010-06-02,1025.8309424963513
2010-06-03,1035.9119476956446
2010-06-04,1009.0604468113013
2010-06-07,997.9335820254194
2010-06-08,998.1909817281769
2010-06-09,1007.4504608544265
2010-06-10,1026.0541338902217
2010-06-11,1031.5260742262567
2010-06-14,1043.4671087424445
2010-06-15,1054.7821702626186
2010-06-16,1057.621499719084
2010-06-17,1059.9918259498065
2010-06-18,1060.284137284267
2010-06-21,1063.780768943712
2010-06-22,1051.2026983648927
2010-06-23,1041.8604333100652
2010-06-24,1033.6007759450458
2010-06-25,1026.806587815329
2010-06-28,1035.2588681539335
2010-06-29,1007.3330444884297
2010-06-30,1005.813516102413
2010-07-01,1001.6756851375937
2010-07-02,1006.7852872047904
2010-07-05,1003.1876251542935
2010-07-06,1022.8811960185318
2010-07-07,1037.497447471632
2010-07-08,1051.2946647722663
2010-07-09,1055.4471795442994
2010-07-12,1057.1963253826186
2010-07-13,1073.6324635629867
2010-07-14,1076.584598978138
2010-07-15,1080.1201652295754
2010-07-16,1064.8009943415657
2010-07-19,1061.876888156824
2010-07-20,1061.6296494309204
2010-07-21,1059.6955422216138
2010-07-22,1078.8352751694724
2010-07-23,1080.8803084709145
2010-07-26,1093.296927296272
2010-07-27,1098.0595501342575
2010-07-28,1094.6381762551064
2010-07-29,1097.023875242568
2010-07-30,1092.6931416723896
2010-08-02,1121.4007005176654
2010-08-03,1125.5792733617327
2010-08-04,1127.1283641627017
2010-08-05,1124.8636096829803
2010-08-06,1126.1636208195625
2010-08-09,1136.6054717750767
2010-08-10,1126.02106039576
2010-08-11,1097.8433908192214
2010-08-12,1095.782018585967
2010-08-13,1094.7796308743339
2010-08-16,1096.2258849899815
2010-08-17,1107.2718714914647
2010-08-18,1104.5454243780598
2010-08-19,1091.0670871438285
2010-08-20,1079.2160269428884
2010-08-23,1083.653398635396
2010-08-24,1071.3012582544645
2010-08-25,1067.8090494247303
2010-08-26,1072.8059470684861
2010-08-27,1084.6223108378529
2010-08-30,1080.058519833712
2010-08-31,1080.3573767798403
2010-09-01,1109.7962651743733
2010-09-02,1112.0545526538149
2010-09-03,1121.9234829889062
2010-09-06,1125.501750371094
2010-09-07,1114.7977571390843
2010-09-08,1123.4293658390745
2010-09-09,1130.6966501886548
2010-09-10,1132.8078075696535
2010-09-13,1144.3698857040542
2010-09-14,1148.191684814223
2010-09-15,1151.874355285222
2010-09-16,1151.0518611613613
2010-09-17,1147.4439895272649
2010-09-20,1162.8302444886583
2010-09-21,1160.9793554347186
2010-09-22,1163.8355143572924
2010-09-23,1157.5369927386816
2010-09-24,1176.1065005373403
2010-09-27,1173.7551173964994
2010-09-28,1178.0302259280263
2010-09-29,1176.932461849857
2010-09-30,1174.560027621967
2010-10-01,1180.9055327275773
2010-10-04,1174.1329746519941
2010-10-05,1195.3287237450309
2010-10-06,1201.2121704568915
2010-10-07,1203.1899951626485
2010-10-08,1203.8650198406576
2010-10-11,1205.4989699540856
2010-10-12,1200.7785402126356
2010-10-13,1217.27545672903
2010-10-14,1223.0829252649335
2010-10-15,1220.965620048411
2010-10-18,1224.6988129501842
2010-10-19,1206.7836182779884
2010-10-20,1220.4884049453783
2010-10-21,1222.8034358000746
2010-10-22,1216.881962010721
2010-10-25,1223.0984244198037
2010-10-26,1218.1945952408614
2010-10-27,1204.9444187728486
2010-10-28,1216.056876712565
2010-10-29,1217.2395716003136
2010-11-01,1218.1635341112492
2010-11-02,1230.4745786714232
2010-11-03,1229.1502044932238
2010-11-04,1251.724709797282
2010-11-05,1246.7105488774214
2010-11-08,1238.6443328467944
2010-11-09,1237.1752627401568
2010-11-10,1224.6226455712076
2010-11-11,1222.3284154901396
2010-11-12,1215.7898665940534
2010-11-15,1216.3358831068324
2010-11-16,1193.9707230777735
2010-11-17,1195.717052747533
2010-11-18,1214.1377039750964
2010-11-19,1214.0700325754067
2010-11-22,1207.8955055725155
2010-11-23,1184.593366567712
2010-11-24,1192.443163567208
2010-11-25,1193.7794496628326
2010-11-26,1181.54735313473
2010-11-29,1163.9708191511504
2010-11-30,1157.6783275599169
2010-12-01,1177.8992764439984
2010-12-02,1191.7234614498818
2010-12-03,1197.648844691458
2010-12-06,1193.1442563909316
2010-12-07,1203.0943938895919
2010-12-08,1199.975701348171
2010-12-09,1201.6700585114684
2010-12-10,1206.5227706359392
2010-12-13,1217.0522843641852
2010-12-14,1222.2279602976935
2010-12-15,1217.324293711114
2010-12-16,1217.532582125347
2010-12-17,1212.8633217091985
2010-12-20,1213.6667003480925
2010-12-21,1220.7581470261362
2010-12-22,1222.230678925432
2010-12-23,1223.6398676486997
2010-12-24,1225.8454615224794
2010-12-27,1221.483371494594
2010-12-28,1224.1210622644958
2010-12-29,1226.9112805848952
2010-12-30,1224.5713030823529
2010-12-31,1228.4313441968595
2011-01-03,1232.0343859775635
2011-01-04,1235.0753335390634
2011-01-05,1228.8433192414495
2011-01-06,1224.8482410626746
2011-01-07,1221.554995614266
2011-01-10,1213.5065777015293
2011-01-11,1216.7361741631516
2011-01-12,1230.5656870765986
2011-01-13,1237.3890727164658
2011-01-14,1239.9774356071434
2011-01-17,1239.2782472872925
2011-01-18,1248.5989699394115
2011-01-19,1245.7343457947404
2011-01-20,1235.6441356790945
2011-01-21,1248.0519482608074
