Date,EAFE IMI HIGH DIVIDEND YIELD
2010-05-26,1000.0
2010-05-27,1028.562853128293
2010-05-28,1033.7165750624554
2010-05-31,1032.1067052735925
2010-06-01,1031.2595666697098
2010-06-02,1027.2163379863553
2010-06-03,1043.7069024247673
2010-06-04,1019.3605073263045
2010-06-07,1002.0526312393688
2010-06-08,992.2924085005586
2010-06-09,1009.1788023169196
2010-06-10,1022.9583312045659
2010-06-11,1032.4335627669054
2010-06-14,1052.1530117196696
2010-06-15,1059.572871434523
2010-06-16,1062.3696894750783
2010-06-17,1065.7081265083916
2010-06-18,1066.0925737084503
2010-06-21,1073.5185536053257
2010-06-22,1060.532141555865
2010-06-23,1048.3616320607541
2010-06-24,1042.3957616337545
2010-06-25,1033.2454370067421
2010-06-28,1045.7202369626634
2010-06-29,1012.514859147306
2010-06-30,1017.9827256697268
2010-07-01,1013.0576456708749
2010-07-02,1023.2151964252198
2010-07-05,1016.7574303697862
2010-07-06,1045.5272634874061
2010-07-07,1055.148056036363
2010-07-08,1069.48855844495
2010-07-09,1070.6397498856463
2010-07-12,1073.2859930568236
2010-07-13,1095.4366060080686
2010-07-14,1102.7496727103164
2010-07-15,1107.4678442676031
2010-07-16,1094.9360964334828
2010-07-19,1086.6054388787127
2010-07-20,1081.252862651691
2010-07-21,1083.4667806856846
2010-07-22,1104.5782900011525
2010-07-23,1103.672121224344
2010-07-26,1115.9672363098878
2010-07-27,1118.7019172018797
2010-07-28,1118.8775214954132
2010-07-29,1126.6869542316642
2010-07-30,1119.2085926060943
2010-08-02,1154.6004692716397
2010-08-03,1159.675565341613
2010-08-04,1157.4275611889543
2010-08-05,1157.0598124335686
2010-08-06,1160.034043006886
2010-08-09,1172.4178373676873
2010-08-10,1153.5867034990492
2010-08-11,1122.8881783833333
2010-08-12,1119.7428023475143
2010-08-13,1119.3678815199219
2010-08-16,1122.8860387896937
2010-08-17,1131.1945589619756
2010-08-18,1128.2070017048748
2010-08-19,1115.7572870864778
2010-08-20,1097.3870859145761
2010-08-23,1103.290688447528
2010-08-24,1090.5284091578062
2010-08-25,1081.004886540963
2010-08-26,1095.5003286939905
2010-08-27,1103.919627552843
2010-08-30,1105.0922389240866
2010-08-31,1103.723874116613
2010-09-01,1135.3532884938004
2010-09-02,1136.9967938439202
2010-09-03,1148.0676858722459
2010-09-06,1153.6812016388674
2010-09-07,1141.4956228235499
2010-09-08,1153.8878853665008
2010-09-09,1160.339305475386
2010-09-10,1158.712206864225
2010-09-13,1174.5782560443556
2010-09-14,1181.0435548657176
2010-09-15,1183.0839765763146
2010-09-16,1182.01756008593
2010-09-17,1173.613697463553
2010-09-20,1189.893443896226
2010-09-21,1188.6110946846939
2010-09-22,1195.0678455355558
2010-09-23,1190.7200489814068
2010-09-24,1208.7483766512146
2010-09-27,1207.0993595275465
2010-09-28,1209.7811693780652
2010-09-29,1209.8288240830004
2010-09-30,1207.9196636791942
2010-10-01,1216.0801529908356
2010-10-04,1206.2678295133567
2010-10-05,1230.2246392131692
2010-10-06,1238.5675191277483
2010-10-07,1247.5461005126122
2010-10-08,1246.7747385483522
2010-10-11,1249.3107989749633
2010-10-12,1238.319893559248
2010-10-13,1263.2098329047894
2010-10-14,1273.416350592788
2010-10-15,1269.4640841568078
2010-10-18,1272.0058611407094
2010-10-19,1251.1214510424586
2010-10-20,1266.2577917761432
2010-10-21,1269.1334282063162
2010-10-22,1260.006814781442
2010-10-25,1267.3608734176687
2010-10-26,1260.8583434437119
2010-10-27,1243.9469469976302
2010-10-28,1263.490118412463
2010-10-29,1267.2027078461847
2010-11-01,1269.4901057094478
2010-11-02,1286.4422819359634
2010-11-03,1281.0865403141922
2010-11-04,1309.2653053772294
2010-11-05,1301.6901747070817
2010-11-08,1290.1084401390178
2010-11-09,1293.6116554838009
2010-11-10,1270.5373062567774
2010-11-11,1265.6850572572193
2010-11-12,1262.2763532583112
2010-11-15,1260.0145948721367
2010-11-16,1234.131882621476
2010-11-17,1237.8397922135011
2010-11-18,1256.1622639663567
2010-11-19,1255.6312416966662
2010-11-22,1245.0194404672804
2010-11-23,1213.318568821186
2010-11-24,1214.6214734811322
2010-11-25,1215.0611236460024
2010-11-26,1199.5645651036136
2010-11-29,1171.6798383425153
2010-11-30,1163.7799215964444
2010-12-01,1183.029342884201
2010-12-02,1202.3050331569252
2010-12-03,1216.6563533373296
2010-12-06,1210.8976172373414
2010-12-07,1225.3046939366093
2010-12-08,1220.969416800731
2010-12-09,1224.3439476437911
2010-12-10,1228.506663443975
2010-12-13,1244.5278826137312
2010-12-14,1250.0121594587674
2010-12-15,1242.9174321442624
2010-12-16,1236.9402789879498
2010-12-17,1228.6919804891993
2010-12-20,1232.7344858767078
2010-12-21,1244.5113895828613
2010-12-22,1244.279304164535
2010-12-23,1245.114599592665
2010-12-24,1248.5301625602021
2010-12-27,1242.9335353026565
2010-12-28,1244.7524998911713
2010-12-29,1249.3661234316503
2010-12-30,1247.1504657375585
2010-12-31,1253.8770528924033
2011-01-03,1255.3268275772928
2011-01-04,1262.6066560216746
2011-01-05,1249.1273041400202
2011-01-06,1246.2360568098456
2011-01-07,1239.5118699761522
2011-01-10,1228.765238624807
2011-01-11,1232.6621835827889
2011-01-12,1253.931089871726
2011-01-13,1274.9352124681068
2011-01-14,1277.2473188413019
2011-01-17,1274.9089718535752
2011-01-18,1292.5387654732695
2011-01-19,1291.3595021971632
2011-01-20,1274.7143999078814
2011-01-21,1296.523207326373
2011-01-24,1311.774115094278
2011-01-25,1301.794648655079
2011-01-26,1309.3299789512646
2011-01-27,1311.6135222483017
2011-01-28,1294.1658689612268
2011-01-31,1299.4977891812462
2011-02-01,1326.1555144601118
2011-02-02,1331.1856475049424
2011-02-03,1319.100748410472
2011-02-04,1316.70038819345
2011-02-07,1325.6497591661798
2011-02-08,1333.4168978082234
2011-02-09,1331.2896158596614
2011-02-10,1320.4429025057868
2011-02-11,1313.8786649374617
2011-02-14,1307.3435523662379
2011-02-15,1313.3864397604927
2011-02-16,1319.1649795880458
2011-02-17,1329.0587530009318
2011-02-18,1339.2154279679069
2011-02-21,1329.9189531824163
2011-02-22,1319.002226175756
2011-02-23,1316.2763834558984
2011-02-24,1310.7656103356217
2011-02-25,1318.8359806874346
