Date,UNITED KINGDOM IMI VALUE WEIGHTED
1998-12-31,1000.0
1999-01-01,999.9980368728486
1999-01-04,986.9360766865716
1999-01-05,992.5593996406004
1999-01-06,1026.7240239243338
1999-01-07,1021.2107684734148
1999-01-08,1032.2024198342087
1999-01-11,1026.727415458602
1999-01-12,1014.7491515206268
1999-01-13,986.9242533932976
1999-01-14,985.4041749513814
1999-01-15,1004.1397156754531
1999-01-18,1021.9040237627528
1999-01-19,1012.7669651183485
1999-01-20,1019.9675848784559
1999-01-21,1010.6731020152516
1999-01-22,991.6760848120902
1999-01-25,996.5171020520349
1999-01-26,997.1761758222293
1999-01-27,1000.5855695370544
1999-01-28,1007.5137263576659
1999-01-29,1018.158010345349
1999-02-01,1041.243423238534
1999-02-02,1049.9190264341403
1999-02-03,1039.401895422697
1999-02-04,1045.6923145402577
1999-02-05,1038.190508802545
1999-02-08,1037.0319542959448
1999-02-09,1026.6056917089209
1999-02-10,1018.2281363537775
1999-02-11,1031.8574338539102
1999-02-12,1046.6233269950703
1999-02-15,1057.5566799219916
1999-02-16,1078.5280956805555
1999-02-17,1069.5560787912354
1999-02-18,1066.4109086025474
1999-02-19,1070.7104248856194
1999-02-22,1076.726927162062
1999-02-23,1085.2827426463773
1999-02-24,1101.0626173398546
1999-02-25,1084.4870938736274
1999-02-26,1090.6716207497752
1999-03-01,1086.5878242462509
1999-03-02,1094.011480574934
1999-03-03,1096.9572727365014
1999-03-04,1108.3972365979257
1999-03-05,1124.1882562880605
1999-03-08,1120.752782938415
1999-03-09,1128.4873155356365
1999-03-10,1134.048796742407
1999-03-11,1165.3874573577896
1999-03-12,1157.7249947493622
1999-03-15,1137.9121476121895
1999-03-16,1143.403626290911
1999-03-17,1127.5566209974315
1999-03-18,1127.0130322621314
1999-03-19,1141.7490670079153
1999-03-22,1141.596874323949
1999-03-23,1132.2894623495645
1999-03-24,1130.9490523018976
1999-03-25,1140.689683560226
1999-03-26,1153.9845890575536
1999-03-29,1169.0798061123562
1999-03-30,1159.8768621130325
1999-03-31,1159.1496879596239
1999-04-01,1151.931360652555
1999-04-02,1153.702286417288
1999-04-05,1158.796824196382
1999-04-06,1156.7282504496388
1999-04-07,1170.4865636042537
1999-04-08,1176.443708884907
1999-04-09,1190.7447906956088
1999-04-12,1184.9864978953385
1999-04-13,1205.083930414573
1999-04-14,1206.6665675505485
1999-04-15,1220.6423669784704
1999-04-16,1230.6581607133169
1999-04-19,1259.4629662682491
1999-04-20,1226.0147525499224
1999-04-21,1220.4436976984937
1999-04-22,1239.5450409750301
1999-04-23,1240.8990113748619
1999-04-26,1253.264691326168
1999-04-27,1263.3544845323536
1999-04-28,1268.5787360002003
1999-04-29,1260.2152495222153
1999-04-30,1271.3203499236797
1999-05-03,1272.7195460126463
1999-05-04,1276.3584036501918
1999-05-05,1253.473777160117
1999-05-06,1251.310280431863
1999-05-07,1238.650745542615
1999-05-10,1230.726159974521
1999-05-11,1235.8833676354711
1999-05-12,1233.0982613625338
1999-05-13,1253.4562082261127
1999-05-14,1219.8579607010004
1999-05-17,1201.6537717291283
1999-05-18,1208.013896533859
1999-05-19,1216.7188620147201
1999-05-20,1225.638723018554
1999-05-21,1224.0327005379902
1999-05-24,1217.547115485403
1999-05-25,1203.6797366414723
1999-05-26,1214.7109342335527
1999-05-27,1212.119170024756
1999-05-28,1219.2686200868513
1999-05-31,1223.1936891808245
1999-06-01,1229.2556226085496
1999-06-02,1252.781223960085
1999-06-03,1257.8865041432264
1999-06-04,1270.5271594800424
1999-06-07,1275.9593846592923
1999-06-08,1261.1192730728271
1999-06-09,1261.1725614237967
1999-06-10,1250.7878051399564
1999-06-11,1269.2499310752298
1999-06-14,1269.921700867966
1999-06-15,1262.9520056139877
1999-06-16,1284.6991806888186
1999-06-17,1286.3790125706896
1999-06-18,1284.5745415186202
1999-06-21,1299.0751375613563
1999-06-22,1295.0524503653946
1999-06-23,1277.5718837246034
1999-06-24,1264.9648462517423
1999-06-25,1255.4334164172487
1999-06-28,1258.3215544955262
1999-06-29,1246.6042005162842
1999-06-30,1247.64450560414
1999-07-01,1280.4089762197125
1999-07-02,1286.1979344404617
1999-07-05,1298.7953669742033
1999-07-06,1297.4271343040593
1999-07-07,1291.8666606769057
1999-07-08,1292.3741403620993
1999-07-09,1288.9847297376227
1999-07-12,1294.3532278876194
1999-07-13,1272.2190461278547
1999-07-14,1278.0654945397382
1999-07-15,1293.1357104669382
1999-07-16,1291.998751124926
1999-07-19,1281.6170188457277
1999-07-20,1247.6315882557763
1999-07-21,1229.2722246243914
1999-07-22,1232.0127725451634
1999-07-23,1217.0271343699276
1999-07-26,1201.603734860141
1999-07-27,1214.4829678316235
1999-07-28,1218.7127747947832
1999-07-29,1202.955270143275
1999-07-30,1226.1058585218739
1999-08-02,1234.6811970168196
1999-08-03,1232.638594562006
1999-08-04,1228.279331300512
1999-08-05,1203.308559914223
1999-08-06,1207.6902531274193
1999-08-09,1209.7144807583331
1999-08-10,1190.4738161407022
1999-08-11,1201.554373419066
1999-08-12,1222.1037606572258
1999-08-13,1240.2386093975526
1999-08-16,1239.5828509856703
1999-08-17,1234.6201615143684
1999-08-18,1240.8301158928912
1999-08-19,1227.9178694370294
1999-08-20,1234.9273223048674
1999-08-23,1258.977630361264
1999-08-24,1253.5230101641328
1999-08-25,1262.1553784201374
1999-08-26,1266.4516011332319
1999-08-27,1264.4492826695016
1999-08-30,1265.0175745718645
1999-08-31,1247.8219271722526
1999-09-01,1247.3632480137858
1999-09-02,1229.7418208858053
1999-09-03,1257.6363708634178
1999-09-06,1266.301901260894
1999-09-07,1257.8434827439314
1999-09-08,1258.979974631217
1999-09-09,1272.127770299437
1999-09-10,1265.2211077304419
1999-09-13,1256.7103296542232
1999-09-14,1237.4738889917433
1999-09-15,1233.2941019501834
1999-09-16,1231.354815711707
1999-09-17,1234.154619090408
1999-09-20,1231.9526828206813
1999-09-21,1211.214166700079
1999-09-22,1200.7248233582511
1999-09-23,1215.0066600759724
1999-09-24,1207.9229483266588
1999-09-27,1236.7400973999638
1999-09-28,1221.0561580081517
1999-09-29,1203.0729194867097
1999-09-30,1202.6592174418765
1999-10-01,1196.1464336494712
1999-10-04,1208.1786703046184
1999-10-05,1214.166353692504
1999-10-06,1212.870396315509
1999-10-07,1219.0284277515323
1999-10-08,1227.3451440163153
