Date,ITALY IMI VALUE WEIGHTED
1998-12-31,1000.0000000000001
1999-01-01,1000.0036946403832
1999-01-04,1052.588954388437
1999-01-05,1058.77869242504
1999-01-06,1058.7905823999179
1999-01-07,1060.1633962577805
1999-01-08,1056.611048795747
1999-01-11,1035.5457940746903
1999-01-12,1018.3496955315503
1999-01-13,968.6718785832192
1999-01-14,974.9294098415522
1999-01-15,994.9008454001581
1999-01-18,1014.3222685358935
1999-01-19,1000.1384849928547
1999-01-20,1002.77652350847
1999-01-21,980.712797774796
1999-01-22,957.5667699636643
1999-01-25,956.9759972420774
1999-01-26,963.1126615978884
1999-01-27,974.5715889737809
1999-01-28,980.9874401008432
1999-01-29,984.6610621164111
1999-02-01,1002.4371330670715
1999-02-02,990.9249998989649
1999-02-03,986.2728994570545
1999-02-04,993.0903345839597
1999-02-05,994.2499296631263
1999-02-08,980.064601054519
1999-02-09,952.766553723304
1999-02-10,957.1131166024974
1999-02-11,976.6557867753789
1999-02-12,974.9404728079295
1999-02-15,987.3892880572776
1999-02-16,982.1101025114561
1999-02-17,975.5433272098735
1999-02-18,979.3598526313468
1999-02-19,990.7620542236823
1999-02-22,1017.5287358947022
1999-02-23,1016.5131993130839
1999-02-24,1023.063680205167
1999-02-25,1009.4722507002042
1999-02-26,1011.8219898764972
1999-03-01,1000.8727895111394
1999-03-02,1001.846876898257
1999-03-03,992.9334150737624
1999-03-04,1010.017513404656
1999-03-05,1033.5920985920225
1999-03-08,1024.1693949267387
1999-03-09,1037.501284183567
1999-03-10,1051.7585545586408
1999-03-11,1053.7273074392
1999-03-12,1040.5624981187832
1999-03-15,1056.9960507808541
1999-03-16,1054.967580060711
1999-03-17,1053.713400380195
1999-03-18,1064.0902263897533
1999-03-19,1067.839922480068
1999-03-22,1064.4458199999415
1999-03-23,1049.639144386479
1999-03-24,1036.6490806381737
1999-03-25,1057.0412209174488
1999-03-26,1046.9551503366054
1999-03-29,1064.6636919706896
1999-03-30,1064.6230902893014
1999-03-31,1078.8833847831474
1999-04-01,1070.8639408200556
1999-04-02,1070.8678385965757
1999-04-05,1070.8533279949188
1999-04-06,1080.1130958967199
1999-04-07,1080.815046187071
1999-04-08,1083.4939531717268
1999-04-09,1073.9065486841523
1999-04-12,1074.6049027194429
1999-04-13,1079.3004453709939
1999-04-14,1074.1680239811121
1999-04-15,1070.9371998582558
1999-04-16,1069.9128929433239
1999-04-19,1081.2087290779505
1999-04-20,1072.4359340475999
1999-04-21,1077.8305847979211
1999-04-22,1076.5221707012854
1999-04-23,1077.3304408719177
1999-04-26,1067.503063390674
1999-04-27,1083.0342971022956
1999-04-28,1077.3655115123572
1999-04-29,1075.4669847362247
1999-04-30,1086.351760173814
1999-05-03,1088.0374195518139
1999-05-04,1089.2990695440135
1999-05-05,1082.5021258702561
1999-05-06,1083.0699778607157
1999-05-07,1079.2890792374303
1999-05-10,1072.614609819403
1999-05-11,1063.3528629972377
1999-05-12,1047.9885777019686
1999-05-13,1054.8734498520857
1999-05-14,1036.743267687951
1999-05-17,1017.1505408185565
1999-05-18,1029.7292625023106
1999-05-19,1049.5404245452917
1999-05-20,1050.3824305164642
1999-05-21,1055.6757056405124
1999-05-24,1052.566654532523
1999-05-25,1052.5864266017438
1999-05-26,1055.4315094121073
1999-05-27,1044.6559583309654
1999-05-28,1044.8234311616627
1999-05-31,1055.2488943881665
1999-06-01,1047.7568181012684
1999-06-02,1043.860210043468
1999-06-03,1057.4225692340217
1999-06-04,1055.4485539315835
1999-06-07,1058.0694159856896
1999-06-08,1068.0946834014067
1999-06-09,1065.8443157769616
1999-06-10,1057.7910621286578
1999-06-11,1058.2793548298673
1999-06-14,1046.7800562579434
1999-06-15,1047.8125204426535
1999-06-16,1056.9129226707248
1999-06-17,1057.8863381826272
1999-06-18,1060.4424953486375
1999-06-21,1065.855430303356
1999-06-22,1058.8609781145585
1999-06-23,1062.0587613377534
1999-06-24,1058.3092828177555
1999-06-25,1050.6182133795005
1999-06-28,1049.1024496560824
1999-06-29,1050.8317463221606
1999-06-30,1049.6473628543454
1999-07-01,1060.0826594513771
1999-07-02,1059.2099144382946
1999-07-05,1080.8865306507037
