Date,USA IMI VALUE WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,994.4225931236654
1999-01-05,1005.7494903936449
1999-01-06,1032.5233031443638
1999-01-07,1035.9582724652116
1999-01-08,1054.44801244652
1999-01-11,1049.8763579587642
1999-01-12,1031.9822322888335
1999-01-13,1010.0391468332762
1999-01-14,992.9735354534757
1999-01-15,1022.7728193022793
1999-01-18,1022.1554691483503
1999-01-19,1026.064806757575
1999-01-20,1029.563198730885
1999-01-21,1014.7739237196969
1999-01-22,1008.4041593922813
1999-01-25,1014.6637962437567
1999-01-26,1020.1614535742123
1999-01-27,1015.2862382030438
1999-01-28,1033.7488936445625
1999-01-29,1047.4601128889758
1999-02-01,1048.644675165784
1999-02-02,1035.5422831070828
1999-02-03,1045.8904519724795
1999-02-04,1036.207292367552
1999-02-05,1030.7387960892581
1999-02-08,1035.8532409885233
1999-02-09,1014.1264985923448
1999-02-10,1012.5638726457083
1999-02-11,1031.4651957589042
1999-02-12,1016.3624510185128
1999-02-15,1020.1162036743459
1999-02-16,1030.936405366672
1999-02-17,1015.567085765539
1999-02-18,1026.2890138366236
1999-02-19,1038.9359280017113
1999-02-22,1067.0140121737577
1999-02-23,1069.3843858263945
1999-02-24,1060.667978399715
1999-02-25,1044.6235590756803
1999-02-26,1047.5492612310006
1999-03-01,1052.0823930387805
1999-03-02,1049.4102921848169
1999-03-03,1049.7133897561212
1999-03-04,1071.9325157913147
1999-03-05,1090.0519287960399
1999-03-08,1088.6364237056198
1999-03-09,1084.4840311028756
1999-03-10,1085.1999228914788
1999-03-11,1104.9716323581906
1999-03-12,1092.1883822963005
1999-03-15,1098.5677531885806
1999-03-16,1099.0316541218783
1999-03-17,1086.105927274911
1999-03-18,1100.6941933086175
1999-03-19,1093.7789743553499
1999-03-22,1092.9269120904717
1999-03-23,1067.912457954495
1999-03-24,1069.4646268626036
1999-03-25,1089.8250251215854
1999-03-26,1100.2384288610017
1999-03-29,1118.668109359781
1999-03-30,1104.71825404683
1999-03-31,1093.514871583835
1999-04-01,1094.370499116631
1999-04-02,1096.805251559625
1999-04-05,1119.1604875945827
1999-04-06,1110.600856642377
1999-04-07,1112.514452603603
1999-04-08,1120.992423588547
1999-04-09,1131.7574799577815
1999-04-12,1135.2652386986413
1999-04-13,1140.9580401809092
1999-04-14,1135.5705837731387
1999-04-15,1148.4797433476365
1999-04-16,1157.9180391127873
1999-04-19,1161.9968784668185
1999-04-20,1162.436327780966
1999-04-21,1186.779018618314
1999-04-22,1196.621550851356
1999-04-23,1191.196963489492
1999-04-26,1194.0398004826723
1999-04-27,1196.4111358083082
1999-04-28,1199.890510288401
1999-04-29,1206.0915841633566
1999-04-30,1198.4663269759978
1999-05-03,1221.878822342211
1999-05-04,1203.632233299735
1999-05-05,1204.2648631879126
1999-05-06,1184.4135488679324
1999-05-07,1194.6135000857907
1999-05-10,1192.8616956453527
1999-05-11,1210.9675598435936
1999-05-12,1221.2506134738192
1999-05-13,1232.9795525796171
1999-05-14,1200.6778125670419
1999-05-17,1199.0153598845825
1999-05-18,1194.9640822745607
1999-05-19,1204.6614201068378
1999-05-20,1208.8573376478512
1999-05-21,1216.0572659661088
1999-05-24,1195.079653213228
1999-05-25,1175.419606475907
1999-05-26,1202.9542043816589
1999-05-27,1185.8007203709183
1999-05-28,1200.6588868515935
1999-05-31,1203.8825958060784
1999-06-01,1196.2061091499156
1999-06-02,1207.4916496347093
1999-06-03,1212.010813873849
1999-06-04,1232.7282594355588
1999-06-07,1242.6864405782394
1999-06-08,1215.5982518284156
1999-06-09,1212.2111709387366
1999-06-10,1195.9477594000512
1999-06-11,1189.641238817069
1999-06-14,1197.7683289564281
1999-06-15,1204.6922317263866
1999-06-16,1234.2017461152109
1999-06-17,1239.0297127609078
1999-06-18,1232.5621978831869
1999-06-21,1242.7200482541605
1999-06-22,1235.7811238213153
1999-06-23,1229.7803785615888
1999-06-24,1211.7885710994958
1999-06-25,1198.3804390778764
1999-06-28,1221.1157965815785
1999-06-29,1239.9725409734817
1999-06-30,1258.2149907766666
1999-07-01,1272.6549338009738
1999-07-02,1282.2740290198888
1999-07-05,1280.8953071275844
1999-07-06,1278.5984462744664
1999-07-07,1282.1821993896135
1999-07-08,1284.9135561624987
1999-07-09,1289.4326202807658
1999-07-12,1294.928892415134
1999-07-13,1283.3435485221855
1999-07-14,1282.6608230166682
1999-07-15,1286.6285369354564
1999-07-16,1294.878278545848
1999-07-19,1293.6867141395408
1999-07-20,1244.809642342851
1999-07-21,1235.1638009131962
1999-07-22,1227.4418767219722
1999-07-23,1225.159123910841
1999-07-26,1197.1008054953422
1999-07-27,1210.9163546624955
1999-07-28,1211.2538189076683
1999-07-29,1182.1345127333555
1999-07-30,1174.7485048558542
1999-08-02,1179.2647014448312
1999-08-03,1172.6695707717206
