Date,NORWAY IMI VALUE WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1055.5172651941207
1999-01-05,1082.6210923753022
1999-01-06,1114.094080652786
1999-01-07,1110.6928897062687
1999-01-08,1149.5683146299266
1999-01-11,1150.8118863633165
1999-01-12,1128.0022479305478
1999-01-13,1054.9437658498523
1999-01-14,1068.262935111778
1999-01-15,1070.5578943842286
1999-01-18,1090.3917011576762
1999-01-19,1094.6869047122716
1999-01-20,1082.151074705195
1999-01-21,1077.0435631048185
1999-01-22,1066.421596676488
1999-01-25,1067.584326801318
1999-01-26,1066.9763950694924
1999-01-27,1083.3551555615595
1999-01-28,1114.261469610395
1999-01-29,1135.8838393201142
1999-02-01,1151.1637122657098
1999-02-02,1137.9305744249248
1999-02-03,1144.1664826280291
1999-02-04,1141.7627643687056
1999-02-05,1145.5743101053702
1999-02-08,1152.0264114092477
1999-02-09,1126.1539106544599
1999-02-10,1121.320121633456
1999-02-11,1122.5352790390373
1999-02-12,1133.3393811370129
1999-02-15,1124.3190525506848
1999-02-16,1120.366402551611
1999-02-17,1085.4704756971885
1999-02-18,1080.027446774126
1999-02-19,1082.8153555037363
1999-02-22,1077.1068250968808
1999-02-23,1087.2453638705265
1999-02-24,1088.5864435443968
1999-02-25,1079.8034793024838
1999-02-26,1081.0609709727098
1999-03-01,1088.4302563946137
1999-03-02,1092.3835156179368
1999-03-03,1109.7991806908447
1999-03-04,1121.1467709358692
1999-03-05,1142.7040829817506
1999-03-08,1135.9728625837251
1999-03-09,1130.2477796064522
1999-03-10,1136.1924510037936
1999-03-11,1157.1114335405518
1999-03-12,1178.4242082277124
1999-03-15,1165.0524078424994
1999-03-16,1161.7454292241268
1999-03-17,1162.382807291741
1999-03-18,1179.969177682111
1999-03-19,1188.6206478064069
1999-03-22,1178.731256668429
1999-03-23,1177.5477428931965
1999-03-24,1166.265466847223
1999-03-25,1177.9842977371397
1999-03-26,1181.6659260021522
1999-03-29,1203.064728975859
1999-03-30,1200.5869961372073
1999-03-31,1197.7152693077574
1999-04-01,1197.8968102950528
1999-04-02,1198.000233688131
1999-04-05,1197.8545875857699
1999-04-06,1199.830260140673
1999-04-07,1191.8762036549167
1999-04-08,1175.6888248524313
1999-04-09,1185.5648223183744
1999-04-12,1191.019818921257
1999-04-13,1191.2789005470972
1999-04-14,1198.4639573387979
1999-04-15,1227.5186346773191
1999-04-16,1243.4724628255017
1999-04-19,1287.0119170017192
1999-04-20,1284.0475154577143
1999-04-21,1282.7941504533044
1999-04-22,1308.1281155030335
1999-04-23,1303.7831987784277
1999-04-26,1299.2962076417589
1999-04-27,1304.0043862353596
1999-04-28,1297.732487114681
1999-04-29,1315.579004986207
1999-04-30,1320.086685585489
1999-05-03,1333.6418645637564
1999-05-04,1357.7152544904866
1999-05-05,1345.292090269714
1999-05-06,1333.9422028773902
1999-05-07,1317.7999547129195
1999-05-10,1347.3618193951743
1999-05-11,1347.7557790723988
1999-05-12,1321.324055562039
1999-05-13,1321.672708318112
1999-05-14,1314.8208188617139
1999-05-17,1316.336358670814
1999-05-18,1310.2375191205274
1999-05-19,1302.3392633170033
1999-05-20,1313.5130447243448
1999-05-21,1328.1615933990563
1999-05-24,1323.6698080296583
1999-05-25,1308.6392322109152
1999-05-26,1308.6459701330434
1999-05-27,1296.829420403482
1999-05-28,1293.388280290038
1999-05-31,1304.7697294782006
1999-06-01,1316.129193700396
1999-06-02,1320.059405303518
1999-06-03,1313.1337385349386
1999-06-04,1313.7005489811527
1999-06-07,1318.3181102259741
1999-06-08,1323.0617553015709
1999-06-09,1322.0854778692312
1999-06-10,1332.209596239226
1999-06-11,1332.3775613458195
1999-06-14,1332.556920758629
1999-06-15,1331.8051405280137
1999-06-16,1333.9243866434285
1999-06-17,1331.9049128740216
1999-06-18,1331.4067317896504
1999-06-21,1338.4166009394407
1999-06-22,1332.2351149896444
1999-06-23,1320.2458584573899
1999-06-24,1312.901752638693
1999-06-25,1287.6829007384047
1999-06-28,1299.3798814916177
1999-06-29,1314.3059374577913
1999-06-30,1315.3440835955132
1999-07-01,1337.588970133958
1999-07-02,1340.5172511230924
1999-07-05,1359.8109128828319
1999-07-06,1353.905055253125
1999-07-07,1349.8444040154475
1999-07-08,1352.9168098319767
1999-07-09,1357.7087076407504
1999-07-12,1366.3277687252798
1999-07-13,1353.087423378037
1999-07-14,1376.2542654726105
1999-07-15,1391.1265734017177
1999-07-16,1400.3456717192332
1999-07-19,1402.5001902272793
1999-07-20,1371.0307490463135
1999-07-21,1342.0605938519031
1999-07-22,1338.9614048119267
1999-07-23,1337.3832877517589
1999-07-26,1315.4677008412323
1999-07-27,1321.3409881925077
1999-07-28,1322.027605421034
1999-07-29,1307.6764031797575
1999-07-30,1321.5983032057873
1999-08-02,1318.1730519443395
