Date,CANADA IMI VALUE WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1012.7585281759716
1999-01-05,1029.6544222627106
1999-01-06,1066.290934827111
1999-01-07,1069.430901646533
1999-01-08,1089.7136781885204
1999-01-11,1092.2681508115
1999-01-12,1070.009935942914
1999-01-13,1029.5265879938574
1999-01-14,1024.0682643295884
1999-01-15,1056.1484520638808
1999-01-18,1062.0343072865012
1999-01-19,1050.7665269146687
1999-01-20,1049.6036523837824
1999-01-21,1044.4235949181896
1999-01-22,1035.632467053903
1999-01-25,1042.1324756803308
1999-01-26,1044.19633977412
1999-01-27,1045.7268740308439
1999-01-28,1052.1189515320823
1999-01-29,1078.0614284809615
1999-02-01,1087.9521165830204
1999-02-02,1065.6356451999172
1999-02-03,1071.4549971344516
1999-02-04,1080.4398752304369
1999-02-05,1085.0432298476699
1999-02-08,1083.540116324954
1999-02-09,1054.5001013479311
1999-02-10,1047.721109608998
1999-02-11,1067.1483907885995
1999-02-12,1058.0016784516272
1999-02-15,1065.6067559890523
1999-02-16,1058.0129048815484
1999-02-17,1043.3656254032794
1999-02-18,1055.1376010065728
1999-02-19,1069.665039964435
1999-02-22,1087.7992659417273
1999-02-23,1081.025502508606
1999-02-24,1066.7356323105855
1999-02-25,1052.9195924781566
1999-02-26,1059.2558454105636
1999-03-01,1053.5587351621912
1999-03-02,1041.635448629502
1999-03-03,1032.708378628965
1999-03-04,1057.519094685296
1999-03-05,1086.4288316636569
1999-03-08,1095.962899290811
1999-03-09,1090.3643971182657
1999-03-10,1092.3200671267518
1999-03-11,1105.504949607363
1999-03-12,1093.3320988953935
1999-03-15,1097.7597368957163
1999-03-16,1104.2899518180002
1999-03-17,1096.8339930007212
1999-03-18,1100.938618759467
1999-03-19,1111.9710309100444
1999-03-22,1121.173354137395
1999-03-23,1103.3512383572354
1999-03-24,1111.2663315065327
1999-03-25,1121.7627766285282
1999-03-26,1140.9813139668302
1999-03-29,1145.4033846342788
1999-03-30,1127.0712954432204
1999-03-31,1126.44922260685
1999-04-01,1133.1383613032217
1999-04-02,1140.9827317612564
1999-04-05,1165.5155722874915
1999-04-06,1158.220114169051
1999-04-07,1162.5725974416432
1999-04-08,1181.6331286005193
1999-04-09,1175.2067954358613
1999-04-12,1184.4450786122363
1999-04-13,1191.315116947921
1999-04-14,1193.8508875437253
1999-04-15,1215.0759963505443
1999-04-16,1228.7128831641542
1999-04-19,1227.1137430975111
1999-04-20,1218.7582287339505
1999-04-21,1238.7543795207152
1999-04-22,1246.037094393695
1999-04-23,1245.3784738980473
1999-04-26,1245.670285606534
1999-04-27,1244.0876699801893
1999-04-28,1259.324396811928
1999-04-29,1274.344344834292
1999-04-30,1272.6919317452084
1999-05-03,1285.7877892759666
1999-05-04,1280.6716624683422
1999-05-05,1265.9285625800267
1999-05-06,1251.8808770704584
1999-05-07,1242.0412944245859
1999-05-10,1243.3043972567496
1999-05-11,1260.521254255615
1999-05-12,1258.767426050305
1999-05-13,1271.243473259763
1999-05-14,1231.268380455357
1999-05-17,1235.5154447288367
1999-05-18,1244.783192689875
1999-05-19,1250.9384778552087
1999-05-20,1247.790498395323
1999-05-21,1261.4657762875627
1999-05-24,1262.4447700740125
1999-05-25,1230.170173770954
1999-05-26,1231.4817518725977
1999-05-27,1222.1009210693733
1999-05-28,1235.9112656882392
1999-05-31,1244.1268923963075
1999-06-01,1235.9826730444981
1999-06-02,1250.8852450479278
1999-06-03,1258.1836714623653
1999-06-04,1280.1085027229901
1999-06-07,1290.5861077177021
1999-06-08,1261.8828187417328
1999-06-09,1260.5452061051012
1999-06-10,1258.0492811992942
1999-06-11,1258.3370382407763
1999-06-14,1265.9787936723658
1999-06-15,1264.256541165297
1999-06-16,1285.4355448330443
1999-06-17,1283.4889590655223
1999-06-18,1283.2273226926586
1999-06-21,1284.5761480979957
1999-06-22,1283.1624601913481
1999-06-23,1278.3695457749698
1999-06-24,1271.0072984949732
1999-06-25,1270.2627086309494
1999-06-28,1275.4856084374057
1999-06-29,1276.3350929140506
1999-06-30,1285.785844838778
1999-07-01,1303.8020407923718
1999-07-02,1329.536007541768
1999-07-05,1352.2650192708688
1999-07-06,1339.8203257669597
1999-07-07,1331.6356204099318
1999-07-08,1335.3998846669783
1999-07-09,1341.6162170796335
1999-07-12,1337.0208523685064
1999-07-13,1322.7950228294158
1999-07-14,1341.4223862247102
1999-07-15,1342.789447931163
1999-07-16,1341.8316672601009
1999-07-19,1338.1630784132328
1999-07-20,1291.4531250719913
1999-07-21,1265.3880411343455
1999-07-22,1258.540811922654
1999-07-23,1256.1995038682262
1999-07-26,1217.2594495964995
1999-07-27,1223.931541696012
1999-07-28,1238.7294037502786
1999-07-29,1216.3463996892272
1999-07-30,1231.101142927001
1999-08-02,1229.7253944313243
1999-08-03,1234.122279375358
