Date,JAPAN IMI VALUE WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,978.3731885673005
1999-01-05,974.8279578931592
1999-01-06,982.0352860432838
1999-01-07,1008.1573929329641
1999-01-08,1006.0233628757256
1999-01-11,1026.6042957471632
1999-01-12,1000.2744030827778
1999-01-13,971.0530194418043
1999-01-14,985.038543866619
1999-01-15,989.919834238967
1999-01-18,990.9511872481495
1999-01-19,994.9438337025299
1999-01-20,1011.6869330768656
1999-01-21,1024.3957142648478
1999-01-22,1010.5355671942601
1999-01-25,1016.8711381564991
1999-01-26,1024.5327036388278
1999-01-27,1023.9081037731883
1999-01-28,1019.9071826558832
1999-01-29,1038.1783802574
1999-02-01,1050.0097086170374
1999-02-02,1063.6394603141812
1999-02-03,1052.1436882464616
1999-02-04,1053.06829994655
1999-02-05,1040.3122970028812
1999-02-08,1041.5440455984456
1999-02-09,1024.3323425184894
1999-02-10,1020.6207405100726
1999-02-11,1024.740387844131
1999-02-12,1031.519167587755
1999-02-15,1030.547103419794
1999-02-16,1018.1993709061197
1999-02-17,1003.7571199490959
1999-02-18,996.3028972955213
1999-02-19,1000.7667167729933
1999-02-22,1021.4916856193453
1999-02-23,1027.1633167193443
1999-02-24,1026.0509228190338
1999-02-25,1036.3293531988697
1999-02-26,1053.0482434343292
1999-03-01,1042.1558741005956
1999-03-02,1023.03094199692
1999-03-03,1022.150681810921
1999-03-04,1016.9804143701446
1999-03-05,1061.0225106598864
1999-03-08,1061.5146538805745
1999-03-09,1078.285949709454
1999-03-10,1107.5199863829737
1999-03-11,1124.3651192616762
1999-03-12,1121.2588609777642
1999-03-15,1148.2512821757227
1999-03-16,1182.850833072309
1999-03-17,1184.2082269146715
1999-03-18,1168.7554944868095
1999-03-19,1215.1710302571976
1999-03-22,1209.2073568792034
1999-03-23,1206.8814486242582
1999-03-24,1181.4058155423486
1999-03-25,1203.5754682400245
1999-03-26,1214.2968631091785
1999-03-29,1219.8260566777924
1999-03-30,1207.8290806575483
1999-03-31,1226.486129933062
1999-04-01,1241.233818534301
1999-04-02,1239.3965535154553
1999-04-05,1241.1833802293613
1999-04-06,1258.620693674077
1999-04-07,1259.224253755729
1999-04-08,1276.0601716290387
1999-04-09,1283.6878245056319
1999-04-12,1264.2393215800419
1999-04-13,1284.1790287005963
1999-04-14,1304.5084515367037
1999-04-15,1306.9831743962134
1999-04-16,1326.4831423228309
1999-04-19,1330.4983231412652
1999-04-20,1317.3590467597141
1999-04-21,1288.6484155649778
1999-04-22,1294.8146973993385
1999-04-23,1311.6499742757362
1999-04-26,1331.5646209030856
1999-04-27,1318.5984522688427
1999-04-28,1329.943772899982
1999-04-29,1335.5540840845104
1999-04-30,1326.6487207705964
1999-05-03,1319.8122573495402
1999-05-04,1305.9597166972108
1999-05-05,1296.1127081804748
1999-05-06,1327.523281625286
1999-05-07,1319.1011085569173
1999-05-10,1325.9933447248263
1999-05-11,1316.0450492862185
1999-05-12,1327.7698724351947
1999-05-13,1315.8174058692798
1999-05-14,1299.545481680225
1999-05-17,1265.8286957013117
1999-05-18,1266.4819326658692
1999-05-19,1231.5521171288592
1999-05-20,1239.7275857309287
1999-05-21,1255.0262256540382
1999-05-24,1259.3288148373772
1999-05-25,1256.7408751763367
1999-05-26,1277.741685577016
1999-05-27,1278.4286337378987
1999-05-28,1279.7698582278513
1999-05-31,1277.5561577130381
1999-06-01,1304.579297091687
1999-06-02,1325.623985001673
1999-06-03,1308.7881819343893
1999-06-04,1313.4773124755327
1999-06-07,1334.8183279964755
1999-06-08,1338.1693203685288
1999-06-09,1354.7943687430566
1999-06-10,1373.6148082563523
1999-06-11,1393.0143272383102
1999-06-14,1377.5868815386486
1999-06-15,1379.5376181367012
1999-06-16,1397.0848531506635
1999-06-17,1420.4467307254313
1999-06-18,1398.751086270044
1999-06-21,1410.9762645581309
1999-06-22,1423.5705046560684
1999-06-23,1408.2939546436708
1999-06-24,1399.6755872245576
1999-06-25,1384.3715838657736
1999-06-28,1408.397088059433
1999-06-29,1425.8134467159005
1999-06-30,1423.2799825014426
1999-07-01,1461.124007527407
1999-07-02,1472.953742398746
1999-07-05,1479.9545206443165
1999-07-06,1472.8043021547758
1999-07-07,1477.3468774786063
1999-07-08,1470.8536321364634
1999-07-09,1471.317909485412
1999-07-12,1497.4129827484746
1999-07-13,1503.9049489605686
1999-07-14,1519.933966574474
1999-07-15,1527.5388523568113
1999-07-16,1520.116085639163
1999-07-19,1557.4460635465232
1999-07-20,1520.3105450542475
1999-07-21,1506.6358933427205
1999-07-22,1480.8772574649531
1999-07-23,1474.2652840523253
1999-07-26,1450.0694165120747
1999-07-27,1448.4504763870198
1999-07-28,1466.6054204417326
1999-07-29,1480.3110425042787
1999-07-30,1495.7232177413737
1999-08-02,1491.864545564816
1999-08-03,1494.356694677141
