Date,AUSTRALIA IMI VALUE WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1010.4758638413805
1999-01-05,1009.8940373990416
1999-01-06,1041.083288696657
1999-01-07,1065.989521849807
1999-01-08,1063.944567706026
1999-01-11,1079.399172046057
1999-01-12,1080.0931524766008
1999-01-13,1039.8012528306465
1999-01-14,1035.69016855204
1999-01-15,1047.8034205108097
1999-01-18,1057.0139030704538
1999-01-19,1074.0017542953806
1999-01-20,1085.0422582070705
1999-01-21,1078.2807553910416
1999-01-22,1065.9722862493068
1999-01-25,1058.0571859578508
1999-01-26,1054.6634529600806
1999-01-27,1067.2627700044359
1999-01-28,1079.4448804797069
1999-01-29,1095.1086576031666
1999-02-01,1124.227384303552
1999-02-02,1121.5391414603266
1999-02-03,1130.1602675014021
1999-02-04,1148.4974516675936
1999-02-05,1152.9744399498027
1999-02-08,1150.983307081182
1999-02-09,1135.8487518874813
1999-02-10,1116.16536685146
1999-02-11,1129.4550072505604
1999-02-12,1134.429471632116
1999-02-15,1132.6325927014832
1999-02-16,1117.2539295007189
1999-02-17,1115.409738612235
1999-02-18,1118.4489302522463
1999-02-19,1152.7222472237786
1999-02-22,1161.3236245398714
1999-02-23,1166.0260994075302
1999-02-24,1161.7958227994955
1999-02-25,1131.0276432790345
1999-02-26,1119.980793201516
1999-03-01,1131.8652269787754
1999-03-02,1130.002333223845
1999-03-03,1136.9300061056856
1999-03-04,1141.932802005135
1999-03-05,1154.9843981065515
1999-03-08,1168.7769701096574
1999-03-09,1176.0175047634225
1999-03-10,1171.282175431958
1999-03-11,1187.5278686871666
1999-03-12,1182.5241715744714
1999-03-15,1187.7454737008406
1999-03-16,1178.4693884384094
1999-03-17,1165.2209265862743
1999-03-18,1173.7205361305084
1999-03-19,1184.4638399052294
1999-03-22,1193.8391663284874
1999-03-23,1207.6226031125177
1999-03-24,1199.1194446226611
1999-03-25,1205.4426898812992
1999-03-26,1221.475373592694
1999-03-29,1214.848216837051
1999-03-30,1205.0562498722295
1999-03-31,1196.041179008949
1999-04-01,1208.9559698263868
1999-04-02,1205.5631886336205
1999-04-05,1209.868085449429
1999-04-06,1220.1778646472428
1999-04-07,1214.7657311962298
1999-04-08,1212.9058883673335
1999-04-09,1229.1496308727856
1999-04-12,1222.6841238348613
1999-04-13,1249.849158004334
1999-04-14,1256.6423289711195
1999-04-15,1265.4840394755868
1999-04-16,1289.945037263099
1999-04-19,1316.7948776855146
1999-04-20,1296.4397034549277
1999-04-21,1289.9198827824694
1999-04-22,1318.380417604678
1999-04-23,1318.3772081404948
1999-04-26,1316.7958150387628
1999-04-27,1321.4249085343079
1999-04-28,1324.1183995915774
1999-04-29,1334.590959068121
1999-04-30,1343.0450400323714
1999-05-03,1336.9940668507911
1999-05-04,1335.0341478603452
1999-05-05,1307.0349029879294
1999-05-06,1311.4907215142098
1999-05-07,1287.4794940831814
1999-05-10,1289.447375155251
1999-05-11,1299.705855646286
1999-05-12,1310.394463495957
1999-05-13,1322.8468143847815
1999-05-14,1321.3618127527252
1999-05-17,1295.728036863989
1999-05-18,1313.545069731569
1999-05-19,1290.6111978864594
1999-05-20,1280.5135061942087
1999-05-21,1285.3980312119857
1999-05-24,1280.5049311430591
1999-05-25,1255.930713316171
1999-05-26,1258.7502885941708
1999-05-27,1257.4983946896064
1999-05-28,1258.207514808877
1999-05-31,1256.5330976085156
1999-06-01,1248.5361996190907
1999-06-02,1262.1736816563946
1999-06-03,1278.6445803369343
1999-06-04,1294.4169522310951
1999-06-07,1310.082810999096
1999-06-08,1304.3900475928751
1999-06-09,1313.9962523302056
1999-06-10,1308.3975171261045
1999-06-11,1300.2871383815489
1999-06-14,1304.4594271694048
1999-06-15,1290.4976022817089
1999-06-16,1300.8251179811148
1999-06-17,1317.2517905760162
1999-06-18,1305.889973981641
1999-06-21,1307.5216954518244
1999-06-22,1320.06799641599
1999-06-23,1320.9249786226376
1999-06-24,1306.840922262371
1999-06-25,1301.3154417490591
1999-06-28,1318.4687751795266
1999-06-29,1319.2769982484788
1999-06-30,1324.1733243101778
1999-07-01,1357.8807865528122
1999-07-02,1380.589525418204
1999-07-05,1393.719635196722
1999-07-06,1391.7655616397665
1999-07-07,1382.727897461561
1999-07-08,1399.5468069250437
1999-07-09,1381.181680664311
1999-07-12,1384.2006426016787
1999-07-13,1379.2319807584554
1999-07-14,1374.3618169074573
1999-07-15,1380.3872790315384
1999-07-16,1372.6333128296858
1999-07-19,1372.3844147636928
1999-07-20,1355.755945238827
1999-07-21,1331.371255127132
1999-07-22,1323.5237023813972
1999-07-23,1325.2408414586764
1999-07-26,1288.0241107245622
1999-07-27,1283.6179078112589
1999-07-28,1290.2004467655777
1999-07-29,1285.1691278285462
1999-07-30,1279.2854194705042
1999-08-02,1267.4939160539025
1999-08-03,1289.6999173853646
