Date,SWITZERLAND IMI VALUE WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1029.2738542824445
1999-01-05,1040.2139322681112
1999-01-06,1053.930614418385
1999-01-07,1039.908090053094
1999-01-08,1051.4992174826925
1999-01-11,1036.532379036294
1999-01-12,1031.2128438197797
1999-01-13,1006.5452952105347
1999-01-14,999.240749850995
1999-01-15,1010.2454579770898
1999-01-18,1010.28006700453
1999-01-19,1009.4303181782398
1999-01-20,1013.1551711482649
1999-01-21,997.5481172632161
1999-01-22,992.5417506882934
1999-01-25,996.4721047875603
1999-01-26,993.6158552015631
1999-01-27,989.0947186353619
1999-01-28,999.8798759756912
1999-01-29,1005.757126201383
1999-02-01,1017.8637070301288
1999-02-02,1016.865717823977
1999-02-03,1012.6179058425341
1999-02-04,1006.5920896191967
1999-02-05,1005.8171692793504
1999-02-08,998.9557184995186
1999-02-09,984.4141529464056
1999-02-10,979.8452151032267
1999-02-11,980.5224148799107
1999-02-12,990.4658842976002
1999-02-15,992.2302851563837
1999-02-16,994.590677071708
1999-02-17,996.2586548580744
1999-02-18,989.6800627220808
1999-02-19,981.1579057158634
1999-02-22,996.3169939519939
1999-02-23,1007.6893135733313
1999-02-24,1018.4073284377838
1999-02-25,1003.2735905338917
1999-02-26,1001.0037860572511
1999-03-01,990.7543631265108
1999-03-02,988.4133845220231
1999-03-03,992.4767188107777
1999-03-04,1007.0854852899569
1999-03-05,1018.6000916910482
1999-03-08,1015.6646196655862
1999-03-09,1021.5984729826582
1999-03-10,1012.7729315646477
1999-03-11,1032.7221492258009
1999-03-12,1024.5188170783986
1999-03-15,1023.0360338110193
1999-03-16,1024.3813169967113
1999-03-17,1028.4815869267256
1999-03-18,1025.56187974422
1999-03-19,1030.1604629420515
1999-03-22,1022.4520490411525
1999-03-23,1008.0167376180963
1999-03-24,999.4023642980487
1999-03-25,1013.7425987292798
1999-03-26,1006.0626266808257
1999-03-29,1016.4084967980608
1999-03-30,1008.2047147090013
1999-03-31,1019.3962318281419
1999-04-01,1020.624625238859
1999-04-02,1020.2694875096519
1999-04-05,1019.4775423084182
1999-04-06,1026.504693395694
1999-04-07,1033.876111418546
1999-04-08,1044.6140977261994
1999-04-09,1047.7133712271316
1999-04-12,1043.1652946475622
1999-04-13,1045.8284734461538
1999-04-14,1046.3682523924
1999-04-15,1032.7304240738965
1999-04-16,1028.9078977984348
1999-04-19,1039.3489335380052
1999-04-20,1024.549878914064
1999-04-21,1028.9936283177208
1999-04-22,1038.9611332068882
1999-04-23,1038.0728428641764
1999-04-26,1051.1611726576975
1999-04-27,1066.2243866945028
1999-04-28,1062.8068714749434
1999-04-29,1058.1802775923813
1999-04-30,1062.3912198608484
1999-05-03,1074.2001168553022
1999-05-04,1069.247119282261
1999-05-05,1062.3109430526015
1999-05-06,1058.5322992842605
1999-05-07,1054.185559405981
1999-05-10,1054.838682463135
1999-05-11,1054.5310315901954
1999-05-12,1053.2021602383954
1999-05-13,1054.7441270370728
1999-05-14,1041.6973071900597
1999-05-17,1022.2028577532292
1999-05-18,1032.7048318866607
1999-05-19,1036.7216947295753
1999-05-20,1043.7342397597386
1999-05-21,1038.0155589638061
1999-05-24,1039.4766189856025
1999-05-25,1024.6808820492731
1999-05-26,1027.844982281534
1999-05-27,1012.483285185971
1999-05-28,1017.437101861367
1999-05-31,1031.8160197011455
1999-06-01,1025.5736266786755
1999-06-02,1036.7650173331424
1999-06-03,1048.7255421946131
1999-06-04,1063.03384316682
1999-06-07,1068.1241084056167
1999-06-08,1063.6200799748435
1999-06-09,1065.8110847772455
1999-06-10,1045.2075754295633
1999-06-11,1047.7451327490255
1999-06-14,1047.80556772396
1999-06-15,1051.6024123205298
1999-06-16,1056.6191272101757
1999-06-17,1064.038865965024
1999-06-18,1068.349433345694
1999-06-21,1078.8752270831774
1999-06-22,1067.264664513824
1999-06-23,1057.526702592015
1999-06-24,1050.3369295368743
1999-06-25,1042.7471577102353
1999-06-28,1041.786867978863
1999-06-29,1048.1799920798385
1999-06-30,1037.0869568875314
1999-07-01,1056.4875272670974
1999-07-02,1068.095301143373
1999-07-05,1077.207738855335
1999-07-06,1068.9637725183468
1999-07-07,1066.991343590783
1999-07-08,1068.6827756717876
1999-07-09,1064.9846205007989
1999-07-12,1066.31028818719
1999-07-13,1055.2204830258006
1999-07-14,1059.7442430642407
1999-07-15,1062.5979641656538
1999-07-16,1056.093109736159
1999-07-19,1059.8950252119957
1999-07-20,1044.1655600728548
1999-07-21,1044.0389516627272
1999-07-22,1036.1701408772437
1999-07-23,1020.2849133602575
1999-07-26,1011.8988694765734
1999-07-27,1025.016366992965
1999-07-28,1025.7272407458454
1999-07-29,1014.3677164249164
1999-07-30,1032.5391404705756
1999-08-02,1035.5442112270628
1999-08-03,1034.5968860736427
1999-08-04,1032.5582234322237
