Date,SINGAPORE IMI VALUE WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.1141224493845
1999-01-04,1004.9669260830148
1999-01-05,984.1824216911625
1999-01-06,1028.7317218054372
1999-01-07,1066.7687538624227
1999-01-08,1088.8214913201446
1999-01-11,1092.217940718909
1999-01-12,1087.454365864789
1999-01-13,1041.384178899853
1999-01-14,1018.2378452525788
1999-01-15,1050.501619139079
1999-01-18,1078.5195625755466
1999-01-19,1077.8275092235633
1999-01-20,1081.9456468462167
1999-01-21,1050.9413187883306
1999-01-22,1030.6582108400503
1999-01-25,969.6278411731104
1999-01-26,980.527151994159
1999-01-27,1007.0882778056903
1999-01-28,990.591498348689
1999-01-29,996.5729106765335
1999-02-01,989.6650319738281
1999-02-02,977.0183650258481
1999-02-03,953.5490068540832
1999-02-04,968.9265566015102
1999-02-05,961.611984044373
1999-02-08,945.6351234943987
1999-02-09,918.3461850830824
1999-02-10,901.4235189903098
1999-02-11,958.6256340098316
1999-02-12,957.0194190006365
1999-02-15,963.9015461863697
1999-02-16,965.6623894412435
1999-02-17,961.2028119564708
1999-02-18,937.6394646610316
1999-02-19,976.8098865903532
1999-02-22,998.7270296706814
1999-02-23,1004.7484138349658
1999-02-24,1014.2289726323686
1999-02-25,1004.8781909298632
1999-02-26,1015.5613000893371
1999-03-01,1026.8698167448495
1999-03-02,1019.8736077030223
1999-03-03,1013.7039707284764
1999-03-04,1028.9288966768352
1999-03-05,1036.6192728743654
1999-03-08,1030.8296078918188
1999-03-09,1024.1330160795706
1999-03-10,1042.777967879883
1999-03-11,1051.9714310049467
1999-03-12,1056.4712472272129
1999-03-15,1072.5723779340694
1999-03-16,1067.6142066751254
1999-03-17,1041.2468601218452
1999-03-18,1036.5642581767659
1999-03-19,1039.8625077503061
1999-03-22,1047.8541021005894
1999-03-23,1042.931460996134
1999-03-24,1038.271521722892
1999-03-25,1059.6228571825884
1999-03-26,1069.8385108008779
1999-03-29,1071.599969404939
1999-03-30,1078.8955755710215
1999-03-31,1085.4634682189671
1999-04-01,1106.8501556768247
1999-04-02,1107.6346121729762
1999-04-05,1145.960995626857
1999-04-06,1159.90046423721
1999-04-07,1165.458703080991
1999-04-08,1176.0853441594436
1999-04-09,1207.8763009846687
1999-04-12,1208.3236399943833
1999-04-13,1227.2855593423817
1999-04-14,1259.3019129701663
1999-04-15,1271.7098951092723
1999-04-16,1319.7979983926336
1999-04-19,1399.9138034258294
1999-04-20,1367.0553123900704
1999-04-21,1391.8475181234478
1999-04-22,1416.3093231553175
1999-04-23,1409.7351786053093
1999-04-26,1429.6690712549475
1999-04-27,1433.5167782784433
1999-04-28,1405.610128156903
1999-04-29,1390.717681417232
1999-04-30,1456.391030456897
1999-05-03,1468.4611123401683
1999-05-04,1507.4335332561052
1999-05-05,1529.9185571621656
1999-05-06,1520.9277813494318
1999-05-07,1458.0551419328813
1999-05-10,1440.0844533997033
1999-05-11,1470.9928332072964
1999-05-12,1479.4950539985145
1999-05-13,1467.0066889531283
1999-05-14,1456.737808829494
1999-05-17,1456.7579094371679
1999-05-18,1449.4680995058022
1999-05-19,1436.57009953976
1999-05-20,1445.1872620475424
1999-05-21,1480.6967219181045
1999-05-24,1463.3406242846488
1999-05-25,1431.406925167388
1999-05-26,1456.3002733478713
1999-05-27,1478.5810700568757
1999-05-28,1473.9877676151984
1999-05-31,1475.503181049894
1999-06-01,1478.696973084318
1999-06-02,1506.2360496649353
1999-06-03,1510.3039672988157
1999-06-04,1499.8286701078455
1999-06-07,1530.9268822222466
1999-06-08,1551.7129614244113
1999-06-09,1554.9470219172795
1999-06-10,1559.0032322932952
1999-06-11,1580.6946666636334
1999-06-14,1589.4934895710678
1999-06-15,1581.206598346841
1999-06-16,1602.9403900279092
1999-06-17,1623.337055385816
1999-06-18,1613.57125455311
1999-06-21,1662.0337490131392
1999-06-22,1674.8311389427317
1999-06-23,1703.6617677506763
1999-06-24,1709.9830902322237
1999-06-25,1693.9095712847857
1999-06-28,1702.5243050842432
1999-06-29,1706.989011943188
1999-06-30,1695.625185411855
1999-07-01,1750.9619089015082
1999-07-02,1756.2671635975782
1999-07-05,1733.085530435292
1999-07-06,1686.6160385019728
1999-07-07,1663.519987663519
1999-07-08,1684.8489403387166
1999-07-09,1689.5258507110382
1999-07-12,1703.0544747318986
1999-07-13,1676.0357795587192
1999-07-14,1662.7693613580152
1999-07-15,1639.1885230002215
1999-07-16,1611.5046852140113
1999-07-19,1612.7081974619841
1999-07-20,1596.3822291081765
1999-07-21,1560.3742613986567
1999-07-22,1542.6835583525574
1999-07-23,1493.1356233960605
1999-07-26,1450.4428378722348
1999-07-27,1485.6320301460048
1999-07-28,1552.86224175239
1999-07-29,1571.6962996157463
1999-07-30,1576.561096349337
1999-08-02,1571.4121944864828
1999-08-03,1573.0657125014684
1999-08-04,1558.1822207224106
1999-08-05,1523.893440452252
1999-08-06,1518.6811204420908
1999-08-09,1529.4759681165358
1999-08-10,1486.0538521241085
1999-08-11,1465.4504441072636
1999-08-12,1484.8046698297007
1999-08-13,1468.3766999452703
1999-08-16,1487.001374245628
1999-08-17,1469.4431716487313
1999-08-18,1523.429867365053
1999-08-19,1523.4793644259958
1999-08-20,1546.2065613435693
1999-08-23,1587.1437830710631
1999-08-24,1582.1404197768616
1999-08-25,1607.805479213674
1999-08-26,1619.7097289629353
1999-08-27,1612.6018052089871
1999-08-30,1610.5295704093814
1999-08-31,1568.4603732220517
1999-09-01,1570.5582496998225
1999-09-02,1551.966425474784
1999-09-03,1547.8694116543543
1999-09-06,1553.5521611706195
1999-09-07,1554.9498795929596
1999-09-08,1543.1519689091258
1999-09-09,1579.055993620649
1999-09-10,1587.6133187678304
1999-09-13,1604.3392718850612
1999-09-14,1589.7125206205878
1999-09-15,1583.6188132506697
1999-09-16,1559.1101967625293
1999-09-17,1592.0632931640605
1999-09-20,1569.924168325563
1999-09-21,1552.6862554844647
1999-09-22,1511.3899403397206
1999-09-23,1515.4638797975317
1999-09-24,1485.4618063980495
1999-09-27,1476.3499773134258
1999-09-28,1473.4933913625728
1999-09-29,1469.0346513655127
1999-09-30,1482.9122269412344
1999-10-01,1494.5650026640667
1999-10-04,1496.951771326815
1999-10-05,1524.968818484981
1999-10-06,1546.1520548133813
1999-10-07,1558.8856128554569
1999-10-08,1567.0501753224369
1999-10-11,1573.1136483207365
1999-10-12,1547.1694074979223
1999-10-13,1518.2714959569448
1999-10-14,1530.9356074145085
1999-10-15,1488.8526743867435
1999-10-18,1457.661951831717
1999-10-19,1462.1417435543385
1999-10-20,1488.3586882695024
1999-10-21,1487.1228648741717
1999-10-22,1505.0295166179255
1999-10-25,1513.4886134666067
1999-10-26,1523.9240647930662
1999-10-27,1512.810523146529
1999-10-28,1526.9036461054993
1999-10-29,1563.537974712637
1999-11-01,1585.757803122244
1999-11-02,1570.3613765132313
1999-11-03,1595.6624408008033
1999-11-04,1612.3114844910551
1999-11-05,1609.526469224953
1999-11-08,1616.719449729344
1999-11-09,1621.6500667981497
1999-11-10,1631.7047689475226
1999-11-11,1645.213662661907
1999-11-12,1680.167493025202
1999-11-15,1704.8140529440825
1999-11-16,1707.192035671533
1999-11-17,1686.9445772418105
