Date,SWEDEN IMI VALUE WEIGHTED
1998-12-31,999.9999999999999
1999-01-01,999.9999999999999
1999-01-04,1031.719997320283
1999-01-05,1048.9297222227078
1999-01-06,1061.4361972024142
1999-01-07,1073.8659699242196
1999-01-08,1089.5689339212065
1999-01-11,1086.6764960717312
1999-01-12,1069.0232569760929
1999-01-13,1033.146822513709
1999-01-14,1039.7602510141194
1999-01-15,1046.8390583062549
1999-01-18,1070.7251046176887
1999-01-19,1088.2485779163667
1999-01-20,1097.284150717487
1999-01-21,1079.281243107367
1999-01-22,1064.9661586699867
1999-01-25,1061.6439404632695
1999-01-26,1060.5868384855016
1999-01-27,1075.6307911468198
1999-01-28,1089.346041487571
1999-01-29,1092.7649584468968
1999-02-01,1111.471583803548
1999-02-02,1111.217777376504
1999-02-03,1106.040937318536
1999-02-04,1118.9903268707296
1999-02-05,1132.0654267907375
1999-02-08,1118.2029307179778
1999-02-09,1098.2536564693619
1999-02-10,1086.8103151161695
1999-02-11,1089.0402311731611
1999-02-12,1095.2615941032873
1999-02-15,1099.918163435513
1999-02-16,1110.226085060796
1999-02-17,1092.0910620170844
1999-02-18,1094.6933450764134
1999-02-19,1108.042275259239
1999-02-22,1119.8127989581808
1999-02-23,1120.5111300880355
1999-02-24,1120.5262973668823
1999-02-25,1104.403628335897
1999-02-26,1098.3037934749395
1999-03-01,1087.1945740515064
1999-03-02,1096.0910198058275
1999-03-03,1099.7788300074
1999-03-04,1109.6824383104527
1999-03-05,1130.5902606046202
1999-03-08,1124.7751816352122
1999-03-09,1125.6790857548021
1999-03-10,1124.1940021200417
1999-03-11,1130.3991827031111
1999-03-12,1123.9710357423223
1999-03-15,1119.267957895206
1999-03-16,1117.8658552086215
1999-03-17,1111.513221964156
1999-03-18,1099.8571697473283
1999-03-19,1119.3255915236139
1999-03-22,1113.646838463337
1999-03-23,1110.5998065418778
1999-03-24,1093.200034233269
1999-03-25,1120.4350336394957
1999-03-26,1130.5079506982854
1999-03-29,1141.7228423049203
1999-03-30,1140.557477528137
1999-03-31,1159.579325041658
1999-04-01,1161.6213352757334
1999-04-02,1161.8733378174552
1999-04-05,1162.8645543683588
1999-04-06,1192.081779621833
1999-04-07,1189.370117418186
1999-04-08,1190.967764138537
1999-04-09,1199.8004462247814
1999-04-12,1182.7076642936627
1999-04-13,1195.587484708336
1999-04-14,1204.1914842969925
1999-04-15,1206.3636500296302
1999-04-16,1229.485894554292
1999-04-19,1242.5439505803863
1999-04-20,1223.3073726007606
1999-04-21,1227.9407725055764
1999-04-22,1233.0168730977493
1999-04-23,1236.1705146061113
1999-04-26,1249.360920331441
1999-04-27,1256.0004910526166
1999-04-28,1249.0978067317994
1999-04-29,1258.4835044339593
1999-04-30,1265.7786678556552
1999-05-03,1282.6307958647706
1999-05-04,1285.2697021382241
1999-05-05,1265.6741636652082
1999-05-06,1248.370590031655
1999-05-07,1255.501744362596
1999-05-10,1259.4431306085717
1999-05-11,1269.1352576128927
1999-05-12,1264.0115212724913
1999-05-13,1263.4618746181545
1999-05-14,1250.5484712615653
1999-05-17,1239.5275755956334
1999-05-18,1249.5321008656729
1999-05-19,1264.3545592625571
1999-05-20,1279.7024354279215
1999-05-21,1276.070436579344
1999-05-24,1275.3394840253393
1999-05-25,1258.6445387352387
1999-05-26,1253.6424028087981
1999-05-27,1242.3273768879533
1999-05-28,1236.986981740432
1999-05-31,1238.0939408388463
1999-06-01,1237.8837483987436
1999-06-02,1249.1598619589174
1999-06-03,1264.9102058493709
1999-06-04,1279.5361370662567
1999-06-07,1289.6688623605369
1999-06-08,1287.692814708899
1999-06-09,1289.3291854629892
1999-06-10,1283.5992107795464
1999-06-11,1300.2212057899383
1999-06-14,1299.3464104060329
1999-06-15,1290.0987360351082
1999-06-16,1302.777847123809
1999-06-17,1308.1782917845903
1999-06-18,1327.8692889982035
1999-06-21,1342.3318570104987
1999-06-22,1330.3671779543677
1999-06-23,1328.991487924036
1999-06-24,1320.834352230231
1999-06-25,1315.6344732677935
1999-06-28,1325.835303083325
1999-06-29,1335.850679686179
1999-06-30,1320.3866636789885
1999-07-01,1332.0946459418255
1999-07-02,1344.195117670664
1999-07-05,1353.180920150503
1999-07-06,1345.3452645623704
1999-07-07,1324.4674746150174
1999-07-08,1322.6098016540668
1999-07-09,1340.2027132627763
1999-07-12,1340.3185687375637
1999-07-13,1322.8574530465382
1999-07-14,1328.0846534972075
1999-07-15,1335.5867803196793
1999-07-16,1337.7426162675515
1999-07-19,1351.8666484897533
1999-07-20,1340.5480462994685
1999-07-21,1322.8573700767554
1999-07-22,1313.7059463436653
1999-07-23,1316.6057649811557
1999-07-26,1304.825784987378
1999-07-27,1310.5181998324956
1999-07-28,1324.5655015086181
1999-07-29,1309.9893669816731
1999-07-30,1325.6457247556966
1999-08-02,1319.4970779875434
1999-08-03,1321.49968516892
1999-08-04,1317.6191970407842
1999-08-05,1296.6737886582666
1999-08-06,1301.101967549796
