Date,HONG KONG IMI VALUE WEIGHTED
1998-12-31,1000.0
1999-01-01,999.9548913397907
1999-01-04,974.732563799099
1999-01-05,985.1671988889219
1999-01-06,1020.3765966815728
1999-01-07,1065.5628567595704
1999-01-08,1075.0965140381782
1999-01-11,1067.7948234125543
1999-01-12,1070.7794417421005
1999-01-13,1016.8366887392655
1999-01-14,997.0913264037438
1999-01-15,1011.7853369153294
1999-01-18,1026.8872621291812
1999-01-19,1012.0282221336424
1999-01-20,1008.5191918610117
1999-01-21,973.2428615690495
1999-01-22,933.7103179090385
1999-01-25,913.214173159222
1999-01-26,917.607831409601
1999-01-27,947.1697422512385
1999-01-28,921.9400903751599
1999-01-29,935.7735284919372
1999-02-01,948.2111823893036
1999-02-02,938.1193855351977
1999-02-03,926.4301780333503
1999-02-04,929.9510587912292
1999-02-05,905.6483717637626
1999-02-08,900.1926863798041
1999-02-09,903.6268064082
1999-02-10,883.9709547886767
1999-02-11,892.5742825793359
1999-02-12,922.1549548226022
1999-02-15,926.9222775944435
1999-02-16,931.666749653087
1999-02-17,927.3666681959882
1999-02-18,928.2277664160838
1999-02-19,912.2264077090281
1999-02-22,917.4337510473315
1999-02-23,931.7778512631216
1999-02-24,955.3862728497492
1999-02-25,943.9733763881553
1999-02-26,968.8346725182246
1999-03-01,994.4678942021809
1999-03-02,982.9557274153966
1999-03-03,981.9915469120714
1999-03-04,993.6095751636717
1999-03-05,1009.9502970554395
1999-03-08,1014.1714767916309
1999-03-09,1037.0347960648605
1999-03-10,1047.9564898400797
1999-03-11,1059.351589368733
1999-03-12,1063.7798839013583
1999-03-15,1062.5687579213056
1999-03-16,1075.6583002604655
1999-03-17,1066.637676219456
1999-03-18,1043.7851202279812
1999-03-19,1089.326238961905
1999-03-22,1104.6401315815979
1999-03-23,1109.849365919377
1999-03-24,1079.2591341842844
1999-03-25,1089.2575214017324
1999-03-26,1094.1838329596173
1999-03-29,1081.0860064669919
1999-03-30,1104.1106869944235
1999-03-31,1104.5409046800442
1999-04-01,1112.5338890114526
1999-04-02,1114.9299241916513
1999-04-05,1121.7337217585189
1999-04-06,1117.6524589805958
1999-04-07,1164.632997805577
1999-04-08,1167.0631840297415
1999-04-09,1203.047597864647
1999-04-12,1188.4989840620508
1999-04-13,1214.734230078619
