Date,FRANCE IMI VALUE WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.7414694775532
1999-01-04,1039.2657305137104
1999-01-05,1048.6131999570334
1999-01-06,1073.7603050085606
1999-01-07,1059.9790568708686
1999-01-08,1062.0715961402252
1999-01-11,1055.0642250557614
1999-01-12,1037.7815934159041
1999-01-13,1003.4669730560996
1999-01-14,1006.9119417809646
1999-01-15,1017.6944442574328
1999-01-18,1036.3896428853984
1999-01-19,1030.1166600201748
1999-01-20,1037.999248373077
1999-01-21,1030.880183263128
1999-01-22,1008.2284208624774
1999-01-25,1016.3369735298264
1999-01-26,1019.6102688771266
1999-01-27,1028.7856995644659
1999-01-28,1049.7434249657595
1999-01-29,1056.5502687983615
1999-02-01,1069.6904318690802
1999-02-02,1057.9850636092722
1999-02-03,1048.49906358554
1999-02-04,1044.7559284728504
1999-02-05,1044.504204610157
1999-02-08,1049.7904665426083
1999-02-09,1029.3004680192244
1999-02-10,1019.5964192214191
1999-02-11,1031.4397196805526
1999-02-12,1028.4289613500032
1999-02-15,1029.1888231408327
1999-02-16,1029.0507036759464
1999-02-17,1016.990849888633
1999-02-18,1019.0449397322508
1999-02-19,1032.3185947618379
1999-02-22,1042.687963340857
1999-02-23,1049.2321601445344
1999-02-24,1049.4893716758986
1999-02-25,1040.634608156357
1999-02-26,1031.9151493463703
1999-03-01,1023.4277049702804
1999-03-02,1025.7735817459968
1999-03-03,1017.475793074569
1999-03-04,1034.8788606348285
1999-03-05,1053.7739944125105
1999-03-08,1054.072653759241
1999-03-09,1052.2573602475952
1999-03-10,1054.2467247425761
1999-03-11,1066.7578761666693
1999-03-12,1062.109507818515
1999-03-15,1064.0045756918705
1999-03-16,1070.7493822223037
1999-03-17,1067.0480997091336
1999-03-18,1063.8389401780125
1999-03-19,1075.4923224050572
1999-03-22,1070.606791963904
1999-03-23,1049.1347054753458
1999-03-24,1042.851295006643
1999-03-25,1062.890935248138
1999-03-26,1062.1946086429448
1999-03-29,1071.0107503587287
1999-03-30,1070.1725421033282
1999-03-31,1079.9859403632709
1999-04-01,1082.8000887212095
1999-04-02,1082.8000850115575
1999-04-05,1082.8000780671393
1999-04-06,1097.7868869645727
1999-04-07,1098.1815776079259
1999-04-08,1097.275242083413
1999-04-09,1103.4043786558075
1999-04-12,1103.764245468602
1999-04-13,1108.9299900056915
1999-04-14,1107.024582356828
1999-04-15,1106.07192249013
1999-04-16,1111.131571198372
1999-04-19,1128.2732427439314
1999-04-20,1105.563026446829
1999-04-21,1108.808696681055
1999-04-22,1108.1959136695327
1999-04-23,1103.8967727023046
1999-04-26,1112.7406992115718
