Date,SPAIN IMI VALUE WEIGHTED
1998-12-31,1000.0
1999-01-01,999.9443198297245
1999-01-04,1060.0387744596137
1999-01-05,1080.0348445132413
1999-01-06,1080.03484423629
1999-01-07,1064.737972439917
1999-01-08,1062.4971208527206
1999-01-11,1050.1212421978103
1999-01-12,1034.2140243458416
1999-01-13,972.4527709179443
1999-01-14,971.7760043581088
1999-01-15,992.3045422310588
1999-01-18,1031.4769755640805
1999-01-19,1024.4452625982578
1999-01-20,1033.0553875141177
1999-01-21,1021.3766326978556
1999-01-22,995.7657771665477
1999-01-25,999.6482667508202
1999-01-26,992.2430994954142
1999-01-27,993.845520575868
1999-01-28,1012.3925723064245
1999-01-29,1016.1340787449865
1999-02-01,1028.2638464307402
1999-02-02,1022.8190164620933
1999-02-03,1022.0585139755011
1999-02-04,1013.9879117400415
1999-02-05,1009.4450364440066
1999-02-08,995.9140210804298
1999-02-09,983.4630999075882
1999-02-10,998.1078247112166
1999-02-11,1001.5998480716137
1999-02-12,1004.8981346013397
1999-02-15,1016.8780425113991
1999-02-16,1008.6783556382468
1999-02-17,1008.2029352680998
1999-02-18,1003.5479259447825
1999-02-19,1011.8401051476034
1999-02-22,1019.3469691976435
1999-02-23,1038.4142472319697
1999-02-24,1043.2652566920128
1999-02-25,1027.8857889153767
1999-02-26,1026.035272261365
1999-03-01,1012.5439243419268
1999-03-02,1010.7216751813899
1999-03-03,1001.2350128712177
1999-03-04,1010.990938772962
1999-03-05,1023.8546099530406
1999-03-08,1011.0111042415633
1999-03-09,1015.8519633601519
1999-03-10,1016.7001616412861
1999-03-11,1037.7655879085908
1999-03-12,1029.3525357438984
1999-03-15,1030.510774002492
1999-03-16,1036.876705492645
1999-03-17,1029.4161025199023
1999-03-18,1022.2571667878518
1999-03-19,1024.6252868564236
1999-03-22,1014.1819089486238
1999-03-23,994.6307028490344
1999-03-24,992.275496045171
1999-03-25,1004.7916850969857
1999-03-26,986.4493598250443
1999-03-29,991.1353124610863
1999-03-30,985.3645862162628
1999-03-31,993.1934175312217
1999-04-01,993.1934173297104
1999-04-02,993.1934166448436
1999-04-05,993.4805045887891
1999-04-06,1013.8579312672882
1999-04-07,1015.5249803047338
1999-04-08,1021.8041022189026
1999-04-09,1020.4440410901213
1999-04-12,1014.212763113677
1999-04-13,1019.3028386912615
1999-04-14,1015.1658391194552
1999-04-15,1007.2302404159653
1999-04-16,985.7107126176796
1999-04-19,990.4228622391469
1999-04-20,976.2877075958179
1999-04-21,987.4707133952636
1999-04-22,991.9812946228625
1999-04-23,1001.2678807888891
1999-04-26,1001.7466782906629
1999-04-27,1015.4376390073726
1999-04-28,1011.2221831026583
1999-04-29,1010.8298899742
1999-04-30,1008.023642097698
1999-05-03,1017.5351295305306
1999-05-04,1012.9508562521439
1999-05-05,1012.815015313443
1999-05-06,1018.7182435603261
1999-05-07,1025.7196974605424
1999-05-10,1026.620620044165
1999-05-11,1028.4027992423555
1999-05-12,1028.2755713267009
1999-05-13,1035.207041639335
1999-05-14,1026.7462210607785
1999-05-17,1008.0422401619956
1999-05-18,1010.2662340190427
1999-05-19,1026.7283349226345
1999-05-20,1025.9606237401456
1999-05-21,1030.349693767713
1999-05-24,1027.3212455654623
1999-05-25,1024.6200485430245
1999-05-26,1019.394110876348
1999-05-27,1012.0944411220639
1999-05-28,1014.2584423945768
1999-05-31,1018.2492878732671
1999-06-01,1016.3421090344423
1999-06-02,1019.1218709255146
1999-06-03,1031.0440823021402
1999-06-04,1032.5633202234994
1999-06-07,1035.4323546721316
1999-06-08,1030.076672486231
1999-06-09,1032.2016893289685
1999-06-10,1020.7798412136514
1999-06-11,1026.9060674367608
1999-06-14,1020.31680200843
1999-06-15,1025.5275474000468
1999-06-16,1026.1195012325747
1999-06-17,1026.5369887889628
1999-06-18,1038.169436141612
1999-06-21,1042.3466205220577
1999-06-22,1041.4407973762502
1999-06-23,1042.2370097847186
1999-06-24,1038.4874606896237
1999-06-25,1036.132881046744
1999-06-28,1035.536736305179
1999-06-29,1036.1569224149675
1999-06-30,1031.6457158377498
1999-07-01,1044.8737441496617
1999-07-02,1047.8569995303658
1999-07-05,1062.2034604916364
1999-07-06,1058.0306910074667
1999-07-07,1052.4311494828114
1999-07-08,1044.289035182201
1999-07-09,1044.0797217522195
1999-07-12,1043.9014894951076
1999-07-13,1027.4805715244083
1999-07-14,1019.2453274308276
1999-07-15,1030.0143275789264
1999-07-16,1029.105051736814
1999-07-19,1035.1179768547456
1999-07-20,1022.8405274128658
1999-07-21,1018.6837132991977
1999-07-22,1009.106281755926
1999-07-23,998.5864003813462
1999-07-26,989.2250854762868
1999-07-27,983.143136412598
1999-07-28,982.7736610648909
1999-07-29,956.3858955979798
1999-07-30,966.6725980680541
1999-08-02,967.630294630225
1999-08-03,972.2020660216693
1999-08-04,971.4299469324054
1999-08-05,951.7031922912519
1999-08-06,945.7547631761316
1999-08-09,961.9377773228094
1999-08-10,954.6523511368191
1999-08-11,965.4354007773705
1999-08-12,970.3352602126356
1999-08-13,984.9671076237587
1999-08-16,976.6550440494817
1999-08-17,988.1538043541111
1999-08-18,984.0724130479525
1999-08-19,983.5881163840023
1999-08-20,998.0187850863612
1999-08-23,996.6010495131479
1999-08-24,1006.3998207326588
1999-08-25,1014.1606466954714
1999-08-26,1014.2281217461377
1999-08-27,1025.4131701060164
1999-08-30,1021.0392314160102
1999-08-31,1006.2933414097052
1999-09-01,1014.5924217157881
1999-09-02,997.4194570182176
1999-09-03,1017.3161452911146
1999-09-06,1020.9878964531589
1999-09-07,1013.2389452705178
1999-09-08,1015.6812854001422
1999-09-09,1027.2398709827646
1999-09-10,1025.4905294241194
1999-09-13,1016.9135550641505
1999-09-14,1004.386851696079
1999-09-15,997.7433169909378
1999-09-16,990.3847676675252
1999-09-17,998.1329549345627
1999-09-20,998.1851898339276
1999-09-21,990.1933528242699
1999-09-22,993.1448254641041
1999-09-23,998.4205914993112
1999-09-24,989.2038961676395
1999-09-27,996.9168002309505
1999-09-28,991.3692285895548
