Date,NETHERLANDS IMI VALUE WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0019851304223
1999-01-04,1029.4043769586765
1999-01-05,1039.9472400901295
1999-01-06,1064.8584363750733
1999-01-07,1034.7208865182665
1999-01-08,1033.0928395135516
1999-01-11,1010.3555731598043
1999-01-12,996.2637216491239
1999-01-13,947.6426168993002
1999-01-14,959.9382684422354
1999-01-15,980.1547233211083
1999-01-18,1003.6174263864254
1999-01-19,1006.2540522987473
1999-01-20,1011.9932300348263
1999-01-21,999.9902688940031
1999-01-22,958.2265568355871
1999-01-25,964.3025379640825
1999-01-26,964.3319315395212
1999-01-27,971.5770520941679
1999-01-28,983.6681706239633
1999-01-29,973.3257815961742
1999-02-01,989.3477974005979
1999-02-02,980.382055366782
1999-02-03,972.0544155741255
1999-02-04,982.9089702468077
1999-02-05,995.3414220990051
1999-02-08,990.1772198884508
1999-02-09,973.606210189151
1999-02-10,963.492989346805
1999-02-11,971.4644082617104
1999-02-12,980.6039904993678
1999-02-15,981.5908644120154
1999-02-16,979.2162465767157
1999-02-17,963.7753197317153
1999-02-18,955.2094233089587
1999-02-19,965.8873686437461
1999-02-22,987.3699372537153
1999-02-23,1001.3445546990533
1999-02-24,1005.4182199336776
1999-02-25,996.9495372645827
1999-02-26,1001.0238990904147
1999-03-01,985.5965149665032
1999-03-02,983.2158545755665
1999-03-03,973.55368756835
1999-03-04,976.107329268938
1999-03-05,1000.9457996168672
1999-03-08,992.519441762628
1999-03-09,987.5828339557177
1999-03-10,986.7692306970824
1999-03-11,1004.3675694115577
1999-03-12,1014.4180759521253
1999-03-15,1017.7816909905016
1999-03-16,1026.445648724895
1999-03-17,1026.9187025487306
1999-03-18,1030.745714654506
1999-03-19,1050.6903098949263
1999-03-22,1051.2185984014686
1999-03-23,1033.2063060294997
1999-03-24,1018.7563065885613
1999-03-25,1031.460759920171
1999-03-26,1023.5028938072062
1999-03-29,1041.872193200337
1999-03-30,1038.3138639953027
1999-03-31,1040.9959315746305
1999-04-01,1034.9377710796377
1999-04-02,1034.991984225759
1999-04-05,1035.1971507906408
1999-04-06,1041.6394672253489
1999-04-07,1050.6035076095077
1999-04-08,1040.1028699186102
1999-04-09,1045.0925314571298
1999-04-12,1045.6651069332713
1999-04-13,1054.4522253403404
1999-04-14,1062.224955941035
1999-04-15,1064.9670900612152
1999-04-16,1086.1284920320948
1999-04-19,1110.324608284069
1999-04-20,1094.0327849077125
1999-04-21,1103.3803712393667
1999-04-22,1110.7129661304502
1999-04-23,1111.948008026365
1999-04-26,1120.4516570733329
1999-04-27,1139.257948212204
1999-04-28,1139.7376915091463
1999-04-29,1141.0612860037522
1999-04-30,1140.4831910268822
1999-05-03,1145.6672366393595
1999-05-04,1151.9915811668038
1999-05-05,1135.3346508955349
1999-05-06,1128.9915917307937
1999-05-07,1132.0138480026094
1999-05-10,1127.485359801916
1999-05-11,1126.045913912692
1999-05-12,1118.279790731982
1999-05-13,1118.9233850663734
1999-05-14,1111.836400274028
1999-05-17,1096.622632756182
1999-05-18,1101.5251506242262
1999-05-19,1111.6314209321606
1999-05-20,1121.8776454684455
1999-05-21,1129.4021069293055
1999-05-24,1127.9436749082656
1999-05-25,1121.0724362341823
1999-05-26,1119.7212223639917
1999-05-27,1110.2731267682677
1999-05-28,1108.2951651443718
1999-05-31,1109.7938835493972
1999-06-01,1107.7008398123708
1999-06-02,1112.3300390018353
1999-06-03,1127.346746268151
1999-06-04,1133.4934649515833
1999-06-07,1140.4518650706784
1999-06-08,1134.2434501811597
1999-06-09,1136.5767065812602
1999-06-10,1130.2769032327074
1999-06-11,1137.7069263098729
1999-06-14,1134.848816613049
1999-06-15,1134.7008643363954
1999-06-16,1146.2054711881724
1999-06-17,1149.5622795288277
1999-06-18,1155.8218196047453
1999-06-21,1167.0978433810753
1999-06-22,1157.4847556599154
1999-06-23,1149.2892072283257
1999-06-24,1140.8768595331817
1999-06-25,1130.8236840347074
1999-06-28,1134.4329659501577
1999-06-29,1139.1463273752365
1999-06-30,1134.880198075794
1999-07-01,1149.622349034074
1999-07-02,1151.6163834230938
1999-07-05,1173.9280567124313
1999-07-06,1172.5588230094525
1999-07-07,1169.8926537732573
1999-07-08,1171.878506240965
1999-07-09,1184.4852902020987
1999-07-12,1190.8838901092138
1999-07-13,1178.8259441246878
1999-07-14,1191.0739094737096
1999-07-15,1199.671305564102
1999-07-16,1190.987839403473
1999-07-19,1190.927378226166
1999-07-20,1166.5697127454869
1999-07-21,1151.2694356752463
1999-07-22,1135.275305944984
1999-07-23,1129.886920092763
1999-07-26,1116.3517296491993
1999-07-27,1119.3435743768136
1999-07-28,1124.5209310843588
1999-07-29,1106.8158327345993
1999-07-30,1121.927005696288
1999-08-02,1106.4969668278204
1999-08-03,1098.7891441345985
1999-08-04,1101.9699639186786
1999-08-05,1087.0390416305313
1999-08-06,1099.1006365356322
1999-08-09,1112.5580404856871
1999-08-10,1099.4465980353557
1999-08-11,1107.1536793558362
1999-08-12,1133.1113639862658
1999-08-13,1153.9724059886792
1999-08-16,1157.8079233736046
1999-08-17,1168.5787476837863
1999-08-18,1164.1992142733584
1999-08-19,1147.2566433443358
1999-08-20,1154.1965592243046
1999-08-23,1169.8148623096504
1999-08-24,1171.2074388139629
1999-08-25,1188.2571672926422
1999-08-26,1186.2616841628032
1999-08-27,1181.5865327980707
1999-08-30,1182.124036089048
1999-08-31,1161.5754218256131
1999-09-01,1162.5236818441783
1999-09-02,1148.277760982843
1999-09-03,1171.6151441072052
1999-09-06,1185.261864748192
1999-09-07,1181.9768134681221
1999-09-08,1176.2475696604956
1999-09-09,1187.924625283812
1999-09-10,1196.3964984020927
1999-09-13,1187.2220135077887
1999-09-14,1178.787645154686
1999-09-15,1178.3661985373283
1999-09-16,1167.7205349319158
1999-09-17,1158.243561135202
1999-09-20,1165.824428057507
1999-09-21,1140.8634457391336
1999-09-22,1140.4916970558306
1999-09-23,1142.884149920069
1999-09-24,1121.9000192360406
1999-09-27,1135.186996928709
1999-09-28,1122.1275571888666
1999-09-29,1121.1064127497164
1999-09-30,1111.2767543718894
1999-10-01,1100.849098833629
1999-10-04,1118.059705237994
1999-10-05,1124.3549700762364
1999-10-06,1126.6141638742172
1999-10-07,1129.1173386982916
1999-10-08,1124.987625455237
1999-10-11,1134.7489794711344
1999-10-12,1131.228647373918
1999-10-13,1126.1316452692638
1999-10-14,1119.4834968613434
1999-10-15,1101.343396283736
1999-10-18,1084.3104148713749
1999-10-19,1100.3388711935415
1999-10-20,1109.6403876274992
1999-10-21,1100.793272174707
1999-10-22,1119.4572871180185
1999-10-25,1118.5429505179
1999-10-26,1125.2206965572127
1999-10-27,1123.7880700751484
1999-10-28,1151.623541220462
1999-10-29,1157.5707900305924
1999-11-01,1151.8968874764066
1999-11-02,1154.6152864308408
1999-11-03,1171.5234541890782
1999-11-04,1178.0442081769684
1999-11-05,1173.4022399950763
1999-11-08,1173.5840156976146
1999-11-09,1180.5241567514156
1999-11-10,1189.8712457352033
1999-11-11,1200.4342201644272
1999-11-12,1190.9689685281787
1999-11-15,1207.8863083592457
1999-11-16,1219.5434748217
1999-11-17,1219.5775559168844
1999-11-18,1227.1251923852853
1999-11-19,1224.2242549207444
1999-11-22,1214.540616700783
1999-11-23,1210.5062059986253
1999-11-24,1206.4829736320419
1999-11-25,1223.2222223695635
1999-11-26,1224.2367315323079
1999-11-29,1221.962365137991
1999-11-30,1202.5535497585856
1999-12-01,1202.1797088719002
1999-12-02,1209.9145509845468
1999-12-03,1225.3199884545431
1999-12-06,1214.0954746513414
1999-12-07,1211.0427343270362
1999-12-08,1204.8848866568883
1999-12-09,1215.206388404914
1999-12-10,1219.6564198557553
1999-12-13,1227.940011503846
1999-12-14,1230.9213747167194
1999-12-15,1232.7604795635366
1999-12-16,1241.3404476899182
1999-12-17,1250.622464193012
1999-12-20,1262.5741830405075
1999-12-21,1259.3090608282814
1999-12-22,1270.7758449249627
1999-12-23,1282.118732563203
1999-12-24,1285.597997581994
1999-12-27,1284.8987493834613
1999-12-28,1283.9376606713668
1999-12-29,1292.8582809979046
1999-12-30,1307.0484861942405
1999-12-31,1307.228204229242
2000-01-03,1308.8021060515036
2000-01-04,1257.4137263888595
2000-01-05,1245.7736619378725
2000-01-06,1240.8622066174644
2000-01-07,1275.8910880432657
2000-01-10,1289.9302855413305
2000-01-11,1279.7920055900809
2000-01-12,1262.7194729647745
2000-01-13,1262.432749047198
2000-01-14,1280.8202396057477
2000-01-17,1281.6669900588208
2000-01-18,1259.933060173784
2000-01-19,1252.6384408622675
2000-01-20,1245.419564094858
2000-01-21,1240.8310977676874
2000-01-24,1249.4918658948516
2000-01-25,1237.7024888018675
2000-01-26,1236.0603581088944
2000-01-27,1232.6983025096483
2000-01-28,1222.8250948736752
2000-01-31,1186.286760986888
2000-02-01,1200.099685527416
2000-02-02,1214.5260380967557
2000-02-03,1243.640881261952
2000-02-04,1254.1943708941656
2000-02-07,1244.2675741125154
2000-02-08,1262.4859798121824
2000-02-09,1253.9529107292212
2000-02-10,1244.7090682779387
2000-02-11,1245.5150635497587
2000-02-14,1232.2816808625173
2000-02-15,1239.8979164763775
2000-02-16,1256.6652582156953
2000-02-17,1272.3210035393677
2000-02-18,1252.619615891351
2000-02-21,1243.920633954012
2000-02-22,1242.1323996535602
2000-02-23,1252.4782483905435
2000-02-24,1248.470599575844
2000-02-25,1260.5046288312765
2000-02-28,1248.3855099532605
2000-02-29,1261.843186058248
2000-03-01,1265.625372266506
2000-03-02,1274.9421687112392
