Date,CHINA A INCLUSION
2017-08-31,1000.0
2017-09-01,1006.8841037388619
2017-09-04,1016.2930396192951
2017-09-05,1016.9422936486488
2017-09-06,1016.5130460833042
2017-09-07,1018.173669525022
2017-09-08,1013.6481566291241
2017-09-11,1011.3879832402301
2017-09-12,1013.3427427598396
2017-09-13,1014.3990664312578
2017-09-14,1008.6743510016674
2017-09-15,1010.3019078897603
2017-09-18,1009.7701681424533
2017-09-19,1005.8533183381312
2017-09-20,1011.4443713759738
2017-09-21,1007.574878204335
2017-09-22,1009.2088079017219
2017-09-25,998.8110501385412
2017-09-26,996.3623705959335
2017-09-27,995.4396411440016
2017-09-28,993.2775741263881
2017-09-29,997.859447667175
2017-10-02,994.508039136075
2017-10-03,995.1347123687929
2017-10-04,997.927006532076
2017-10-05,997.9945745455778
2017-10-06,997.6043078196797
2017-10-09,1012.8810475683689
2017-10-10,1023.8704214228331
2017-10-11,1025.9277686354187
2017-10-12,1027.7705995346184
2017-10-13,1031.1669312434929
2017-10-16,1029.9416705913059
2017-10-17,1023.2012854467912
2017-10-18,1029.9524436958977
2017-10-19,1029.4057752493409
2017-10-20,1027.1956840449545
2017-10-23,1023.4009070712146
2017-10-24,1031.2723123484695
2017-10-25,1035.5569105661145
2017-10-26,1039.6629511254228
2017-10-27,1046.569232585718
2017-10-30,1044.2689609275822
2017-10-31,1045.1076357580382
2017-11-01,1047.0006778884176
2017-11-02,1047.193764263921
2017-11-03,1042.1693616841694
2017-11-06,1048.9116665677195
2017-11-07,1055.5466887383116
2017-11-08,1055.342597115438
2017-11-09,1057.1249497209833
2017-11-10,1064.3066503651462
2017-11-13,1068.7230702718743
2017-11-14,1062.9004621361037
2017-11-15,1058.489852539458
2017-11-16,1064.9563526268755
2017-11-17,1069.110807652944
2017-11-20,1073.3327408967123
2017-11-21,1093.549377443016
2017-11-22,1100.4983029615685
2017-11-23,1073.4976910210921
2017-11-24,1072.71281113555
2017-11-27,1058.1903352105005
2017-11-28,1058.8743512562096
2017-11-29,1056.954078209504
2017-11-30,1039.149439837765
2017-12-01,1037.167666353849
2017-12-04,1042.4634127606041
2017-12-05,1045.0256477032258
2017-12-06,1038.8621043867956
2017-12-07,1027.4845989222788
2017-12-08,1033.7415367906976
2017-12-11,1051.4442722032259
2017-12-12,1036.3188494074661
2017-12-13,1046.8768554327
2017-12-14,1039.5236514771602
2017-12-15,1028.904758860077
2017-12-18,1029.9304458438023
2017-12-19,1042.8924903685809
2017-12-20,1048.2462339458748
2017-12-21,1058.2379140127862
2017-12-22,1055.2901378452002
2017-12-25,1052.422158851236
2017-12-26,1059.9994592964038
2017-12-27,1042.299974579012
2017-12-28,1054.5362691565088
2017-12-29,1061.2259087714026
2018-01-01,1061.2259087714026
2018-01-02,1078.6619470336163
2018-01-03,1084.7420314431718
2018-01-04,1090.6968322810385
2018-01-05,1093.911750684411
2018-01-08,1097.4743959855361
2018-01-09,1098.7452630289936
2018-01-10,1107.1669853927983
2018-01-11,1110.03300470609
2018-01-12,1119.9087066389502
2018-01-15,1125.909341771833
2018-01-16,1134.114735947511
2018-01-17,1132.6229607183525
2018-01-18,1141.8050826067195
2018-01-19,1148.325961232263
2018-01-22,1160.6426766715176
2018-01-23,1173.8367285299141
2018-01-24,1183.1356375626904
2018-01-25,1187.6964074337045
2018-01-26,1187.4626172940236
2018-01-29,1162.7461797705103
2018-01-30,1152.5683757968013
2018-01-31,1166.029147699363
2018-02-01,1157.696339128926
2018-02-02,1161.1616509676662
2018-02-05,1167.098268991841
2018-02-06,1133.4687804593334
2018-02-07,1105.1953229717187
2018-02-08,1080.4809544069371
2018-02-09,1041.993611278026
2018-02-12,1052.390720926796
2018-02-13,1064.9657793744166
2018-02-14,1075.266203075119
2018-02-15,1080.3542674516168
2018-02-16,1080.0192898601642
2018-02-19,1076.612639963079
2018-02-20,1071.3822019630225
2018-02-21,1072.5325977459274
2018-02-22,1090.5113867911937
2018-02-23,1096.8980534992909
2018-02-26,1112.011557708236
2018-02-27,1093.5948178834815
2018-02-28,1082.058690346281
2018-03-01,1083.040518619962
2018-03-02,1076.6720341649525
2018-03-05,1077.1533985036954
2018-03-06,1093.8645800893357
2018-03-07,1083.3543629014055
2018-03-08,1090.013390192354
2018-03-09,1101.5529634933025
2018-03-12,1105.4251043641214
2018-03-13,1097.3135466909368
2018-03-14,1094.8601611366955
2018-03-15,1097.761649791742
2018-03-16,1086.7407316540032
2018-03-19,1091.6065950399768
2018-03-20,1091.0894765235155
2018-03-21,1089.5616338542354
2018-03-22,1075.6649325698304
2018-03-23,1051.4325260440967
2018-03-26,1051.3062880676716
2018-03-27,1056.9473899010036
2018-03-28,1036.765892656518
2018-03-29,1050.430593121953
2018-03-30,1049.9124796493675
2018-04-02,1049.1391027988968
2018-04-03,1041.9517110106622
2018-04-04,1032.7615112795631
2018-04-05,1032.204395531269
2018-04-06,1030.7815676391485
2018-04-09,1030.5815533880934
2018-04-10,1055.804956809564
2018-04-11,1061.1183352516296
2018-04-12,1048.0101270925395
2018-04-13,1041.6331127904375
2018-04-16,1025.116922491016
2018-04-17,1007.1471742937339
2018-04-18,1012.8538635001624
2018-04-19,1025.2122390986947
2018-04-20,1008.3922769058909
2018-04-23,1006.8440877904251
2018-04-24,1028.6487693061097
2018-04-25,1020.4409543572195
2018-04-26,1002.5389290616833
2018-04-27,1004.0395640151107
2018-04-30,1005.2789130627228
2018-05-01,1002.0755949976736
2018-05-02,1000.5080330741082
2018-05-03,1009.3750279596417
2018-05-04,1004.5125774769203
2018-05-07,1020.7959148149407
2018-05-08,1032.5581073797407
2018-05-09,1030.8762244787436
2018-05-10,1040.7988134279497
2018-05-11,1038.8287567737218
2018-05-14,1048.9612188674998
2018-05-15,1048.1503463713561
2018-05-16,1039.7923298393885
2018-05-17,1032.9976431884368
2018-05-18,1042.4346807378079
2018-05-21,1045.7459239736252
2018-05-22,1044.7055875233668
2018-05-23,1027.0954416746024
2018-05-24,1019.4326883781223
2018-05-25,1017.0990569817667
2018-05-28,1020.6503479111811
2018-05-29,1009.734963054344
2018-05-30,990.2616309094931
2018-05-31,993.9860607728223
2018-06-01,984.7409137437149
2018-06-04,996.2371145016725
