Date,UNITED ARAB EMIRATES DOMESTIC
2006-03-10,766.8223245571572
2006-03-13,734.232723846665
2006-03-14,689.0173509161257
2006-03-15,687.2725335406114
2006-03-16,715.5256448403003
2006-03-17,715.5256448403004
2006-03-20,746.1900098730921
2006-03-21,753.6245410386038
2006-03-22,749.858338651721
2006-03-23,750.2505590912355
2006-03-24,750.2709868571594
2006-03-27,770.737549355682
2006-03-28,778.4754009722001
2006-03-29,791.2542753834904
2006-03-30,803.3611021432962
2006-03-31,803.3720389223057
2006-04-03,827.8959931287666
2006-04-04,828.7088835997271
2006-04-05,836.6421033817621
2006-04-06,832.5517852302467
2006-04-07,832.6197893512359
2006-04-10,824.9385860689786
2006-04-11,806.7540206270501
2006-04-12,781.81578921293
2006-04-13,780.8895158150785
2006-04-14,780.8895158150785
2006-04-17,744.02297400938
2006-04-18,731.0212048578876
2006-04-19,716.1978610832351
2006-04-20,713.3169696585538
2006-04-21,713.2975491039756
2006-04-24,680.0436614089812
2006-04-25,697.4678361771703
2006-04-26,697.1476927683067
2006-04-27,677.769843841334
2006-04-28,677.7144885780343
2006-05-01,669.3201230811229
2006-05-02,664.5643545547083
2006-05-03,647.8142667949652
2006-05-04,643.584957886607
2006-05-05,643.5499137832643
2006-05-08,596.572330787675
2006-05-09,601.5086490430211
2006-05-10,574.4680349234
2006-05-11,548.2480903164092
2006-05-12,548.2331630649848
2006-05-15,575.2958833225578
2006-05-16,574.5930298471841
2006-05-17,577.1921554015402
2006-05-18,582.1718309636386
2006-05-19,582.1718309636386
2006-05-22,596.8395060518392
2006-05-23,590.1303600748807
2006-05-24,588.9367766174356
2006-05-25,587.896500344573
2006-05-26,587.8884958718946
2006-05-29,601.5972619149823
2006-05-30,597.6451544038556
2006-05-31,612.6987281671973
2006-06-01,623.7743228675022
2006-06-02,623.7658314052869
2006-06-05,639.7984742320898
2006-06-06,646.0953800352245
2006-06-07,630.2515307126348
2006-06-08,609.7277010329437
2006-06-09,609.7360013909855
2006-06-12,622.5442739280749
2006-06-13,616.6294299010352
2006-06-14,601.2676931629179
2006-06-15,606.2962654189288
2006-06-16,606.2962654189288
2006-06-19,592.2786421824245
2006-06-20,596.9534342802399
2006-06-21,599.3358523378112
2006-06-22,602.2293733360891
2006-06-23,602.229373336089
2006-06-26,577.6333477835548
2006-06-27,582.9744296542144
2006-06-28,586.5308980087627
2006-06-29,576.8508835682912
2006-06-30,576.8508835682912
2006-07-03,579.1999224071283
2006-07-04,573.1052766565906
2006-07-05,573.6058865613297
2006-07-06,579.619775315366
2006-07-07,579.6039949754493
2006-07-10,577.4257871063139
2006-07-11,582.7412293036821
2006-07-12,587.3807303492166
2006-07-13,589.8700477208932
2006-07-14,589.8700477208932
2006-07-17,577.8307814446396
2006-07-18,583.3740707345493
2006-07-19,583.5440382200463
2006-07-20,579.6510215138183
2006-07-21,579.6510215138183
2006-07-24,577.0419189215219
2006-07-25,577.196108936238
2006-07-26,565.7055700789531
2006-07-27,557.4037330201044
2006-07-28,557.3885575192803
2006-07-31,563.834911990456
2006-08-01,564.351888659777
2006-08-02,561.0184317429523
2006-08-03,560.0970267840763
2006-08-04,560.0970267840763
2006-08-07,561.6489884626253
2006-08-08,565.1735506196451
2006-08-09,568.1792336155032
2006-08-10,570.6641111549926
2006-08-11,570.6796480969917
2006-08-14,576.4731815043936
2006-08-15,580.5577887990248
2006-08-16,579.9604811577486
2006-08-17,591.6536524518334
2006-08-18,591.6536524518334
2006-08-21,590.7352190993413
2006-08-22,597.108031205679
2006-08-23,605.0587592323944
2006-08-24,609.9892143390771
2006-08-25,609.9892143390771
2006-08-28,616.7395287193677
2006-08-29,621.473505388711
2006-08-30,623.7708566964144
2006-08-31,630.0666254506278
2006-09-01,630.0666254506278
2006-09-04,647.5574300554815
2006-09-05,652.7922401828803
2006-09-06,652.2930017659667
2006-09-07,657.5383066427203
2006-09-08,657.5562093152129
2006-09-11,637.0371863159005
2006-09-12,643.944371433384
2006-09-13,644.7605195388985
2006-09-14,652.5386192641251
2006-09-15,652.5386192641251
2006-09-18,638.6406514767774
2006-09-19,627.0419743939316
2006-09-20,626.7826771907808
2006-09-21,621.4682933733084
2006-09-22,621.4682933733084
2006-09-25,612.3352635581308
2006-09-26,620.4063147041784
2006-09-27,627.5516291344859
2006-09-28,625.1077329068953
2006-09-29,625.1077329068953
2006-10-02,630.1560291962354
2006-10-03,630.2880934959644
2006-10-04,629.2856222898519
2006-10-05,623.039721236493
2006-10-06,623.039721236493
2006-10-09,622.9733195684197
2006-10-10,629.6620670927107
2006-10-11,629.0299513157485
2006-10-12,628.4285885820683
2006-10-13,628.4285885820683
2006-10-16,617.9726813788187
2006-10-17,618.8599726865674
2006-10-18,616.148123220767
2006-10-19,618.1141824207734
2006-10-20,618.1141824207734
2006-10-23,618.1310117000095
2006-10-24,618.1141824207734
2006-10-25,618.1141824207734
2006-10-26,618.1141824207734
2006-10-27,618.1141824207734
2006-10-30,614.2318637870038
2006-10-31,606.3989641967127
2006-11-01,598.2177141596527
2006-11-02,583.6006860520495
2006-11-03,583.616575206164
2006-11-06,559.9710748182843
2006-11-07,547.2185366894212
2006-11-08,552.8334560861828
2006-11-09,549.3782053135935
2006-11-10,549.3707268120033
2006-11-13,553.6958155452594
2006-11-14,548.4926011817473
2006-11-15,548.8041854159667
2006-11-16,551.2279917667387
2006-11-17,551.2279917667387
2006-11-20,538.9163791752744
2006-11-21,537.3601619287149
2006-11-22,532.8134631774302
2006-11-23,525.580694572816
2006-11-24,525.5950040704834
2006-11-27,527.4021269413603
2006-11-28,525.7115709887674
2006-11-29,515.7390918120267
2006-11-30,520.4715111520283
2006-12-01,520.4573405644502
2006-12-04,512.5809858379514
2006-12-05,516.4504872765527
2006-12-06,526.4847382675041
2006-12-07,535.8670255396095
2006-12-08,535.8232568774546
2006-12-11,537.3732373103086
2006-12-12,535.9744931157284
2006-12-13,541.0740177581947
2006-12-14,544.3094509269615
2006-12-15,544.3242711420844
2006-12-18,546.6676781274002
2006-12-19,542.9981124266255
2006-12-20,531.1736202721312
2006-12-21,527.0762392881187
2006-12-22,527.0905902850362
2006-12-25,518.2293008443039
2006-12-26,518.2204726882294
2006-12-27,524.8060263182679
2006-12-28,527.8891928490374
2006-12-29,527.8891928490374
2007-01-01,527.8891928490374
2007-01-02,527.4361883159422
2007-01-03,530.1944749310741
2007-01-04,540.0650809470716
2007-01-05,540.0430254713999
2007-01-08,539.4143675781486
2007-01-09,540.3784962613314
2007-01-10,534.1925636646338
2007-01-11,532.276572115489
2007-01-12,532.276572115489
2007-01-15,524.6716189707332
2007-01-16,525.2972889160441
2007-01-17,526.2192140418314
2007-01-18,528.099764975322
2007-01-19,528.1141438403408
2007-01-22,530.6624063245918
2007-01-23,539.2957721975043
2007-01-24,543.213771838578
2007-01-25,547.2043472732714
2007-01-26,547.2043472732714
2007-01-29,541.7149360640822
2007-01-30,537.8304464932788
2007-01-31,529.952345001127
