Date,CHINA A RMB
2008-11-25,1000.0
2008-11-26,1006.1421958790243
2008-11-27,1018.5484653356536
2008-11-28,995.8994120806914
2008-12-01,998.495934733855
2008-12-02,993.5521339697012
2008-12-03,1037.560003216728
2008-12-04,1056.81817752801
2008-12-05,1067.0210124998528
2008-12-08,1107.7156286869858
2008-12-09,1081.3667421562159
2008-12-10,1108.7959483509007
2008-12-11,1085.6099816926253
2008-12-12,1043.4374439229364
2008-12-15,1048.0311373342888
2008-12-16,1054.3164037020313
2008-12-17,1057.5253636977893
2008-12-18,1081.6735056580892
2008-12-19,1081.031434594487
2008-12-22,1059.4101560895595
2008-12-23,1011.191453910769
2008-12-24,996.0257662519842
2008-12-25,988.4075847994999
2008-12-26,985.7639808069695
2008-12-29,980.9222496400461
2008-12-30,972.5597892852071
2008-12-31,970.2461648276729
2009-01-01,970.2461648276729
2009-01-02,970.2461648276729
2009-01-05,1001.6959495048087
2009-01-06,1029.6031375848138
2009-01-07,1021.4461824731729
2009-01-08,997.1854823484352
2009-01-09,1009.7952034885897
2009-01-12,1005.7325720734148
2009-01-13,985.1551690527066
2009-01-14,1022.693255001455
2009-01-15,1016.8249975790044
2009-01-16,1035.541376224788
2009-01-19,1052.58367334397
2009-01-20,1055.6167911748307
2009-01-21,1048.1791994348905
2009-01-22,1057.790482398965
2009-01-23,1051.4799805731498
2009-01-26,1051.4799805731498
2009-01-27,1051.4799805731498
2009-01-28,1051.4799805731498
2009-01-29,1051.4799805731498
2009-01-30,1051.4799805731498
2009-02-02,1059.294210898203
2009-02-03,1087.9575231493598
2009-02-04,1117.0762170821881
2009-02-05,1113.642387936671
2009-02-06,1155.2471062741997
2009-02-09,1181.4344815510415
2009-02-10,1193.3489834501086
2009-02-11,1195.8663072859263
2009-02-12,1184.4375012882629
2009-02-13,1225.2130677141447
2009-02-16,1259.8434732792332
2009-02-17,1221.3780068906415
2009-02-18,1161.6021502071376
2009-02-19,1171.7093948534682
2009-02-20,1187.9295354728665
2009-02-23,1212.3912745474884
2009-02-24,1154.0504330015633
2009-02-25,1155.3510458020517
2009-02-26,1110.9950518667806
2009-02-27,1096.8006538672653
2009-03-02,1101.78477047359
2009-03-03,1087.0703349708938
2009-03-04,1156.2915786388076
2009-03-05,1165.6827816386026
2009-03-06,1152.9072694012466
2009-03-09,1113.63229337818
2009-03-10,1133.6385654506487
2009-03-11,1123.262460225454
2009-03-12,1120.2457329990634
2009-03-13,1118.329192153369
2009-03-16,1134.1132037742552
2009-03-17,1170.2431566066894
2009-03-18,1172.7733983201683
2009-03-19,1195.6567650417146
2009-03-20,1193.764007388076
2009-03-23,1220.478510047786
2009-03-24,1228.2846838746998
2009-03-25,1202.05495144518
2009-03-26,1241.0192290705525
2009-03-27,1249.1052765569557
2009-03-30,1239.21411912775
2009-03-31,1249.151614457865
2009-04-01,1267.9759423402268
2009-04-02,1283.6923628514496
2009-04-03,1283.3649149552325
2009-04-06,1283.3649149552325
2009-04-07,1287.8992403135278
2009-04-08,1240.034852417014
2009-04-09,1258.882526765683
2009-04-10,1292.5935178560535
2009-04-13,1329.7457939932467
2009-04-14,1337.257729936049
2009-04-15,1336.6046448770503
2009-04-16,1334.8792434761851
2009-04-17,1318.6421156701886
2009-04-20,1347.6984716067377
2009-04-21,1331.601899235061
2009-04-22,1292.0888317735316
2009-04-23,1297.1822358374134
2009-04-24,1291.1160547536751
2009-04-27,1265.6398754855613
2009-04-28,1264.1715013290332
2009-04-29,1307.651095973874
2009-04-30,1313.4668290279042
2009-05-01,1313.4668290279042
2009-05-04,1358.4791581242002
2009-05-05,1361.1272637189966
2009-05-06,1376.915330928246
2009-05-07,1377.6678280966626
2009-05-08,1390.5692057218214
2009-05-11,1365.3523815528313
