Date,CHINA WITH PARTIAL A SHARES
2008-11-27,1057.6602816077009
2008-11-28,1074.530443158166
2008-12-30,1168.4477150783296
2008-12-31,1183.9080386877556
2009-01-29,1075.0762214915846
2009-01-30,1089.7543123552584
2009-02-26,1070.6955631713224
2009-02-27,1057.2573668486098
2009-03-30,1187.6928210745184
2009-03-31,1205.9179381318822
2009-04-29,1302.5454190155986
2009-04-30,1337.1114912549924
2009-05-28,1529.5930647433333
2009-05-29,1563.1328716846215
2009-06-29,1650.0139174615185
2009-06-30,1631.6407613976603
2009-07-30,1784.8912455799043
2009-07-31,1811.5097705265534
2009-08-28,1704.2455597838825
2009-08-31,1675.2941406896537
2009-09-29,1767.5347058223474
2009-09-30,1754.9036752759157
2009-10-29,1829.3871154792475
2009-10-30,1868.9505137082353
2009-11-27,1853.538913408649
2009-11-30,1917.8284019220698
2009-12-30,1888.9345096016773
2009-12-31,1927.9570467816131
2010-01-28,1779.1618657160282
2010-01-29,1760.8068504082541
2010-02-25,1781.4047727564332
2010-02-26,1802.5728044735229
2010-03-30,1909.1634304111092
2010-03-31,1899.6197968163776
2010-04-29,1850.6138672588409
2010-04-30,1890.8158183131613
2010-05-28,1779.1879451279258
2010-05-31,1784.5158660468653
2010-06-29,1803.9808326183743
2010-06-30,1805.2252637120548
2010-07-29,1890.1844098343902
2010-07-30,1888.7437000369005
2010-08-30,1850.6984601121537
2010-08-31,1837.1933194855958
2010-09-29,2004.495294165289
2010-09-30,2000.3734552353753
2010-10-28,2088.901092793994
2010-10-29,2083.999257021441
2010-11-29,2051.2488548495226
2010-11-30,2036.0844308482742
2010-12-30,2006.2775370754882
2010-12-31,2022.4542303461849
2011-01-28,2016.8615125336164
2011-01-31,2011.0969290361857
2011-02-25,1943.7419099903254
2011-02-28,1976.5444274546614
2011-03-30,2063.593450286486
2011-03-31,2078.086889179563
2011-04-28,2120.9736838276194
2011-04-29,2112.216287820952
2011-05-30,2079.8050560764345
2011-05-31,2119.372844196048
2011-06-29,2014.7593726396587
2011-06-30,2043.6866987045403
2011-07-28,2046.3807884941634
2011-07-29,2027.3158225941645
2011-08-30,1805.3363414900628
2011-08-31,1841.1660586643127
2011-09-29,1580.605511339766
2011-09-30,1535.212742057961
2011-10-28,1782.7998822830784
2011-10-31,1762.648911267982
2011-11-29,1640.7157246528684
2011-11-30,1616.620632365319
2011-12-29,1651.5208474393905
2011-12-30,1654.8796234460006
2012-01-30,1804.0992704660111
2012-01-31,1829.6977341983604
2012-02-28,1938.7448776358024
2012-02-29,1948.003140469925
2012-03-29,1797.732209926643
2012-03-30,1814.1840169781237
2012-04-27,1850.4255950314007
2012-04-30,1879.9358803269627
2012-05-30,1689.4152297641956
2012-05-31,1685.3640975203787
2012-06-28,1678.771509711855
2012-06-29,1717.2966442858437
2012-07-30,1714.9460005773374
2012-07-31,1738.963067058168
2012-08-30,1690.5446250397072
2012-08-31,1682.9459619797392
2012-09-27,1779.773517598791
2012-09-28,1792.2895998232032
2012-10-30,1869.2517501664606
2012-10-31,1891.594791762685
2012-11-29,1907.7204196454059
2012-11-30,1924.0719093973366
2012-12-28,2019.652758539537
2012-12-31,2026.1386048496825
2013-01-30,2122.8538807319924
2013-01-31,2111.374848506965
2013-02-27,1984.7234359477025
2013-02-28,2031.7730980387855
2013-03-28,1938.7258709191185
2013-03-29,1938.490899562001
2013-04-29,1939.8125885226946
2013-04-30,1960.0602795280367
2013-05-30,1960.7449930375626
2013-05-31,1950.9051845047586
2013-06-27,1766.1151811384639
2013-06-28,1808.1093435599385
2013-07-30,1884.588898125118
2013-07-31,1878.3197598413524
2013-08-29,1920.0678956728493
2013-08-30,1926.1360505897608
2013-09-27,2054.6327181618726
2013-09-30,2025.7499447870177
2013-10-30,2078.6024137002455
2013-10-31,2076.115665049373
2013-11-28,2158.1999958459473
2013-11-29,2175.7704277846233
2013-12-30,2094.2063453478154
2013-12-31,2104.4197149548945
2014-01-01,2104.4197149548945
2014-01-02,2101.5887026886285
2014-01-03,2056.3841132110933
2014-01-06,2031.8099037698198
2014-01-07,2022.418276357246
2014-01-08,2046.6610675711618
2014-01-09,2021.6854065949333
2014-01-10,2024.8260740678966
2014-01-13,2030.9341573352756
2014-01-14,2022.487087565591
2014-01-15,2034.4368659905997
2014-01-16,2034.8761326713097
2014-01-17,2038.020140819274
2014-01-20,2014.876697842335
2014-01-21,2030.5771751993848
2014-01-22,2049.810365913466
2014-01-23,2021.0146312718591
2014-01-24,1990.314424216584
2014-01-27,1941.757359939032
2014-01-28,1944.4525622800284
2014-01-29,1977.39841874587
2014-01-30,1967.7048106944449
2014-01-31,1967.7539203370352
2014-02-03,1967.8644262832024
2014-02-04,1901.1085275024625
2014-02-05,1896.721746729604
2014-02-06,1909.0350621540179
2014-02-07,1937.9635911953405
2014-02-10,1940.6444318750123
2014-02-11,1974.5952073739154
2014-02-12,1998.5154930230055
2014-02-13,1984.431658021473
2014-02-14,1997.1218484461617
2014-02-17,2026.400550530928
2014-02-18,2019.3292146342328
2014-02-19,2020.7012821099916
2014-02-20,1997.0703702170083
2014-02-21,1999.963468851288
2014-02-24,1974.5978453894406
2014-02-25,1963.529303403143
2014-02-26,1981.8959433661425
2014-02-27,2014.4910265408537
2014-02-28,2014.4543193226918
2014-03-03,1989.6157427256892
2014-03-04,1997.470656707818
2014-03-05,1983.2873900579539
2014-03-06,1996.9929565377784
2014-03-07,1994.8234452392926
2014-03-10,1954.5592233041511
2014-03-11,1955.9042733759588
2014-03-12,1923.8976823621358
2014-03-13,1913.2464944244857
2014-03-14,1890.19401304116
2014-03-17,1884.0794700065403
2014-03-18,1901.144427640337
2014-03-19,1900.0938820646072
2014-03-20,1868.6937955313936
2014-03-21,1899.2941764118611
2014-03-24,1940.3987540200753
2014-03-25,1922.732933908687
2014-03-26,1942.0700607580395
2014-03-27,1933.7852667500867
2014-03-28,1962.6534538041767
2014-03-31,1977.3539953513623
2014-04-01,1995.9310337000188
2014-04-02,1995.2397433822064
2014-04-03,1998.2696374855166
2014-04-04,1986.116192923936
2014-04-07,1985.0427357229537
2014-04-08,2012.7220200056413
2014-04-09,2032.1199632615255
2014-04-10,2060.5001666079693
2014-04-11,2023.5404096475058
2014-04-14,2022.6200801345467
2014-04-15,1984.1397694731986
