Date,CHINA 50
2006-11-30,745.94178558
2006-12-01,741.99811781
2006-12-04,742.38807568
2006-12-05,757.70502408
2006-12-06,762.81550537
2006-12-07,756.41443463
2006-12-08,749.5490957
2006-12-11,760.04374298
2006-12-12,761.29783746
2006-12-13,752.53496863
2006-12-14,764.53065304
2006-12-15,773.26111176
2006-12-18,789.29857546
2006-12-19,779.40850451
2006-12-20,798.23752292
2006-12-21,799.69198257
2006-12-22,806.22334623
2006-12-25,806.22334623
2006-12-26,806.0264182
2006-12-27,852.54848774
2006-12-28,862.53467326
2006-12-29,860.57154675
2007-01-01,860.57154675
2007-01-02,884.52879308
2007-01-03,894.95454165
2007-01-04,863.34257606
2007-01-05,857.72560903
2007-01-08,842.70171703
2007-01-09,831.8116137
2007-01-10,810.07923105
2007-01-11,799.42542821
2007-01-12,812.9402071
2007-01-15,837.7738636
2007-01-16,839.62939221
2007-01-17,832.11015574
2007-01-18,838.15185228
2007-01-19,833.57307632
2007-01-22,853.83786308
2007-01-23,851.15592308
2007-01-24,859.57479186
2007-01-25,847.25672226
2007-01-26,824.40122362
2007-01-29,823.91365
2007-01-30,834.11831497
2007-01-31,819.87029364
2007-02-01,822.22912154
2007-02-02,824.79944118
2007-02-05,823.51231038
2007-02-06,826.94539874
2007-02-07,839.05034677
2007-02-08,848.72537636
2007-02-09,845.2901982
2007-02-12,844.94839842
2007-02-13,825.18945883
2007-02-14,828.64060513
2007-02-15,842.82944678
2007-02-16,848.21567947
2007-02-19,848.24824782
2007-02-20,848.17225888
2007-02-21,854.8576901
2007-02-22,858.95468954
2007-02-23,854.77162917
2007-02-26,846.74032363
2007-02-27,825.85215636
2007-02-28,799.16270019
2007-03-01,780.02376803
2007-03-02,778.78336194
2007-03-05,736.72487433
2007-03-06,759.8425833
2007-03-07,759.60880721
2007-03-08,782.53139495
2007-03-09,781.80412919
2007-03-12,797.77746299
2007-03-13,791.03990509
2007-03-14,769.69729416
2007-03-15,779.74265292
2007-03-16,782.7811225
2007-03-19,795.44317958
2007-03-20,799.88008182
2007-03-21,806.06330423
2007-03-22,812.96493552
2007-03-23,816.83331347
2007-03-26,822.43458065
2007-03-27,821.26005706
2007-03-28,815.50944831
2007-03-29,827.88017886
2007-03-30,828.77993808
2007-04-02,828.30903452
2007-04-03,835.43991687
2007-04-04,849.71009128
2007-04-05,849.71009128
2007-04-06,849.71009128
2007-04-09,849.55792063
2007-04-10,859.22676497
2007-04-11,868.74729493
2007-04-12,868.76554792
2007-04-13,868.74825463
2007-04-16,888.71080977
2007-04-17,891.86678249
2007-04-18,891.07751152
2007-04-19,861.82296384
2007-04-20,874.23578041
2007-04-23,874.43403609
