Date,THAILAND VALUE
2000-12-29,100.0
2001-01-01,100.0
2001-01-02,98.22956492566234
2001-01-03,98.51385318053752
2001-01-04,103.28735592117546
2001-01-05,106.38616025147869
2001-01-08,115.74353787064368
2001-01-09,119.52703894011943
2001-01-10,116.88196325494322
2001-01-11,117.1554028876154
2001-01-12,127.95037817172911
2001-01-15,128.95544314063886
2001-01-16,124.05439133411355
2001-01-17,129.0095108601498
2001-01-18,126.83502955017111
2001-01-19,128.9448299822056
2001-01-22,129.23788564198344
2001-01-23,132.1016911113858
2001-01-24,134.8378961614642
2001-01-25,143.86276036725604
2001-01-26,138.91866413107047
2001-01-29,136.83118444311282
2001-01-30,131.05066295837557
2001-01-31,136.40121412664774
2001-02-01,133.97712766410666
2001-02-02,138.08812645879345
2001-02-05,133.8480135401882
2001-02-06,132.34737909381343
2001-02-07,133.9913680691823
2001-02-08,136.1623155025155
2001-02-09,134.82084256856004
2001-02-12,130.52633363776752
2001-02-13,133.48148387812347
2001-02-14,131.6732205780912
2001-02-15,131.86977621610293
2001-02-16,130.1306502309282
2001-02-19,126.55302997402704
2001-02-20,129.4812066418156
2001-02-21,127.71557287179833
2001-02-22,127.561321724816
2001-02-23,134.79634790515533
2001-02-26,134.06229570300113
2001-02-27,135.4463729850458
2001-02-28,135.24945549595975
2001-03-01,129.6508401934901
2001-03-02,124.3720485234072
2001-03-05,120.6601402606908
2001-03-06,120.24011983343522
2001-03-07,123.7225553953433
2001-03-08,121.9340339494181
2001-03-09,125.04087602388898
2001-03-12,126.34990378976887
2001-03-13,126.96713375115414
2001-03-14,124.34921760406947
2001-03-15,121.72961468893303
2001-03-16,121.04963320829955
2001-03-19,121.09805265848925
2001-03-20,120.60387120547713
2001-03-21,120.10153887131999
2001-03-22,120.1146513154278
2001-03-23,119.91681246147756
2001-03-26,119.97370841742524
2001-03-27,118.28652905089506
2001-03-28,117.22770592919437
2001-03-29,119.20630310681207
2001-03-30,119.27532252538819
2001-04-02,117.88871029966425
2001-04-03,115.98600827087701
2001-04-04,110.60671782307983
2001-04-05,112.15213678666434
2001-04-06,111.09519849650339
2001-04-09,109.57979411021991
2001-04-10,112.125597774258
2001-04-11,115.26032204540758
2001-04-12,118.87442856328069
2001-04-13,118.87442856328069
2001-04-16,119.69619240892244
2001-04-17,117.71078722444932
2001-04-18,125.09297421596905
2001-04-19,123.06020707963064
2001-04-20,117.06669549911251
2001-04-23,117.33774212129013
2001-04-24,120.06047461200694
2001-04-25,119.2557517258858
2001-04-26,118.22373123016985
2001-04-27,119.50244752757483
2001-04-30,122.12087611539131
2001-05-01,121.490192449747
2001-05-02,122.42281260345487
2001-05-03,121.45084541995186
2001-05-04,121.07862813634222
2001-05-07,121.64100819440092
2001-05-08,122.4194319558939
