Date,QATAR VALUE
2014-05-30,1000.0
2014-06-02,996.8603576384577
2014-06-03,966.754009463919
2014-06-04,953.8048176152862
2014-06-05,966.3788201966576
2014-06-06,964.6518240881817
2014-06-09,947.3210033440921
2014-06-10,964.1437050039865
2014-06-11,952.3633426478902
2014-06-12,949.2293919518414
2014-06-13,950.8301321525757
2014-06-16,919.4183759050071
2014-06-17,903.5511555646688
2014-06-18,898.501605418607
2014-06-19,880.819621977162
2014-06-20,884.4855133728165
2014-06-23,896.8730790998039
2014-06-24,886.2282862954394
2014-06-25,859.4541627509767
2014-06-26,845.5901383842898
2014-06-27,842.4285902696608
2014-06-30,812.2906525428518
2014-07-01,852.6738347576079
2014-07-02,875.8515024361942
2014-07-03,873.35312250293
2014-07-04,874.7147871042868
2014-07-07,879.9729337127178
2014-07-08,887.276504423295
2014-07-09,904.7354737053013
2014-07-10,919.7821408600944
2014-07-11,919.917412886105
2014-07-14,915.3225069107613
2014-07-15,934.2954357212456
2014-07-16,941.1679189170036
2014-07-17,951.8213782752343
2014-07-18,952.4202517876024
2014-07-21,920.1099027544918
2014-07-22,933.367712674054
2014-07-23,925.3366993436192
2014-07-24,905.4268272897965
2014-07-25,907.853341529537
2014-07-28,903.1347903216893
2014-07-29,905.0913471236831
2014-07-30,907.2900591453239
2014-07-31,907.1883450131326
2014-08-01,903.8781782914375
2014-08-04,902.097216550885
2014-08-05,921.6014612950562
2014-08-06,922.2625261391017
2014-08-07,914.7908578380026
2014-08-08,910.4946243560396
2014-08-11,918.6318907296063
2014-08-12,929.0230621769024
2014-08-13,938.3814755767551
2014-08-14,939.1196122192149
2014-08-15,938.918394813527
2014-08-18,943.1295859577147
2014-08-19,945.8546260698713
2014-08-20,947.4844744790074
2014-08-21,956.5342249929952
2014-08-22,960.335921309002
2014-08-25,966.3830852723308
2014-08-26,975.965199922303
2014-08-27,981.1549408627893
2014-08-28,930.7976637227031
2014-08-29,931.0833453609212
2014-09-01,951.6713512019351
