Date,CANADA VALUE WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1015.5843291257411
1999-01-05,1034.5374625574082
1999-01-06,1077.1883462699661
1999-01-07,1078.1945501220334
1999-01-08,1101.4918707057072
1999-01-11,1102.1213508862493
1999-01-12,1074.597819858053
1999-01-13,1032.534356122933
1999-01-14,1024.1493885000093
1999-01-15,1062.8607822168435
1999-01-18,1069.8277656741411
1999-01-19,1053.2332593326394
1999-01-20,1050.8032427804328
1999-01-21,1043.2008272962044
1999-01-22,1031.2657453664965
1999-01-25,1041.631537259086
1999-01-26,1046.6497096253029
1999-01-27,1050.7346798088213
1999-01-28,1055.1046806993259
1999-01-29,1089.5158150950147
1999-02-01,1095.3049442687839
1999-02-02,1069.058766494971
1999-02-03,1075.9890569149259
1999-02-04,1083.314561399547
1999-02-05,1090.9297129506183
1999-02-08,1090.4408568216531
1999-02-09,1058.5846152413021
1999-02-10,1052.7652266513103
1999-02-11,1077.2669340061252
1999-02-12,1065.7282586338642
1999-02-15,1072.7288764039497
1999-02-16,1063.0173493115597
1999-02-17,1046.3375575572463
1999-02-18,1060.9320812430844
1999-02-19,1076.2194097086883
1999-02-22,1097.4162069627841
1999-02-23,1087.7923657583797
1999-02-24,1067.3786822156387
1999-02-25,1055.2802115737475
1999-02-26,1062.4170614965522
1999-03-01,1054.3383214720657
1999-03-02,1039.1183787804982
1999-03-03,1030.0903226121522
1999-03-04,1059.1850917665095
1999-03-05,1092.3137313345105
1999-03-08,1102.8245875748812
1999-03-09,1094.901193168905
1999-03-10,1098.585078429188
1999-03-11,1109.5276843582983
1999-03-12,1097.7001982594747
1999-03-15,1102.555426752428
1999-03-16,1110.1596300189535
1999-03-17,1101.3546931536484
1999-03-18,1104.5724871976267
1999-03-19,1116.2866840119561
1999-03-22,1125.566381666765
1999-03-23,1105.3088402924163
1999-03-24,1116.6437613111468
1999-03-25,1129.170332980044
1999-03-26,1146.9874149748782
1999-03-29,1149.0388722600271
1999-03-30,1125.1987377361916
1999-03-31,1125.0000229956224
1999-04-01,1132.7431112200607
1999-04-02,1140.659695204181
1999-04-05,1170.2715673591113
1999-04-06,1163.1476808060559
1999-04-07,1169.1978417982655
1999-04-08,1196.8250837901217
1999-04-09,1188.3702221496403
1999-04-12,1200.7765306686556
1999-04-13,1205.6345529607277
1999-04-14,1210.8145490695274
1999-04-15,1234.0533561920197
1999-04-16,1245.4157803437695
1999-04-19,1239.0508303938343
1999-04-20,1232.2338563028459
1999-04-21,1253.7444725345497
1999-04-22,1263.5653838718226
1999-04-23,1261.8174717571026
1999-04-26,1259.8894341081048
1999-04-27,1255.4994748935824
1999-04-28,1270.6153303968601
1999-04-29,1281.8135791155573
1999-04-30,1274.917079182847
1999-05-03,1289.7579324924448
1999-05-04,1285.7754882274164
1999-05-05,1273.1592727789814
1999-05-06,1258.139823632754
1999-05-07,1245.4542627274914
1999-05-10,1247.6858711736577
1999-05-11,1264.2850053103107
1999-05-12,1260.6210014723254
1999-05-13,1274.5592952260333
1999-05-14,1227.16906817022
1999-05-17,1233.3105782748767
1999-05-18,1243.0348824191592
1999-05-19,1251.920379462648
1999-05-20,1246.996455294697
1999-05-21,1259.3698014903784
1999-05-24,1260.394656973871
1999-05-25,1224.6868309545605
1999-05-26,1227.5854475633143
1999-05-27,1215.2465675115338
1999-05-28,1228.4525326431892
1999-05-31,1236.5059581094379
1999-06-01,1231.4051643466198
1999-06-02,1246.405449339458
1999-06-03,1254.8559111762413
1999-06-04,1278.709098260493
1999-06-07,1290.840426700664
1999-06-08,1259.327604918271
1999-06-09,1260.577396904269
1999-06-10,1257.5697469069657
1999-06-11,1257.0098146267653
1999-06-14,1267.0593329082305
1999-06-15,1262.8872074118872
1999-06-16,1286.9511547399989
1999-06-17,1287.1750711492311
1999-06-18,1287.4024156241217
1999-06-21,1285.5308089166958
1999-06-22,1278.8983638138068
1999-06-23,1272.992434703103
1999-06-24,1264.2129130160527
1999-06-25,1267.3893062603404
1999-06-28,1271.5873726719738
1999-06-29,1274.1700692940599
1999-06-30,1286.9378678910302
1999-07-01,1304.9254376231377
1999-07-02,1337.1031567538041
1999-07-05,1365.140211745309
1999-07-06,1349.7914937987493
1999-07-07,1340.2151288538928
1999-07-08,1341.1177826533192
1999-07-09,1349.6586433493417
1999-07-12,1343.990412018842
1999-07-13,1328.7709518578226
1999-07-14,1350.1008263109925
1999-07-15,1351.1563421723338
1999-07-16,1348.333083232363
1999-07-19,1345.3973259643278
1999-07-20,1296.4790731156486
1999-07-21,1270.6427796884723
1999-07-22,1263.556425048295
1999-07-23,1261.346600000523
1999-07-26,1221.8103159537395
1999-07-27,1229.77190924062
1999-07-28,1245.9170881132206
1999-07-29,1223.9730460101166
1999-07-30,1240.7248448466821
1999-08-02,1239.162290196199
