Date,FRANCE VALUE WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0038645825871
1999-01-04,1048.6781378692253
1999-01-05,1058.8708285237874
1999-01-06,1086.8354077126846
1999-01-07,1072.2835273421147
1999-01-08,1075.507197237002
1999-01-11,1066.2406510988212
1999-01-12,1044.4488448116463
1999-01-13,1004.391187725791
1999-01-14,1006.9981819860295
1999-01-15,1019.6645392152502
1999-01-18,1044.4838476565756
1999-01-19,1036.752268281452
1999-01-20,1051.3153668832504
1999-01-21,1042.2061250295358
1999-01-22,1013.8050798740045
1999-01-25,1020.2275704717066
1999-01-26,1022.2342944327945
1999-01-27,1030.732644187624
1999-01-28,1057.6494266040518
1999-01-29,1064.9300732992153
1999-02-01,1077.9784361131883
1999-02-02,1064.7215777087997
1999-02-03,1052.6685274776578
1999-02-04,1048.7516459873086
1999-02-05,1050.1327007257742
1999-02-08,1057.2490314728811
1999-02-09,1030.3786985578713
1999-02-10,1017.5311787954453
1999-02-11,1033.3233286348764
1999-02-12,1028.1300816124362
1999-02-15,1030.724590689911
1999-02-16,1028.544435314434
1999-02-17,1014.5392955248519
1999-02-18,1021.4576100245478
1999-02-19,1039.9527873790964
1999-02-22,1049.2211286904403
1999-02-23,1058.9111732614772
1999-02-24,1057.5878157880477
1999-02-25,1045.4384663668554
1999-02-26,1034.2874070475386
1999-03-01,1023.9540658513158
1999-03-02,1028.6812943252096
1999-03-03,1018.7531284363662
1999-03-04,1041.379366541434
1999-03-05,1067.405122746059
1999-03-08,1064.9351197225108
1999-03-09,1060.454763593673
1999-03-10,1062.9440176513874
1999-03-11,1081.1020351409895
1999-03-12,1075.957359256541
1999-03-15,1078.0189282695155
1999-03-16,1086.5075347706456
1999-03-17,1083.1098687566941
1999-03-18,1081.182996759793
1999-03-19,1096.2031520585017
1999-03-22,1090.1763356955285
1999-03-23,1062.4393058848411
1999-03-24,1057.4904378395768
1999-03-25,1077.0449838974266
1999-03-26,1075.6828013396143
1999-03-29,1086.1002603247257
1999-03-30,1086.1806991929059
1999-03-31,1095.9508173627364
1999-04-01,1099.5753334916753
1999-04-02,1099.5753334916753
1999-04-05,1099.5753334916749
1999-04-06,1116.3557518982686
1999-04-07,1118.0204241383658
1999-04-08,1113.2617367480807
1999-04-09,1118.6967608423606
1999-04-12,1120.7723429393066
1999-04-13,1125.8064507164524
1999-04-14,1121.291969506017
1999-04-15,1118.0402153732516
1999-04-16,1123.4503130082305
1999-04-19,1142.3019012131988
1999-04-20,1115.5185182626553
1999-04-21,1121.2510325507121
1999-04-22,1118.21931194772
1999-04-23,1111.7675422516022
1999-04-26,1120.4669477821735
1999-04-27,1146.755410811154
1999-04-28,1142.954918353189
1999-04-29,1146.4735029350595
1999-04-30,1156.862256792697
1999-05-03,1166.4034637717025
1999-05-04,1170.771615848161
1999-05-05,1148.8825434184262
1999-05-06,1144.0540983092735
1999-05-07,1134.713881147056
1999-05-10,1146.457307533554
1999-05-11,1147.2594983505264
1999-05-12,1147.9403673005195
1999-05-13,1161.3558109105247
1999-05-14,1142.7912423058478
1999-05-17,1120.0444004779256
1999-05-18,1133.783627787858
1999-05-19,1150.0022740100749
1999-05-20,1162.8065572592698
1999-05-21,1161.3139286406329
1999-05-24,1161.3139286406329
1999-05-25,1151.8606260851357
1999-05-26,1151.6517674286256
1999-05-27,1137.58427666987
1999-05-28,1135.605558553911
1999-05-31,1144.7988885025115
1999-06-01,1139.2688536199712
1999-06-02,1138.1108003611557
1999-06-03,1148.0667114956384
1999-06-04,1144.8521661335838
1999-06-07,1159.5977107994402
1999-06-08,1164.1606124281307
1999-06-09,1170.7905478167388
1999-06-10,1162.373617655062
