Date,AUSTRALIA VALUE WEIGHTED
1998-12-31,241.89787667212815
1999-01-01,241.89787667212815
1999-01-04,244.61527454395713
1999-01-05,243.6663274110243
1999-01-06,251.57365758959514
1999-01-07,257.88259944118585
1999-01-08,256.7246134551798
1999-01-11,260.510385356959
1999-01-12,260.90579064896514
1999-01-13,250.6520252196872
1999-01-14,249.68439168437934
1999-01-15,252.3410501352903
1999-01-18,253.9102828726623
1999-01-19,257.8858359335269
1999-01-20,261.2817387422043
1999-01-21,259.46531724255505
1999-01-22,256.0924175666271
1999-01-25,253.55146205373327
1999-01-26,252.73819224065878
1999-01-27,256.14578405957917
1999-01-28,259.40257782448634
1999-01-29,262.7582072571778
1999-02-01,269.91735724884643
1999-02-02,268.4684782957439
1999-02-03,270.32691410367437
1999-02-04,275.08757640605756
1999-02-05,275.69056185243033
1999-02-08,275.2432473100778
1999-02-09,272.0701260203097
1999-02-10,266.4713534505856
1999-02-11,269.7182499422903
1999-02-12,270.88154506200476
1999-02-15,270.1218390711124
1999-02-16,267.10410726001027
1999-02-17,266.3305902093119
1999-02-18,266.29930199100295
1999-02-19,274.51988469591635
1999-02-22,275.98241356238583
1999-02-23,277.83706950012197
1999-02-24,276.93959212805316
1999-02-25,269.7459359514659
1999-02-26,266.2129400500633
1999-03-01,269.51047275660306
1999-03-02,268.71668567405715
1999-03-03,269.7711886241314
1999-03-04,270.8643174438009
1999-03-05,274.027826022781
1999-03-08,277.1300621977289
1999-03-09,278.75918995401605
1999-03-10,277.4106000182141
1999-03-11,281.5039612398648
1999-03-12,280.83516703855577
1999-03-15,282.5601205707036
1999-03-16,280.88057840495344
1999-03-17,277.37726505667735
1999-03-18,279.25793005401397
1999-03-19,281.98980386684036
1999-03-22,284.3961495498885
1999-03-23,287.37840802187065
1999-03-24,285.71704784031726
1999-03-25,288.4604578925707
1999-03-26,291.8960060678703
1999-03-29,289.01204445393535
1999-03-30,286.62184443842494
1999-03-31,284.6600683532808
1999-04-01,288.19084233197475
1999-04-02,287.382071424438
1999-04-05,288.4082724210175
1999-04-06,292.9341464852078
1999-04-07,292.2884406131307
1999-04-08,292.14602433392236
1999-04-09,295.52552527776874
1999-04-12,294.0206904932059
1999-04-13,300.53841675763863
1999-04-14,301.77528171616086
1999-04-15,304.2481393686656
1999-04-16,311.6276826516632
1999-04-19,318.731672828784
1999-04-20,313.149058788172
1999-04-21,311.1709433726561
1999-04-22,318.1210938474137
1999-04-23,318.19855078247014
1999-04-26,317.6075174618161
1999-04-27,319.2803158311076
1999-04-28,320.0201683068433
1999-04-29,322.9188205158757
1999-04-30,325.3789285694451
1999-05-03,323.454614398263
1999-05-04,324.090325167034
1999-05-05,317.20674311700424
1999-05-06,319.43195292979163
1999-05-07,314.1539550161123
1999-05-10,312.68682830075807
1999-05-11,314.9443028574734
1999-05-12,317.76397018903685
1999-05-13,320.85351852843945
1999-05-14,320.2638769916921
1999-05-17,314.54979443361316
1999-05-18,318.1150440015917
1999-05-19,311.9783607258883
1999-05-20,309.01432639346865
1999-05-21,309.5605223111965
1999-05-24,308.47527529505476
1999-05-25,301.8684954233917
