Date,SWITZERLAND VALUE WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1032.7841268934044
1999-01-05,1045.118008767764
1999-01-06,1058.488155952164
1999-01-07,1046.0995943383266
1999-01-08,1060.9582211805084
1999-01-11,1042.1314552772046
1999-01-12,1036.9110750646682
1999-01-13,1006.2078103993881
1999-01-14,998.019885691472
1999-01-15,1012.337341220212
1999-01-18,1011.245472509365
1999-01-19,1008.6897723010383
1999-01-20,1013.3662918305188
1999-01-21,995.8153667293374
1999-01-22,987.3500759091172
1999-01-25,993.9688412366871
1999-01-26,990.0406028553365
1999-01-27,982.7749791472409
1999-01-28,997.5712395005531
1999-01-29,1004.9717961261513
1999-02-01,1019.4582616421527
1999-02-02,1019.6579864452397
1999-02-03,1014.7193629228453
1999-02-04,1007.1786400110403
1999-02-05,1006.2405482761726
1999-02-08,993.412928178182
1999-02-09,978.4840125759719
1999-02-10,972.0112201206011
1999-02-11,971.4497180713582
1999-02-12,982.6942345020169
1999-02-15,985.204173002858
1999-02-16,988.1957164971761
1999-02-17,990.4055603695282
1999-02-18,981.5505212744166
1999-02-19,975.8968287333948
1999-02-22,994.3354265833914
1999-02-23,1007.9412785248765
1999-02-24,1025.4574023069192
1999-02-25,1008.5724360997481
1999-02-26,1005.6532018202619
1999-03-01,997.1163294468095
1999-03-02,993.6833306777734
1999-03-03,997.9388205350764
1999-03-04,1013.2852801372828
1999-03-05,1027.6979110310187
1999-03-08,1022.5171231018927
1999-03-09,1027.864056220124
1999-03-10,1015.8233215342518
1999-03-11,1037.0001519043958
1999-03-12,1025.010695107089
1999-03-15,1025.7694783657978
1999-03-16,1025.4576657459488
1999-03-17,1028.3129533182573
1999-03-18,1024.6846580842166
1999-03-19,1027.085141107924
1999-03-22,1019.4471842262506
1999-03-23,1002.6494544548475
1999-03-24,993.1278517099187
1999-03-25,1007.9515371493235
1999-03-26,997.2866386587021
1999-03-29,1009.3335479029878
1999-03-30,999.1293874624492
1999-03-31,1013.928079371122
1999-04-01,1015.3883034621247
1999-04-02,1015.0349877695205
1999-04-05,1014.2471056486795
1999-04-06,1022.4190668576787
1999-04-07,1029.8664639337085
1999-04-08,1045.5819818238647
1999-04-09,1046.5534827450767
1999-04-12,1039.3111964546215
1999-04-13,1040.7043067297047
1999-04-14,1039.179230369494
1999-04-15,1019.9536653291077
1999-04-16,1014.3782472499778
1999-04-19,1025.667864660128
1999-04-20,1008.7385067886281
1999-04-21,1012.7423392053702
1999-04-22,1024.86622487993
1999-04-23,1022.9935358202873
1999-04-26,1038.4448472892682
1999-04-27,1055.7766706173613
1999-04-28,1052.3119959982027
1999-04-29,1044.5904064253361
1999-04-30,1047.1688224719346
1999-05-03,1060.6890217423152
1999-05-04,1052.5580318816437
1999-05-05,1043.188382040161
1999-05-06,1035.5293263108697
1999-05-07,1032.454386484047
1999-05-10,1033.4117801373918
1999-05-11,1033.3082309331735
1999-05-12,1031.2302650214056
1999-05-13,1032.533299426325
1999-05-14,1018.878473821614
1999-05-17,997.0471925478646
1999-05-18,1009.7807852590412
1999-05-19,1015.7676291720821
1999-05-20,1023.5973433332728
1999-05-21,1013.6877440380983
1999-05-24,1015.1145614153612
1999-05-25,998.8273836278823
1999-05-26,1002.2345818554811
1999-05-27,983.9849898248814
1999-05-28,988.5922460813832
1999-05-31,1005.4058652422196
1999-06-01,999.6628867322074
1999-06-02,1012.7715014938519
1999-06-03,1024.9839674064128
1999-06-04,1040.3368581347618
1999-06-07,1047.2282534774315
1999-06-08,1043.0443103648743
1999-06-09,1045.8604553767177
1999-06-10,1020.0632996605912
1999-06-11,1021.8938237897432
1999-06-14,1022.0433981913181
1999-06-15,1025.9321167716794
1999-06-16,1032.761074190561
1999-06-17,1039.5140065788662
1999-06-18,1044.563493926981
1999-06-21,1055.8172710192987
1999-06-22,1042.9716577627214
1999-06-23,1030.4329252036716
1999-06-24,1023.3714051404589
1999-06-25,1013.4411730628992
1999-06-28,1011.1991125746578
1999-06-29,1020.5347027100194
1999-06-30,1006.1694999415861
1999-07-01,1029.7810164805744
1999-07-02,1045.921666446035
1999-07-05,1057.1923591890609
1999-07-06,1046.6318937008266
1999-07-07,1040.542539638629
1999-07-08,1043.054118392464
1999-07-09,1038.2303694633822
1999-07-12,1039.4826156832933
1999-07-13,1027.1726795441714
1999-07-14,1030.591720337913
1999-07-15,1034.5626254391086
1999-07-16,1027.4800043615153
1999-07-19,1031.4769047039479
1999-07-20,1015.2734933069983
1999-07-21,1017.3012548111542
1999-07-22,1006.7997194537925
1999-07-23,987.7172042893197
1999-07-26,978.3483551350816
1999-07-27,994.7929543811787
1999-07-28,994.8330710660381
1999-07-29,980.8569541362197
1999-07-30,1004.2258359018632
1999-08-02,1008.2341892579908
1999-08-03,1007.5568431480767
1999-08-04,1003.3888031174137
