Date,HONG KONG VALUE WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,972.0619637779879
1999-01-05,980.1831356233545
1999-01-06,1019.9211759220444
1999-01-07,1071.6224431622672
1999-01-08,1081.9326800945223
1999-01-11,1077.134822922409
1999-01-12,1078.8951996688058
1999-01-13,1023.1380255198217
1999-01-14,1003.4716400169536
1999-01-15,1018.9409007648625
1999-01-18,1037.5002134202402
1999-01-19,1020.0686044989983
1999-01-20,1021.0023607551261
1999-01-21,984.7498693720735
1999-01-22,942.1100100316208
1999-01-25,919.4835047162017
1999-01-26,925.3674935138897
1999-01-27,953.9736266814864
1999-01-28,923.8793514567753
1999-01-29,940.9511802478389
1999-02-01,954.6813494572286
1999-02-02,943.4212945227071
1999-02-03,930.3178647237075
1999-02-04,935.369064150573
1999-02-05,907.9731382870675
1999-02-08,901.5478747379738
1999-02-09,908.693857591947
1999-02-10,885.4561467531996
1999-02-11,894.9411815093184
1999-02-12,929.3644604193527
1999-02-15,933.0227226298402
1999-02-16,937.7984199505316
1999-02-17,933.4700379430944
1999-02-18,934.3368033938617
1999-02-19,915.4658455238521
1999-02-22,923.1180948461997
1999-02-23,938.4853006498362
1999-02-24,966.9198394549976
1999-02-25,956.4548291667986
1999-02-26,982.4440218379299
1999-03-01,1007.9862007723034
1999-03-02,996.9865540160463
1999-03-03,997.2189487044884
1999-03-04,1005.0496623997489
1999-03-05,1026.9255274187126
1999-03-08,1033.1796432654353
1999-03-09,1059.202754902665
1999-03-10,1074.107968576427
1999-03-11,1081.2782200331
1999-03-12,1088.4249392709016
1999-03-15,1090.9297068725066
1999-03-16,1104.993967182053
1999-03-17,1094.7812145053028
1999-03-18,1066.8904237504269
1999-03-19,1118.271209337623
1999-03-22,1130.3520368035556
1999-03-23,1130.9195263225943
1999-03-24,1094.2894709858567
1999-03-25,1107.4131347645819
1999-03-26,1110.1355409755383
1999-03-29,1098.107746774585
1999-03-30,1126.9020991717634
1999-03-31,1128.0316412161158
1999-04-01,1136.6659591410819
1999-04-02,1139.1139669304498
1999-04-05,1146.0653462668736
1999-04-06,1141.8955564602043
1999-04-07,1191.6772585917663
1999-04-08,1192.2132971248009
1999-04-09,1229.5799369594674
1999-04-12,1209.8153203339036
1999-04-13,1237.5517059658202
1999-04-14,1227.9048037164089
1999-04-15,1252.0893873070756
1999-04-16,1316.0149165937726
1999-04-19,1359.4181671571384
1999-04-20,1303.1498257063947
1999-04-21,1334.0322759963801
1999-04-22,1383.3975311144811
1999-04-23,1366.3194378780333
1999-04-26,1391.8815723386708
1999-04-27,1419.2221056271321
1999-04-28,1394.522835928269
1999-04-29,1397.832939021768
1999-04-30,1415.8055227574225
1999-05-03,1428.834860163385
1999-05-04,1449.7925614678697
1999-05-05,1463.6128389799258
1999-05-06,1457.1804221897262
1999-05-07,1388.7542061840052
1999-05-10,1392.3087818161341
1999-05-11,1384.3876365633935
1999-05-12,1411.0903325107615
1999-05-13,1420.8199291550818
1999-05-14,1389.915138453243
1999-05-17,1361.5016085112745
1999-05-18,1364.4553244526805
1999-05-19,1338.740589581572
1999-05-20,1339.3517310893594
1999-05-21,1331.3097257951226
1999-05-24,1348.1113161269827
1999-05-25,1334.5754392478384
1999-05-26,1362.4659983303395
1999-05-27,1355.4342884880868
1999-05-28,1330.938759970891
1999-05-31,1337.997498034227
1999-06-01,1357.6468381195148
1999-06-02,1375.5271954557297
1999-06-03,1376.1510610087837
1999-06-04,1375.6259825235888
1999-06-07,1414.038603618096
1999-06-08,1398.1203238099029
1999-06-09,1404.6688823735017
1999-06-10,1388.8443832559612
1999-06-11,1401.343870187079
1999-06-14,1406.6656427621135
1999-06-15,1400.4648771394036
1999-06-16,1439.3285259704487
1999-06-17,1456.7366305940661
1999-06-18,1447.1097285428311
1999-06-21,1519.8490148128822
1999-06-22,1535.077880573822
1999-06-23,1529.9885840896102
1999-06-24,1503.2025216937864
1999-06-25,1486.6044925128335
1999-06-28,1510.993081092294
1999-06-29,1511.2336607748457
1999-06-30,1489.8831141995556
1999-07-01,1499.5377652356985
1999-07-02,1565.753771499836
1999-07-05,1592.6506404901097
1999-07-06,1574.1180707273559
1999-07-07,1559.546206102194
1999-07-08,1558.7283069287516
1999-07-09,1557.3514952868989
1999-07-12,1547.8339836392643
1999-07-13,1526.4332951583492
1999-07-14,1480.1401897248243
1999-07-15,1493.6677040996792
1999-07-16,1470.9881717945093
1999-07-19,1473.6070155243751
1999-07-20,1454.5160422754723
1999-07-21,1430.0512879922771
1999-07-22,1423.0240894119179
1999-07-23,1397.6391396786087
1999-07-26,1346.239903545587
1999-07-27,1367.7746174600852
1999-07-28,1380.7076586476808
1999-07-29,1368.0857259937325
1999-07-30,1372.6364193628538
1999-08-02,1401.9752934604828
1999-08-03,1409.2015074791966
1999-08-04,1394.9719627490636
