Date,SWEDEN VALUE WEIGHTED
1999-08-03,1366.425753422429
1999-08-04,1361.5277292167725
1999-08-05,1342.269780666458
1999-08-06,1333.5249974413027
1999-08-09,1348.1958739173297
1999-08-10,1336.7313875503316
1999-08-11,1359.4970949098224
1999-08-12,1387.7867165297896
1999-08-13,1392.7875679122492
1999-08-16,1397.123206372104
1999-08-17,1401.3235366075205
1999-08-18,1394.0160689225602
1999-08-19,1375.8674772732882
1999-08-20,1391.551518606382
1999-08-23,1410.0630055941947
1999-08-24,1418.6306096499675
1999-08-25,1429.498547062412
1999-08-26,1424.564903397375
1999-08-27,1431.4997763560577
1999-08-30,1420.3432890453178
1999-08-31,1385.0903877874684
1999-09-01,1397.6132070660033
1999-09-02,1381.4388273952595
1999-09-03,1413.15528408843
1999-09-06,1423.6987553668394
1999-09-07,1414.923786655653
1999-09-08,1403.9759601633712
1999-09-09,1406.2666813425312
1999-09-10,1415.009433717124
1999-09-13,1421.3887402688342
1999-09-14,1405.5419838194268
1999-09-15,1390.0274997910697
1999-09-16,1389.0473843986117
1999-09-17,1398.3276034317519
1999-09-20,1409.9381382882937
1999-09-21,1399.4027029487982
1999-09-22,1384.9320898909743
1999-09-23,1399.7120160236116
1999-09-24,1383.2467074459848
1999-09-27,1398.7707091526527
1999-09-28,1392.7394436442692
1999-09-29,1368.2383860867662
1999-09-30,1365.0502356449606
1999-10-01,1365.52121472482
1999-10-04,1369.976220820717
1999-10-05,1365.7069591942916
1999-10-06,1369.2251482442284
1999-10-07,1377.6781484002208
1999-10-08,1388.0021697690656
1999-10-11,1390.0484159952593
1999-10-12,1377.9204551206758
1999-10-13,1361.8826660758332
1999-10-14,1357.1211468810554
1999-10-15,1330.040691711945
1999-10-18,1306.753665245064
1999-10-19,1332.0160500411773
1999-10-20,1320.7744168643478
1999-10-21,1312.0784231933392
1999-10-22,1359.7726132873631
1999-10-25,1366.6671532420105
1999-10-26,1387.6244434994749
1999-10-27,1399.4618994302273
1999-10-28,1413.4943088189118
1999-10-29,1434.685950461028
1999-11-01,1428.4052258879115
1999-11-02,1435.9029417010443
1999-11-03,1438.169579763819
1999-11-04,1450.053837145747
1999-11-05,1453.4410558542377
1999-11-08,1458.4982008628367
1999-11-09,1454.3926947464854
1999-11-10,1467.9912270677032
1999-11-11,1488.1157697993508
1999-11-12,1493.2206212431038
1999-11-15,1506.3265122176156
1999-11-16,1527.074861074723
1999-11-17,1557.883913109898
1999-11-18,1591.4640146576855
1999-11-19,1569.4027547450987
1999-11-22,1559.12215652039
1999-11-23,1565.4787384656393
1999-11-24,1558.0070091580392
1999-11-25,1572.8597092269551
1999-11-26,1572.4140508499866
1999-11-29,1575.4104033267306
1999-11-30,1560.4010902383884
1999-12-01,1591.0172847541623
1999-12-02,1607.9696492801065
1999-12-03,1631.28500739168
1999-12-06,1625.8647301094445
1999-12-07,1632.62763335239
1999-12-08,1679.1138065128525
1999-12-09,1647.5636818930818
1999-12-10,1647.3252033213182
1999-12-13,1656.712655074142
1999-12-14,1666.3342398271036
1999-12-15,1655.400557927663
1999-12-16,1654.6984684423437
1999-12-17,1675.3005479849262
1999-12-20,1657.6811908640063
1999-12-21,1653.4997700340034
1999-12-22,1671.8484107000222
1999-12-23,1683.1259504032666
1999-12-24,1683.1259504032666
1999-12-27,1690.1378635015228
1999-12-28,1702.938179010794
1999-12-29,1721.9381292536177
1999-12-30,1723.4908152633902
1999-12-31,1723.4908152633902
2000-01-03,1739.3999432123542
2000-01-04,1688.2378449809044
2000-01-05,1635.3797687917443
2000-01-06,1633.688877827941
2000-01-07,1666.907389221921
2000-01-10,1714.836345058037
2000-01-11,1717.8472589492253
2000-01-12,1716.2708633461573
2000-01-13,1719.1473227690144
2000-01-14,1734.471395316974
2000-01-17,1767.6444087536026
2000-01-18,1736.9135887962195
2000-01-19,1735.0958954391401
2000-01-20,1727.60294693648
2000-01-21,1721.187835957842
2000-01-24,1718.8026801598226
2000-01-25,1691.1011116646457
2000-01-26,1701.2661848477642
2000-01-27,1698.3024228946126
2000-01-28,1711.3070745387613
2000-01-31,1667.8072143370002
2000-02-01,1707.9523383113608
2000-02-02,1771.5414016528466
2000-02-03,1771.035745592157
2000-02-04,1780.979433670283
2000-02-07,1813.8792348962174
2000-02-08,1831.175747922124
2000-02-09,1827.9253331245272
2000-02-10,1836.5926840423215
2000-02-11,1825.8085278689412
2000-02-14,1791.3274503053087
2000-02-15,1741.8306743404273
2000-02-16,1767.5373837537925
2000-02-17,1769.5435088539414
2000-02-18,1779.3867206565965
2000-02-21,1785.0860513365321
2000-02-22,1757.1580830349217
2000-02-23,1772.029615641999
2000-02-24,1778.0800178187058
2000-02-25,1824.0076943828194
2000-02-28,1845.7855272626489
2000-02-29,1838.2502956330572
2000-03-01,1853.4983366035801
2000-03-02,1871.85356400171
2000-03-03,1889.7573332888214
2000-03-06,1889.3901974249218
2000-03-07,1891.6481035370236
2000-03-08,1844.5056573099596
2000-03-09,1848.6840373234866
2000-03-10,1868.5544583635349
2000-03-13,1832.1856013287904
2000-03-14,1857.5853278107206
2000-03-15,1796.9835511833944
2000-03-16,1832.1617920948345
2000-03-17,1875.3920741961647
2000-03-20,1898.8411384201547
2000-03-21,1891.719760216842
2000-03-22,1910.3856044207218
2000-03-23,1883.506341837793
2000-03-24,1905.590501145323
2000-03-27,1897.936574129827
2000-03-28,1903.318683124883
2000-03-29,1909.6312630134717
2000-03-30,1867.2499263800994
2000-03-31,1859.6977949814857
2000-04-03,1838.5226235768296
2000-04-04,1849.1893123889167
2000-04-05,1808.8752630682345
