Date,GERMANY VALUE WEIGHTED
1998-12-31,1000.0
1999-01-01,1000.000409033505
1999-01-04,1054.2703899946564
1999-01-05,1062.60219070915
1999-01-06,1098.8826649657767
1999-01-07,1074.0228183792053
1999-01-08,1082.7639997421597
1999-01-11,1059.4680384201763
1999-01-12,1047.7478162557009
1999-01-13,996.2815748510997
1999-01-14,994.1616830980719
1999-01-15,1002.4522301036216
1999-01-18,1019.6198067683454
1999-01-19,1030.379737839462
1999-01-20,1046.901495640702
1999-01-21,1050.233111393658
1999-01-22,1019.8621856271561
1999-01-25,1009.0220743766557
1999-01-26,1007.7185171989142
1999-01-27,1021.7203896300275
1999-01-28,1038.1169032718476
1999-01-29,1054.8013815969553
1999-02-01,1063.4447401797438
1999-02-02,1049.1941346953333
1999-02-03,1033.4969495413793
1999-02-04,1032.8658444783405
1999-02-05,1036.9247117934617
1999-02-08,1031.6340829658734
1999-02-09,993.540895044349
1999-02-10,981.8809808972611
1999-02-11,998.3227237193505
1999-02-12,1011.8843687222349
1999-02-15,1005.83595125662
1999-02-16,1008.795519711912
1999-02-17,992.6997111785005
1999-02-18,1008.8179375150763
1999-02-19,1001.4397381320979
1999-02-22,1008.8674801965619
1999-02-23,1034.5238782903675
1999-02-24,1038.314636775085
1999-02-25,1018.6685902587018
1999-02-26,1017.6374704134327
1999-03-01,996.1182817756635
1999-03-02,1008.9316217376769
1999-03-03,981.4179322763043
1999-03-04,985.967840824738
1999-03-05,1007.6776094204986
1999-03-08,998.5400301738024
1999-03-09,995.560083202773
1999-03-10,988.3976078804808
1999-03-11,997.1135134847061
1999-03-12,1041.9992319966557
1999-03-15,1046.2179442418562
1999-03-16,1058.6023351080312
1999-03-17,1051.4136327139088
1999-03-18,1043.689416565406
1999-03-19,1060.210079299538
1999-03-22,1049.8313053396237
1999-03-23,1021.307728638928
1999-03-24,1004.9303076511351
1999-03-25,1021.6832674337636
1999-03-26,1006.217178744419
1999-03-29,1019.8398662475485
1999-03-30,1013.6868542929652
1999-03-31,1020.1988017178504
1999-04-01,1027.4807267263072
1999-04-02,1027.4807267263072
1999-04-05,1027.480726726307
1999-04-06,1050.411817143473
1999-04-07,1056.2626600465242
1999-04-08,1064.7481336518624
1999-04-09,1080.589106028235
1999-04-12,1083.2331604981682
1999-04-13,1098.6022768456419
1999-04-14,1092.2388662639269
1999-04-15,1091.5465566931387
1999-04-16,1084.9124615879275
1999-04-19,1102.1677650639444
1999-04-20,1074.0871684362203
1999-04-21,1082.880703601799
1999-04-22,1089.4746924788396
