Date,AC ASIA PAC ex JP WITH CHINA ALL SHARES
2008-11-25,1000.0
2008-11-26,1017.1462316795586
2008-11-27,1040.9124767674384
2008-11-28,1057.7346257772133
2008-12-01,1050.7783796119188
2008-12-02,1010.7324914996535
2008-12-03,1019.7216814403981
2008-12-04,1021.1145199875982
2008-12-05,1019.7887620661406
2008-12-08,1088.044370994614
2008-12-09,1084.7824930707698
2008-12-10,1132.1287301455552
2008-12-11,1139.3243612007327
2008-12-12,1090.6562104456436
2008-12-15,1125.1022577341696
2008-12-16,1131.2917806708024
2008-12-17,1157.3206047570661
2008-12-18,1180.3923694730133
2008-12-19,1168.178948501455
2008-12-22,1138.1699722632904
2008-12-23,1105.3663806502432
2008-12-24,1110.146699193859
2008-12-25,1109.1832506951046
2008-12-26,1104.7678134166113
2008-12-29,1124.623236654345
2008-12-30,1132.628643007005
2008-12-31,1142.0700178272816
2009-01-01,1144.0256422108234
2009-01-02,1160.25776098208
2009-01-05,1191.5299978822227
2009-01-06,1201.4385159630692
2009-01-07,1196.9724321663307
2009-01-08,1152.4553282417903
2009-01-09,1145.663873539921
2009-01-12,1111.6651095958791
2009-01-13,1094.6091647636667
2009-01-14,1106.5658603297563
2009-01-15,1057.4620851468942
2009-01-16,1081.1347541353018
2009-01-19,1088.2175148360498
2009-01-20,1056.489008201861
2009-01-21,1036.2474579404116
2009-01-22,1045.7275289357667
2009-01-23,1022.6338060201952
2009-01-26,1026.2391798747142
2009-01-27,1038.5377087767117
2009-01-28,1061.3692893158538
2009-01-29,1071.4581440869006
2009-01-30,1068.1480235147833
2009-02-02,1047.0054103580726
2009-02-03,1061.1117965330866
2009-02-04,1074.840414344272
2009-02-05,1073.2184827937274
2009-02-06,1107.7693945200126
2009-02-09,1122.1642784106514
2009-02-10,1117.4783683188648
2009-02-11,1101.255265569886
2009-02-12,1086.4884440796482
2009-02-13,1114.3036596761906
2009-02-16,1097.667645186994
2009-02-17,1056.667145483931
2009-02-18,1045.8785246171578
2009-02-19,1054.4189584899166
2009-02-20,1029.6331599752557
2009-02-23,1048.696419192018
2009-02-24,1024.8153084606213
2009-02-25,1032.5233980760495
2009-02-26,1026.1481205486498
2009-02-27,1014.8509536503602
2009-03-02,975.6595247411229
2009-03-03,977.3630496368278
2009-03-04,998.7490189669729
2009-03-05,997.8070916099477
2009-03-06,990.5723822035884
2009-03-09,978.390469042593
2009-03-10,1002.1768339848828
2009-03-11,1023.2750865369977
2009-03-12,1019.7005840918097
2009-03-13,1053.1765493575372
2009-03-16,1073.4252166052581
2009-03-17,1087.479626634326
2009-03-18,1093.1023763751616
2009-03-19,1119.8080977191573
2009-03-20,1108.6693682740847
2009-03-23,1156.2442078359684
2009-03-24,1175.5911956846267
2009-03-25,1176.1270047847302
2009-03-26,1205.7290166196526
2009-03-27,1203.9724130467168
2009-03-30,1151.9641742895478
2009-03-31,1164.6966439128335
2009-04-01,1174.6381094314067
